5|Ideas abstractas y conceptos
51|Generalidades
#51A|Existence and Modes of Existence
#51A1|Existence
#51A11|the Universe
#51A2|Materiality
#51A3|Concreteness
#51A4|Presence
#51A5|Intrinsic Nature, Essence, Idea (according to Plato)
#51A51|Interior, Interiority
#51A6|Elementariness, Irreducibility
#51A7|Perfection, Completeness; 'Perfettione', 'Operatione perfetta' (Ripa)
#51A8|Things Known, the Known
#51AA|Existence and Modes of Existence (opposing concepts)
#51AA1|Non-existence
#51AA2|Immateriality
51AA3|Abstracción, insustancialidad
#51AA4|Nothingness, Absence
#51AA5|Circumstance, Accident
#51AA51|Exterior, Exteriority
#51AA6|Composition
#51AA61|Synthesis
#51AA7|Imperfection, Incompleteness; 'Imperfettione' (Ripa)
#51AA8|Things Unknown, the Unknown
#51B|Kinds of Relation
#51B1|Relation
#51B2|Similarity, Likeness
#51B3|Parity, Equality
#51B4|Uniformity
#51B5|Identity
#51B6|Imitation; 'Imitatione' (Ripa)
#51B61|Repetition
#51B7|Normality
#51BB|Kinds of Relation (opposing concepts)
#51BB1|Absoluteness, Non-relatedness
#51BB2|Dissimilarity, Unlikeness
#51BB3|Imparity, Inequality, Difference
#51BB4|Multiformity, Variety
#51BB5|Contrariety; 'Contrarietà' (Ripa)
#51BB51|Ambivalence
#51BB6|Originality
#51BB61|Singularity, Uniqueness
#51BB7|Abnormality
#51C|Causation
#51C1|Cause
#51C2|Necessity, Inevitability; 'Necessità' (Ripa)
#51CC|Causation (opposing concepts)
#51CC1|Effect, Result
#51CC11|Positive Result, Good Result
#51CC12|Negative Result, Bad Result
#51CC13|Side-effect, Secondary Effect
#51CC19|No Result, Lack of Result, Inefficacy, Futility
#51CC2|Chance, Haphazard
#51D|Order and Disorder
#51D1|Order, Arrangement, Organization
#51D2|Harmony, Regularity
#51D21|Eurhythmy
#51D3|Symmetry; 'Simmetria' (Ripa)
#51D4|Beauty; 'Bellezza' (Ripa)
#51D41|Grace, Charm; 'Gratia', 'Venustà' (Ripa)
#51D42|Splendour
#51D43|the Sublime
#51D5|Balance, Equilibrium
#51DD|Order and Disorder (opposing concepts)
#51DD1|Disorder, Confusion, Derangement, Disorganization, Chaos
#51DD11|Contamination
#51DD2|Disharmony, Irregularity
#51DD3|Asymmetry
#51DD4|Ugliness
#51DD5|Imbalance, Disequilibrium
#51E|Hierarchical Order
#51E1|Independence, Autonomy
#51E11|Freedom, Liberty; 'Libertà' (Ripa)
#51E12|Liberation
#51E2|Superiority
#51E3|Conformity; 'Temperamento delle cose terrene con le celesti' (Ripa)
#51E4|Coherence
#51EE|Hierarchical Order (opposing concepts)
#51EE1|Dependence
#51EE11|Restriction, Limitation
#51EE12|Curtailment
#51EE2|Inferiority
#51EE3|Nonconformity
#51EE4|Incoherence
#51F|Temporal Relationship
#51F1|Precedence
#51F2|Continuity
#51F3|Priority, Pre-eminence
#51F4|Simultaneity
#51F5|Beginning; 'Principio' (Ripa)
#51F51|Newness
#51F511|Immaturity
#51F52|Earliness
#51F521|Precocity
#51F522|Anticipation
#51F6|Frequency
#51F7|Regularity of Recurrence
#51F71|Periodicity
#51F711|Cycle
#51F8|Middle
#51FF|Temporal Relationship (opposing concepts)
#51FF1|Subsequence
#51FF2|Discontinuity
#51FF3|Posteriority
#51FF4|Non-simultaneity
#51FF5|End; 'Fine' (Ripa)
#51FF51|Oldness
#51FF511|Maturity
#51FF52|Lateness
#51FF521|Delay
#51FF6|Infrequency
#51FF7|Irregularity of Recurrence
#51G|Some Characteristics of Matter
#51G1|Largeness, Magnitude
#51G2|Heaviness
#51G3|Toughness
#51G4|Hardness
#51G5|Visibility
#51G6|Smoothness
#51GG|Some Characteristics of Matter (opposing concepts)
#51GG1|Littleness, Smallness
#51GG2|Lightness; 'Leggierezza' (Ripa)
#51GG3|Fragility; 'Fragilità' (Ripa)
#51GG4|Softness (matter)
#51GG5|Invisibility
#51GG6|Roughness
#51H|Quantity and Degree
#51H1|Totality, the Whole
#51H11|Indivisibility
#51H2|Universality
#51H3|Multitude
#51H4|Plenitude
#51H41|Sufficiency
#51H42|Abundance; 'Abondanza', 'Abondanza maritima' (Ripa)
#51H421|Excess
#51H43|Redundance
#51H5|Growth, Increase
#51HH|Quantity and Degree (opposing concepts)
#51HH1|Part, Section, Aspect
#51HH11|Divisibility
#51HH2|Particularity, Individuality
#51HH3|Paucity, Fewness
#51HH4|Lack, Deficiency
#51HH41|Insufficiency
51HH5|Disminución
51I|Espacio
#51I1|Limited, Defined Space
#51I2|Fullness
#51I3|Location, Position
#51I4|Nearness
#51I5|Middle; 'Mezo' (Ripa)
#51I6|High, Top
#51II|Space (opposing concepts)
#51II1|Unlimited Space
#51II11|Expansion
#51II2|Emptiness, Void
#51II3|Dislocation, Displacement
#51II4|Farness
#51II5|Isolation
#51II6|Low, Bottom
#51K|Aspects of Change
#51K1|Change
#51K11|Reform; 'Riforma' (Ripa)
#51K2|Mutability; 'Immutatione' (Ripa)
#51K3|Substitution
#51K31|Alternation
#51K4|Evolution
#51K41|Revolution
#51K5|Reaction
#51KK|Aspects of Change (opposing concepts)
#51KK1|Permanence
#51KK11|Conservation; 'Conservatione' (Ripa)
#51KK2|Immutability
#51KK3|Interchange, Exchange
#51L|Types of Motion
#51L1|Motion
#51L2|Regular Motion
#51L3|Direction, Orientation
#51L4|Progression, Forward Movement
#51L41|Approach
#51L42|Motion Towards, Attractive Force, Attraction, Pull
#51L5|Ascent
#51L51|Resurrection; 'Ressurrettione' (Ripa)
#51LL|Types of Motion (opposing concepts)
#51LL1|Rest, Immobility, Stasis
#51LL2|Irregular Motion
#51LL3|Deviation, Divergence
#51LL4|Regression, Backward Movement
#51LL41|Recession
#51LL42|Motion From, Repulsive Force, Repulsion, Push
#51LL5|Descent
#51M|Quality of Motion
#51M1|Fast Motion
#51M11|Swiftness, Speed; 'Agilità', 'Celerità', 'Velocità' (Ripa)
#51M12|Haste
#51MM|Quality of Motion (opposing concepts)
#51MM1|Slow Motion
#51MM11|Slowness, Tardiness; 'Tardità' (Ripa)
#51MM12|Lingering
52|Razonamiento y Formación de las Ideas
52A|La inteligencia y las facultades intelectuales
#52A1|Intellect, Intelligence; 'Intelletto', 'Intelligenza' (Ripa)
#52A11|Attention, Concentration
#52A12|Curiosity, Inquisitiveness, Desire of Knowledge; 'Curiosità' (Ripa)
#52A13|Talent
#52A2|Forethought, Deliberation; 'Previdenza', 'Providenza' (Ripa)
#52A21|Method
#52A22|Tact
#52A23|Alertness, Vigilance; 'Guardia', 'Vigilanza', 'Vigilanza per difendersi & oppugnare altri' (Ripa)
#52A24|Precaution
#52A3|Memory; 'Memoria' (Ripa)
#52A4|Imagination; 'Imaginatione' (Ripa)
#52A41|Idea, Concept; 'Idea' (Ripa)
#52A42|Invention, Inventiveness; 'Inventione' (Ripa)
#52A43|Ingenuity; 'Ingegno' (Ripa)
#52A44|Fantasy, Caprice; 'Capriccio' (Ripa)
