5|Idées et Concepts Abstraits
51|Généralités
51A|Existence et Modes d'Existence
51A1|Existence
51A11|l'Univers
51A2|Matérialité
51A3|État Concret, Caractère Concret
51A4|Présence
51A5|Nature Intrinsèque, Essence, Idée (selon Platon)
51A51|Intérieur, Intériorité
51A6|Caractère Élémentaire, Irréductibilité
51A7|Perfection, Complétude, État Complet; 'Perfettione', 'Operatione perfetta'(Ripa)
51A8|Choses Connues, le Connu
51AA|Existence et Modes d'Existence (concepts opposés)
51AA1|Inexistence
51AA2|Immatérialité
51AA3|État Abstrait, Absence de Substantialité
51AA4|Néant, Absence
51AA5|Circonstance, Accident
51AA51|Extérieur, Extériorité
51AA6|Composition
51AA61|Synthèse
51AA7|Imperfection, Incomplétude; 'Imperfettione' (Ripa)
51AA8|Choses Inconnues, l'Inconnu
51B|Sortes de Relations
51B1|Relation
51B2|Similarité, Ressemblance
51B3|Parité, Égalité
51B4|Uniformité
51B5|Identité
51B6|Imitation; 'Imitatione' (Ripa)
51B61|Répétition
51B7|Normalité
51BB|Sortes de Relations (concepts opposés)
51BB1|Caractère Absolu, Absence de Connexité
51BB2|Dissimilitude, Dissemblance
51BB3|Imparité, Inégalité, Différence
51BB4|Multiplicité, Variété
51BB5|Contrariété, Contradiction; 'Contrarietà' (Ripa)
51BB51|Ambivalence
51BB6|Originalité
51BB61|Singularité, Unicité
51BB7|Anormalité
51C|Causalité
51C1|Cause
51C2|Nécessité, Inévitabilité; 'Necessità' (Ripa)
51CC|Causalité (concepts opposés)
51CC1|Effet, Résultat
51CC11|Résultat Positif, Bon Résultat
51CC12|Résultat Négatif, Mauvais Résultat
51CC13|Effet Secondaire
51CC19|Absence de Résultat, Improductivité, Inefficacité, Futilité
51CC2|Chance, Hasard, le Fortuit
51D|Ordre et Désordre
51D1|Ordre, Arrangement, Organisation
51D2|Harmonie, Régularité
51D21|Eurythmie
51D3|Symétrie; 'Simmetria' (Ripa)
51D4|Beauté; 'Bellezza' (Ripa)
51D41|Grâce, Charme; 'Gratia', 'Venustà' (Ripa)
51D42|Splendeur
51D43|le Sublime
51D5|Balance, Equilibre
51DD|Ordre et Désordre (concepts opposés)
51DD1|Désordre, Confusion, Dérangement, Désorganisation, Chaos
51DD11|Contamination
51DD2|Dissonance, Manque d'Harmonie, Irrégularité
51DD3|Asymétrie
51DD4|Laideur
51DD5|Déséquilibre
51E|Ordre Hiérarchique
51E1|Indépendance, Autonomie
51E11|Liberté; 'Libertà' (Ripa)
51E12|Libération
51E2|Supériorité
51E3|Conformité; 'Temperamento delle cose terrene con le celesti' (Ripa)
51E4|Cohérence
51EE|Ordre Hiérarchique (concepts opposés)
51EE1|Dépendance
51EE11|Restriction, Limitation
51EE12|Réduction, Diminution
51EE2|Infériorité
51EE3|Non-Conformité
51EE4|Incohérence
51F|Relations Temporelles
51F1|Antériorité, Préséance
51F2|Continuité
51F3|Priorité, Prééminence
51F4|Simultanéité
51F5|Début; 'Principio' (Ripa)
51F51|Nouveauté, État Neuf
51F511|Immaturité
51F52|Avance (dans le temps)
51F521|Précocité
51F522|Anticipation
51F6|Fréquence
51F7|Régularité dans la Récurrence
51F71|Périodicité
51F711|Cycle
51F8|Milieu
51FF|Relations Temporelles (concepts opposés)
51FF1|Subséquence
51FF2|Discontinuité
51FF3|Postériorité
51FF4|Absence de Simultanéité
51FF5|Fin; 'Fine' (Ripa)
51FF51|Ancienneté, Vieillesse
51FF511|Maturité
51FF52|Retard
51FF521|Délai
51FF6|Rareté, Manque de Fréquence
51FF7|Irrégularité dans la Récurrence
51G|Quelques Caractéristiques de la Matière
51G1|Grandeur, Importance, Ampleur
51G2|Lourdeur
51G3|Solidité
51G4|Dureté, Fermeté (de la matière)
51G5|Visibilité
51G6|Aspect Lisse, Absence d'Aspérité
51GG|Quelques Caractéristiques de la Matière (concepts opposés)
51GG1|Petitesse, Modicité
51GG2|Légèreté; 'Leggierezza' (Ripa)
51GG3|Fragilité; 'Fragilità' (Ripa)
51GG4|Douceur, Moelleux (matière)
51GG5|Invisibilité
51GG6|Rugosité
51H|Quantité et Degré
51H1|Totalité, l'Ensemble
51H11|Indivisibilité
51H2|Universalité
51H3|Multitude
51H4|Plénitude
51H41|Suffisance, Quantité Suffisante
51H42|Abondance; 'Abondanza', 'Abondanza maritima' (Ripa)
51H421|Excès
51H43|Redondance, Surabondance
51H5|Croissance, Augmentation
51HH|Quantité et Degré (concepts opposés)
51HH1|Partie, Section, Aspect
51HH11|Divisibilité
51HH2|Particularité, Individualité
51HH3|Paucité, Petite Quantité
51HH4|Manque, Carence
51HH41|Insuffisance
51HH5|Décroissance
51I|Espace
51I1|Espace Limité, Défini
51I2|Plénitude
51I3|Emplacement, Position
51I4|Proximité
51I5|Milieu (espace); 'Mezo' (Ripa)
51I6|Haut, Sommet
51II|Espace (concepts opposés)
51II1|Espace Illimité
51II11|Expansion
51II2|Vide, Vacant
51II3|Dislocation, Déplacement
51II4|Distance, Éloignement
51II5|Isolement
51II6|Bas, Fond
51K|Aspects de la Modification
51K1|Changement
51K11|Réforme; 'Riforma' (Ripa)
51K2|Mutabilité; 'Immutatione' (Ripa)
51K3|Substitution
51K31|Alternance
51K4|Évolution
51K41|Révolution
51K5|Réaction
51KK|Aspects de la Modification (concepts opposés)
51KK1|Permanence
51KK11|Conservation, Préservation; 'Conservatione' (Ripa)
51KK2|Immutabilité
51KK3|Échange, Troc
51L|Types de Mouvements
51L1|Mouvement
51L2|Mouvement Régulier
51L3|Direction, Orientation
51L4|Progression, Mouvement en Avant
51L41|Approche
51L42|Mouvement qui attire, Force Attractive, Attraction, Traction
51L5|Ascension
51L51|Résurrection; 'Ressurrettione' (Ripa)
51LL|Types de Mouvements (concepts opposés)
51LL1|Repos, Immobilité, Stase
51LL2|Mouvement Irrégulier
51LL3|Déviation, Divergence
51LL4|Régression, Mouvement en Arrière
51LL41|Récession, Recul
51LL42|Mouvement qui repousse, Force Répulsive, Poussée
51LL5|Descente
51M|Qualité du Mouvement
51M1|Mouvement Rapide
51M11|Rapidité, Vitesse; 'Agilità', 'Celerità', 'Velocità' (Ripa)
51M12|Hâte
51MM|Qualité du Mouvement (concepts opposés)
51MM1|Mouvement Lent
51MM11|Lenteur, Tardiveté; 'Tardità' (Ripa)
51MM12|Lenteurs, Flânerie
52|Raisonnement et Formation d'Idées
52A|Intelligence et Facultés Intellectuelles
52A1|Intellect, Intelligence; 'Intelletto', 'Intelligenza' (Ripa)
52A11|Attention, Concentration
52A12|Curiosité, Recherche, Désir de Connaître; 'Curiosità' (Ripa)
52A13|Talent
52A2|Prévoyance, Délibération; 'Previdenza', 'Providenza' (Ripa)
52A21|Méthode
52A22|Tact
52A23|Attention, Vigilance; 'Guardia', 'Vigilanza', 'Vigilanza per difendersi & oppugnare altri' (Ripa)
52A24|Précaution
52A3|Mémoire; 'Memoria' (Ripa)
52A4|Imagination; 'Imaginatione' (Ripa)
52A41|Idée, Concept; 'Idea' (Ripa)
52A42|Invention, Inventivité; 'Inventione' (Ripa)
52A43|Ingéniosité; 'Ingegno' (Ripa)
52A44|Fantaisie, Caprice; 'Capriccio' (Ripa)
52A5|Connaissance; 'Cognitione', 'Cognitione delle cose' (Ripa)
52A51|Sagesse; 'Sapienza', 'Sapienza humana', 'Sapienza vera' (Ripa)
52A511|Sagesse du Fou
52A52|Jugement, Discernement; 'Giuditio' (Ripa)
52A53|Connaissance de Soi
52A54|Docilité; 'Docilità' (Ripa)
52A55|Subtilité, Perspicacité, Sagacité, Lucidité, Esprit; 'Acutezza de l'Ingegno', 'Sottilità'(Ripa)
52A6|Vérité; 'Verità' (Ripa)
52A7|Omniscience
52AA|Intelligence et Facultés Intellectuelles (concepts opposés)
52AA1|Stupidité, Inintelligence, Bêtise; 'Stupidità overo Stolidità' (Ripa)
52AA11|Absence de Talent, Incompétence
52AA2|Distraction
52AA21|Impétuosité, Imprudence, Insouciance
52AA22|Manque de Tact; 'Inconsideratione' (Ripa)
52AA23|Inattention
52AA24|Nonchalance
52AA3|Manque de Mémoire
52AA31|Oubli; 'Oblivione' (Ripa)
52AA4|Manque d'Imagination, Rigidité, Inflexibilité
52AA5|Ignorance; 'Ignoranza', 'Ignoranza di tutte le cose', 'Ignoranza in un ricco senza lettere' (Ripa)
52AA51|Folie, Sottise; 'Pazzia', 'Sciocchezza', 'Stoltitia' (Ripa)
52AA511|Ridicule
52AA52|Mauvais Jugement, Mauvais Discernement
52AA521|Illusion, Fantasme
52AA522|Leurre, Faux Raisonnement, 'Prima Impressione' (Ripa)
52AA53|Absence de Connaissance de Soi
52AA54|Indocilité; 'Indocilità' (Ripa)
