4|Społeczeństwo, Cywilizacja, Kultura
41|materialne aspekty życia codziennego
41A|zamieszkiwanie
41A1|architektura cywilna; budowle; różne rodzaje mieszkania
41A10|'Edifitio overo un sito' (Ripa)
41A11|pałac
41A111|'l' hôtel', niewielki pałac miejski
41A12|zamek
41A121|ufortyfikowana, obronna siedziba w mieście
41A13|gmachy, np. budynek użyteczności publicznej, dom towarowy
41A14|zamieszkiwanie w mieście
41A141|dom stojący w szeregu budynków
41A142|dom połączony ze sklepem
41A143|dom wolnostojący w mieście
41A144|budynek z mieszkaniami, apartamentowiec
41A15|wieżowiec, drapacz chmur
41A16|zamieszkiwanie na wsi dom wiejski, willa, cottage- okazała siedziba wiejska
41A161|dom wiejski
41A162|willa
41A163|cottage-okazała siedziba wiejska
41A17|dom farmerski (budynek)
41A171|stodoła
41A18|chata, szałas
41A181|chata, szałas z bali
41A182|szałas indiański
41A1821|wigwam
41A19|pozostałe rodzaje miejsc mieszkalnych
41A191|namiot
41A1911|namiot obozowy
41A1912|tipi
41A192|pojazd kempingowy z przyczepą
41A1921|obóz kempingowy
41A1922|przyczepa kempingowa
41A193|'dom na łodzi'
41A194|mieszkanie nad jeziorem,'mieszkanie na palach' (na fundamentach palowych)
41A1941|pozostałe siedziby mieszkalne posadowione na gruncie stałym
41A195|'śnieżna chata' (dom), igloo
41A196|mieszkanie w jaskini (grocie), skalny dom
41A2|wnętrze domu
41A21|przedsionek, hol wejściowy
41A211|korytarz
41A2111|'galeria' (wielki, długi korytarz)
41A22|pokoje wspólne, (wspólnego użytkowania)
41A221|pokój dzienny, salonik, salon
41A222|bawialnia, 'salon'
41A2221|'buduar'
41A223|jadalnia
41A23|sypialnia
41A24|łazienka
41A241|wyposażenie łazienki
41A2411|wanna łazienkowa
41A2412|prysznic
41A2413|bidet
41A2414|miska, miednica łazienkowa ('umywalnia')
41A2415|dzban, miednica; umywalka
41A25|pozostałe pomieszczenia
41A251|pracownia; 'studiolo'; biblioteka
41A252|kaplica domowa
41A253|przybudówka-weranda, 'słoneczny salonik', przeszklona weranda
41A2531|ogród zimowy, rodzaj werandy
41A254|szafa ubraniowa (garderoba)
41A2541|szafa na bieliznę
41A255|mieszkanie na poddaszu, loft
41A256|przestrzeń magazynowa
41A3|części składowe domu lub budynku
41A31|fasada-główna elewacja domu lub budynku
41A311|elewacja frontowa, główna
41A3111|kamienna tablica na elewacji
41A312|fasada, elewacja tylna
41A313|fasada dziedzińca wewnętrznego
41A32|drzwi
41A321|otwierać, otwieranie, otwarcie drzwi
41A3211|otwarte drzwi
41A3212|drzwi składające się z dwóch części, dwuskrzydłowe
41A3213|drzwi obrotowe, rozsuwane
41A322|zamknięcie, zamykanie drzwi
41A3221|drzwi zamknięte
41A323|drzwi monumentalne, portyk, 'aediculum'
41A324|drzwi z elementami metalowymi
41A3241|kołatka drzwiowa, dzwonek u drzwi
41A3242|klamka, uchwyt, gałka drzwi
41A325|próg
41A3251|futryna, framuga, ramiak-obramienie drzwi
41A3252|'wyposażenie do drzwi' szczotka, skrobaczka, wycieraczka
41A326|skrzynka pocztowa (na drzwiach)
41A327|dozorca, stróż
41A328|zamek drzwiowy
41A3281|klucz
41A32811|wytrych
41A3282|zatrzask, zasuwka
41A3283|rygiel
41A3284|kłódka
41A33|okno
41A331|otwarcie, otwieranie okna
41A3311|okno otwarte
41A332|zamknięcie, zamykanie okna
41A3321|okno zamknięte
41A333|okiennice
41A3331|okiennice zewnętrzne
41A3332|okiennice wewnętrzne
41A334|zasłona przeciwsłoneczna-roleta, markiza, żaluzja
41A335|siedzenie w oknie (okienne)
41A336|postać ludzka w (otwartym) oknie
41A3361|postać ludzka w oknie, widziana z zewnątrz
41A3362|postać ludzka w oknie widziana z wewnątrz
41A337|widok przez okno
41A3371|widok przez okno z zewnątrz
41A3372|widok przez okno z wewnątrz
41A34|schody
41A341|klatka schodowa
41A3411|schody mechaniczne, ruchome
41A342|winda
41A343|drabina
41A344|wyjście ewakuacyjne
41A345|schody boczne, służbowe
41A35|schody główne
41A351|taras
41A352|okap
41A36|dach (domu lub budynku)
41A361|wieża domu lub budynku)
41A3611|wieżyczka, iglica (domu lub budynku)
41A362|pokrycie dachu
41A363|'udekorowana elewacja'
41A37|piwnica, przyziemie
41A38|balkon
41A381|loggia, weranda, portyk
41A382|wykusz, oszklony balkon
41A39|rurociąg, instalacja elektryczna
41A391|zapas wody i system odwadniania, rurociąg (w domu lub budynku)
41A3911|studnia
41A3912|pompa
41A3913|kran, kurek
41A3914|toaleta, ubikacja
41A3915|fontanna-zbiornik wodny (we wnętrzu)
41A3916|zlewozmywak, zlew
41A392|gazociąg
41A393|urządzenie/a, instalacja/e elektryczna/e gniazdko elektryczne, prąd, wyłącznik światła, kabel, wtyczka, przewód
41A4|dekoracje (wnętrza domu)
41A41|pokrycie ścian, mural
41A411|tapeta
41A412|okładzina drewniana, boazeria
41A413|tapiseria
#41A414|cordwain, cordovan leather, Dutch: goudleer
41A42|tkanina obiciowa (obicie pokoju lub mebla)
41A421|zasłony, firanki
41A422|duże firany, kotary, portiery i draperie - ciężkie tkaniny
41A4221|velum-lekka tkanina osłaniająca
41A423|'tkanina ceremonialna', wystawna
41A4231|baldachim
41A43|posadzka, pokrycie posadzki
41A43(...)|pokrycie posadzki (z nazwą)
41A431|dywan, kilim, kobierzec
41A44|dekorowany sufit, plafon
41A5|aneksy zewnętrzne budynku przybudówki, oficyny; (o)grodzenie; brama
41A51|dziedziniec
41A511|dziedziniec wewnętrzny pałacu lub 'hotelu'- niewielkiego pałacu miejskiego
41A512|dziedziniec tylny
41A52|wozownia
41A521|garaż
41A53|hangar, hala
41A54|płot, mur, palisada
41A541|balustrada
41A542|brama, wejście główne
41A5421|barierka
41A5422|ogrodzenie metalowe zamykane
41A543|przełaz, przejście (w płocie lub murze)
41A544|ogrodzenie ochronne, brama spuszczana, zapora
41A6|ogród
41A61|plan, rzut założenia ogrodowego
41A62|budowle ogrodowe
41A621|pergola
41A622|pawilon ogrodowy, altana (w Holandii 'theekoepel')
41A623|'ermitaż'-budowla ogrodowa
41A624|'belweder'-budowla ogrodowa
41A625|trejaż ogrodowy, 'płot pleciony'
41A626|'sztuczne budowle'
41A63|rozplanowanie, wytyczenie ogrodu
41A631|trawnik
41A632|kwietnik, rabata
41A633|ogród skalny
41A634|labirynt ogrodowy
41A635|ogród zamknięty, ogrodzony; tzw. 'Hortus Conclusus'
41A6351|ogród na dachu
41A636|ogród francuski lub 'architektoniczny'; ogród regularny
41A637|ogród angielski lub krajobrazowy
41A638|ogród ze ścieżkami, alejkami
41A64|ozdoby ogrodowe
41A641|statuy, rzeźby ogrodowe
41A6411|karły-'grylloi' (ozdoby ogrodowe)
41A642|obeliski (ozdoby ogrodowe)
41A643|piramidy (ozdoby ogrodowe)
41A644|hermy (ozdoby ogrodowe)
41A645|ruiny (sztuczne, jako ozdoby ogrodowe)
41A646|waza ogrodowa
41A65|system wodny w ogrodzie
41A651|fontanna ogrodowa
41A652|sadzawka ogrodowa, 'oczko wodne'
41A653|kaskada ogrodowa
41A66|sztuczna grota ogrodowa
41A67|rośliny ozdobne
41A671|'martwe', nieożywione rośliny, kwiaty i owoce (martwa natura z roślin, kwiatów i owoców)
41A6711|kwiaty w wazonie
41A6712|układ, kompozycja (aranżacja) kwiatowa
41A672|sztuka ogrodnicza ozdobnego strzyżenia krzewów (przycinanie krzewów i drzewek w dekoracyjne formy)- bonsai, szpaleru roślin ozdobnych
41A673|rośliny doniczkowe
41A68|utrzymywanie, pielęgnowanie ogrodu ozdobnego
41A681|ogrodnictwo
41A6811|rośliny wodne
41A682|narzędzia ogrodnicze
41A682(...)|narzędzia ogrodnicze (z nazwą)
41A7|umeblowanie i wyposażenie gospodarstwa domowego
41A71|umeblowanie służące do przechowywania rzeczy, przedmiotów...
41A711|stół
41A7111|trójnóg
41A7112|podstawa stołu
41A712|półki, szafka, kredens, konsola
41A7121|etażerka
#41A7122|bookshelves
#41A71221|bookcase, with doors
41A713|nakryty stół, obrus itp.
41A72|mebel przeznaczony do siedzenia
41A721|krzesło
41A7211|taboret
41A72111|taboret-podnóżek
41A7212|fotel
41A7213|'fotel bujany'
41A722|kanapa, sofa
41A7221|poduszka
41A723|ława
41A73|umeblowanie zmagazynowane, składowane
41A731|szafka ścienna
41A732|szafka ścienna zdobiona
41A733|skrzynia, kufer
41A734|'cassone'-rodzaj skrzyni (we Włoszech)
#41A735|lock ~ furniture
#41A7351|key ~ furniture
#41A7352|bolt ~ furniture
#41A7353|padlock ~ furniture
41A74|umeblowanie specjalnego użytkowania
41A741|składany parawan
41A75|meble zdobione
41A751|parawan, osłona
41A76|meble służące do leżenia
41A761|łóżko
41A7611|'łóżko zabudowane', np. połączone z szafą (w Holandii 'bedstee')
41A7612|łóżko z baldachimem
41A76121|łóżko z dwoma słupkami
41A76122|łóżko z czterema słupkami
41A762|hamak
41A763|pościel
#41A7631|mattress
