2|自然
20|Natura' (寓言化的形象或景象; 或作為以弗所的狄安娜, 有許多乳房); 'Natura' (Ripa)
21|四元素, 和以太第五元素
210|'Elementi', 'Elementi secondo Empedocle' (Ripa)
21A|氣 (四元素之一)
21A0|'Aria', 'Carro dell'aria' (Ripa)
21A1|氣之精靈, sylph
21B|土 (四元素之一)
21B0|'Terra', 'Carro della terra' (Ripa)
21B1|土地之精靈, 土地神, 侏儒/巨人
21C|火 (四元素之一)
21C0|'Fuoco', 'Carro del fuoco' (Ripa)
21D|水 (四元素之一)
21D0|'Acqua', 'Carro dell'acqua' (Ripa)
21D1|水之精靈, 水妖, 女水神
21D2|冰 ~ 水的狀態
21D3|蒸氣
21E|以太作為 'quinta essentia'
22|自然現象
22A|物質
22A0|物質 (寓言化再現)
22A1|化學物質
22A1(...)|化學物質 (名稱)
22A2|化學現象
22A3|物理現象
22A31|物質的狀態
22A311|固態 (物質的狀態)
22A312|液態 (物質的狀態)
22A3121|凝固 
22A31211|霧化痕跡
22A313|氣體 (物質的狀態)
22B|電和磁性
22B1|電的現象
22B11|火花 ~ 電
22B2|磁的現象
22B21|磁鐵
22B22|磁力
22B221|吸引力, 吸引 ~  磁力
22B222|排斥力, 排斥 ~  磁力
22C|光
22C1|自然光
22C11|自然光線
22C2|人造光
22C21|人造光線
22C3|超自然光
22C31|人或物發光
22C311|光環, 光圈 ~ 人或物發光
22C3111|十字形-光環
22C3112|正方形或菱形光環
22C3113|星形光環
22C3114|光線作為光環
22C3115|(金色)線作為光環
22C3116|其它類型的光環, 光圈
22C312|神像畫中人體光環
22C3121|橢圓形或杏仁形人體光環
22C3122|圓形人體光環
22C32|天空放射出的光
22C4|色彩, 顏料, 和顏色
22C4(...)|色彩, 顏料, 和顏色 (名稱)
22C4(BLACK)|色彩, 顏料, 和顏色 (黑色)
22C4(BLUE)|色彩, 顏料, 和顏色 (藍色)
22C4(BROWN)|色彩, 顏料, 和顏色 (棕色)
22C4(GOLD)|色彩, 顏料, 和顏色 (金色)
22C4(GREEN)|色彩, 顏料, 和顏色 (綠色)
22C4(PURPLE)|色彩, 顏料, 和顏色 (紫色)
22C4(RED)|色彩, 顏料, 和顏色 (紅色)
22C4(WHITE)|色彩, 顏料, 和顏色 (白色)
22C4(YELLOW)|色彩, 顏料, 和顏色 (黃色)
22C5|反射 (一般)
22C8|投影
22C81|一個物體的投影
22C9|黑暗
22C90|'Buio' (Ripa)
22C91|半明
22D|聲音
22D1|大聲, 噪音
22D11|和諧的聲音, 和聲, 共鳴
22D110|'Armonia' (Ripa)
22D12|不和諧的聲音, 不協調
22D2|柔聲
22D3|聲障
22D4|回聲
22D9|寂靜
22E|溫度
22E1|熱
22E11|熾(熱)
22E12|火熱
22E13|(熱)輻射
22E2|冷
22E21|冰冷
22E22|絕對零度
22E3|溫標
22E31|華氏 (溫標)
22E32|列氏 (溫標)
22E33|攝氏 (溫標)
22E34|其他溫標
22E34(...)|其他溫標 (名稱)
22E4|溫度計
23|時間
23A|時間和永恆的寓言
23A1|時光老人, 一個有翼和長柄大鐮刀的男性
23A11|時間的其他寓言, 如  'Tempo' (Ripa)
23A2|永恆, 'Aeternitas'; 'Eternità','Eternità o Perpetuità' (Ripa)
23A21|含尾蛇
23A3|過去, 現在和未來
23A31|過去, 現在和未來
23A32|現在
23A33|未來
23A4|寓言化再現時光產生的結果
23A41|時光顯示真理; 時間高舉真理
23A411|時間使真理赤裸
23A42|時間掩隱過去
23A43|時間獎賞勤奮和懲罰怠惰
23A44|時光易逝
23A441|時光造成建築廢墟
23A45|時光拐走美麗
23B|長於一年的時期
23B1|長於百年的時期
23B2|一千年
23B3|一百年, 世紀
23B30|'Secolo' (Ripa)
23B4|50年
23B5|25年
23B6|121/2年
23B7|10年, decade
23B8|5年, lustrum
23B9|其他時期
23B9(...)|其他時期 (年數)
23C|年, 陽年
23C1|Annus', 年的人格化; 'Anno', 'Carro dell'anno' (Ripa)
23C2|年, 陰年
23C3|恆星年
23D|一年中的季節 (特別是人格化的); 'Stagione', 'Le quattro stagione dell'anno' (Ripa)
23D1|
23D2|一年分成兩個季節
23D21|冬季半年
23D22|夏季半年
23D23|冬夏季之間的爭鬥
23D3|一年分成三個季節
23D31|一年分成三個季節 (第一序列)
23D311|一月-四月 (一年分成三個季節)
23D312|五月-八月 (一年分成三個季節) 
23D313|九月-十二月 (一年分成三個季節)
23D32|一年分成三個季節 (第二序列)
23D321|十二月-三月 (一年分成三個季節)
23D322|四月-七月 (一年分成三個季節)
23D323|八月-十一月 (一年分成三個季節)
23D4|一年分成四個季節
23D41|冬季,  'Hyems'; 'Inverno' (Ripa)
23D42|春季,  'Ver'; 'Primavera' (Ripa)
23D43|夏季, 'Aestas'; 'Estate' (Ripa)
23D44|秋季,  'Autumnus'; 'Autunno' (Ripa)
23D5|一年分成五個季節
23D6|一年分成六個季節
23D61|一年分成六個季節 (第一序列)
23D611|一月-二月 (一年分成六個季節)
23D612|三月-四月 (一年分成六個季節)
23D613|五月-六月 (一年分成六個季節)
23D614|七月-八月 (一年分成六個季節)
23D615|九月-十月 (一年分成六個季節)
23D616|十一月-十二月 (一年分成六個季節)
23D62|一年分成六個季節 (第二序列)
23D621|十二月-一月 (一年分成六個季節)
23D622|二月-三月 (一年分成六個季節)
23D623|四月-五月 (一年分成六個季節)
23D624|六月-七月 (一年分成六個季節)
23D625|八月-九月 (一年分成六個季節)
23D626|十月-十一月 (一年分成六個季節)
23E|季節由人類活動場景表現, 通常在風景裡
23E2|一年分成兩個季節 ~ 人類活動
23E21|冬季半年 ~ 人類活動 (一年兩季)
23E22|夏季半年 ~ 人類活動 (一年兩季)
23E23|冬夏季之間的爭鬥 ~ 人類活動
23E3|一年分成三個季節 ~ 人類活動
23E31|一年分成三個季節 ~ 人類活動 (第一序列)
23E311|一月-四月 ~ 人類活動 (一年分成三個季節)
23E312|五月-八月 ~ 人類活動 (一年分成三個季節) 
23E313|九月-十二月 ~ 人類活動 (一年分成三個季節)
23E32|一年分成三個季節 ~ 人類活動 (第二序列)
23E321|十二月-三月 ~ 人類活動 (一年分成三個季節)
23E322|四月-七月 ~ 人類活動 (一年分成三個季節)
23E323|八月-十一月 ~ 人類活動 (一年分成三個季節)
23E4|一年分成四個季節 ~ 人類活動
23E41|冬季 ~ 人類活動 (一年四季)
23E42|春季 ~ 人類活動 (一年四季)
23E43|夏季 ~ 人類活動 (一年四季)
23E44|秋季 ~ 人類活動 (一年四季)
23E5|一年分成五個季節 ~ 人類活動
2E6|一年分成六個季節 ~ 人類活動
23E61|一年分成六個季節 ~ 人類活動 (第一序列)
23E611|一月-二月 ~ 人類活動 (一年分成六個季節)
23E612|三月-四月 ~ 人類活動 (一年分成六個季節)
23E613|五月-六月 ~ 人類活動 (一年分成六個季節)
23E614|七月-八月 ~ 人類活動 (一年分成六個季節)
23E615|九月-十月 ~ 人類活動 (一年分成六個季節)
23E616|十一月-十二月 ~ 人類活動 (一年分成六個季節)
23E62|一年分成六個季節 ~ 人類活動 (第二序列)
23E621|十二月-一月 ~ 人類活動 (一年分成六個季節)
23E622|二月-三月 ~ 人類活動 (一年分成六個季節)
23E623|四月-五月 ~ 人類活動 (一年分成六個季節)
23E624|六月-七月 ~ 人類活動 (一年分成六個季節)
23E625|八月-九月 ~ 人類活動 (一年分成六個季節)
23E626|十月-十一月 ~ 人類活動 (一年分成六個季節)
23F|季節由風景表現
23F2|一年分成兩個季節 ~ 風景
23F21|冬季半年 ~ 風景 (一年兩季)
23F22|夏季半年 ~ 風景 (一年兩季)
23F23|冬夏季之間的爭鬥 ~ 風景
23F3|一年分成三個季節 ~ 風景
23F31|一年分成三個季節 ~ 風景 (第一序列)
23F311|一月-四月 ~ 風景 (一年分成三個季節)
23F312|五月-八月 ~ 風景 (一年分成三個季節) 
23F313|九月-十二月 ~ 風景 (一年分成三個季節)
23F32|一年分成三個季節 ~ 風景 (第二序列)
23F321|十二月-三月 ~ 風景 (一年分成三個季節)
23F322|四月-七月 ~ 風景 (一年分成三個季節)
23F323|八月-十一月 ~ 風景 (一年分成三個季節)
23F4|一年分成四個季節 ~ 風景
23F41|冬季 ~ 風景 (一年四季)
23F42|春季 ~ 風景 (一年四季)
23F43|夏季 ~ 風景 (一年四季)
23F44|秋季 ~ 風景 (一年四季)
23F5|一年分成五個季節 ~ 風景
23F6|一年分成六個季節 ~ 風景
23F61|一年分成六個季節 ~ 風景 (第一序列)
23F611|一月-二月 ~ 風景 (一年分成六個季節)
23F612|三月-四月 ~ 風景 (一年分成六個季節)
23F613|五月-六月 ~ 風景 (一年分成六個季節)
23F614|七月-八月 ~ 風景 (一年分成六個季節)
23F615|九月-十月 ~ 風景 (一年分成六個季節)
23F616|十一月-十二月 ~ 風景 (一年分成六個季節)
23F62|一年分成六個季節 ~ 風景 (第二序列)
23F621|十二月-一月 ~ 風景 (一年分成六個季節)
23F622|二月-三月 ~ 風景 (一年分成六個季節)
23F623|四月-五月 ~ 風景 (一年分成六個季節)
23F624|六月-七月 ~ 風景 (一年分成六個季節)
23F625|八月-九月 ~ 風景 (一年分成六個季節)
23F626|十月-十一月 ~ 風景 (一年分成六個季節)
23G|季節由花卉和/或瓜果靜物表現
23G2|一年分成兩個季節 ~ 花卉和/或瓜果靜物
23G21|冬季半年 ~ 花卉和/或瓜果靜物 (一年兩季)
23G22|夏季半年 ~ 花卉和/或瓜果靜物 (一年兩季)
23G23|冬夏季之間的爭鬥 ~ 花卉和/或瓜果靜物
23G3|一年分成三個季節 ~ 花卉和/或瓜果靜物
23G31|一年分成三個季節 ~ 花卉和/或瓜果靜物 (第一序列)
23G311|一月-四月 ~ 花卉和/或瓜果靜物 (一年分成三個季節)
23G312|五月-八月 ~ 花卉和/或瓜果靜物 (一年分成三個季節) 
23G313|九月-十二月 ~ 花卉和/或瓜果靜物 (一年分成三個季節)
23G32|一年分成三個季節 ~ 花卉和/或瓜果靜物 (第二序列)
23G321|十二月-三月 ~ 花卉和/或瓜果靜物 (一年分成三個季節)
23G322|四月-七月 ~ 花卉和/或瓜果靜物 (一年分成三個季節)
23G323|八月-十一月 ~ 花卉和/或瓜果靜物 (一年分成三個季節)
23G4|一年分成四個季節 ~ 花卉和/或瓜果靜物
23G41|冬季 ~ 花卉和/或瓜果靜物 (一年四季)
23G42|春季 ~ 花卉和/或瓜果靜物 (一年四季)
23G43|夏季 ~ 花卉和/或瓜果靜物 (一年四季)
23G44|秋季 ~ 花卉和/或瓜果靜物 (一年四季)
23G5|一年分成五個季節 ~ 花卉和/或瓜果靜物
23G6|一年分成六個季節 ~ 花卉和/或瓜果靜物
23G61|一年分成六個季節 ~ 花卉和/或瓜果靜物 (第一序列)
23G611|一月-二月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G612|三月-四月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G613|五月-六月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G614|七月-八月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G615|九月-十月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G616|十一月-十二月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G62|一年分成六個季節 ~ 花卉和/或瓜果靜物 (第二序列)
23G621|十二月-一月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G622|二月-三月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G623|四月-五月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G624|六月-七月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G625|八月-九月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23G626|十月-十一月 ~ 花卉和/或瓜果靜物 (一年分成六個季節)
23H|季節由其它概念而不是人格化, 人類活動, 風景, 或花卉和/瓜果靜物表現 (如聖經場景)
23H2|一年分成兩個季節 ~ 其他概念 (如聖經場景)
23H21|冬季半年 ~ 概念 (如聖經場景) (一年兩季)
23H22|夏季半年 ~ 其他概念 (如聖經場景) (一年兩季)
23H23|冬夏季之間的爭鬥 ~ 其他概念 (如聖經場景)
23H3|一年分成三個季節 ~ 其他概念 (如聖經場景)
