4|社会，文明，文化
41|日常生活的物質性方面
41A|房屋
41A1|公共建築; 大廈; 住宅
41A10|'Edifitio overo un sito' (Ripa)
41A11|宮殿
41A111|法式豪宅, 即城市裡的小宮殿
41A12|城堡
41A121|城市裡的有防禦功能的房屋
41A13|大廈, 如: 公共建築, 百貨公司
41A14|都市房屋
41A141|一般房屋或一排房屋
41A142|住宅加商店
41A143|城市裡獨立住宅
41A144|公寓樓, 公寓式住宅
41A15|摩天大廈
41A16|農村房屋, 如鄉間別墅, 鄉間莊園, 農舍
41A161|鄉間別墅
41A162|鄉間莊園
41A163|農舍
41A17|農場 (建築)
41A171|穀場
41A18|茅屋, 小屋, 館舍
41A181|小木屋
41A182|印第安人館舍
41A1821|棚屋
41A19|其它住宅類型
41A191|帳篷
41A1911|帳棚營地
41A1912|圓錐形帳篷
41A192|旅宿篷車 (拖車)
41A1921|旅宿篷車營地
41A1922|拖車
41A193|船屋
41A194|湖上住宅, 樁屋
41A1941|其它離開地面的住宅
41A195|雪屋, 冰屋
41A196|穴居屋,窯洞
41A2|房屋內部
41A21|前庭,門廳
41A211|走廊
41A2111|迴廊 (寬闊的走廊)
41A22|聚合型房間
41A221|起居室, 客廳, 接待室
41A222|會客室, 'salon'
41A2221|閨閣
41A223|餐廳
41A23|臥室
41A24|浴室
41A241|浴室設備
41A2411|浴盆,浴缸
41A2412|淋浴
41A2413|坐浴盆
41A2414|固定洗臉池
41A2415|罐和盆; 洗臉盆
41A25|其它房間
41A251|書房; 'studiolo'; 圖書室
41A252|禮拜堂 (房屋內部)
41A253|日光房, 玻璃廊
41A2531|暖房, 溫室
41A254|衣庫,衣室
41A2541|衣物櫃
41A255|閣樓
41A256|儲藏地
41A3|(建築或房屋的)各部分
41A31|外牆 (建築或住宅的)
41A311|正立面
41A3111|嵌在外牆裡的石碑
41A312|背立面
41A313|內庭的立面
41A32|門
41A321|開門
41A3211|開著的門
41A3212|分上下兩部的門, 上半部的門開著
41A3213|轉門
41A322|關門
41A3221|關著的門
41A323|巨型大門, 門鬥, 'aediculum'
41A324|門的金屬部件
41A3241|門環, 門鈴
41A3242|門的把手, 球形把手
41A325|門檻
41A3251|門梃, 門柱, 門側柱
41A3252|門口傢俱, 如靴子刮土器, 鞋刷, 門墊
41A326|信箱 ~ 門
41A327|守門人, 看門人 (非真人)
41A328|鎖 ~ 門
41A3281|鑰匙
41A32811|萬能鑰匙, 'passe-partout', 萬用鑰匙
41A3282|門閂
41A3283|插銷
41A3284|掛鎖
41A33|窗戶
41A331|開窗戶
41A3311|開著的窗戶
41A332|關窗戶
41A3321|關著的窗戶
41A333|護窗板
41A3331|外面護窗板
41A3332|裡面護窗板
41A334|遮陽板, 遮篷
41A335|窗坐
41A336|人物在(開著的)窗口
41A3361|人物在(開著的)窗口, 從外面看
41A3362|人物在(開著的)窗口, 從裡面看
41A337|透過窗戶看
41A3371|從外面透過窗戶看
41A3372|從裡面透過窗戶看
41A34|樓梯
41A341|樓梯井
41A3411|自動扶手樓梯
41A342|電梯, 升降機
41A343|梯子
41A344|太平梯,安全出口
41A345|屋後台階
41A35|屋前台階
41A351|露臺
41A352|華蓋 (入口處的)
41A36|房頂 (建築或房屋的)
41A361|塔 (建築或房屋的)
41A3611|塔尖 (建築或房屋的塔)
41A362|屋面
41A363|裝飾性山牆
41A37|地下室, 地窖
