2|příroda
20|Diana z Efezu
20|Příroda
20|Příroda
20|Stuha
20|prsa
21|prvky
21|pět
21|čtyři
210|Prvky
210|Empedokles
210|Stuha
21A|voda
21A0|Vzduch
21A0|Vzduchový vůz
21A0|Stuha
21A1|duch
21A1|sylfa
21B|země
21B0|Vůz země
21B0|Stuha
21B0|Země
21B1|trpaslík
21B1|duch
21B1|troll
21C|čtyři
21C0|Ohnivý vůz
21C0|Oheň
21C0|Stuha
21D|voda
21D0|Voda
21D0|Vozík na vodu
21D0|Stuha
21D1|Je mi líto, ale s tím vám nemohu pomoci.
21D1|duch
21D1|Omlouvám se.
21D2|led
21D3|pára
21E|podstata
21E|éter
21E|pátá esence
22|přírodní jevy
22|jevy
22A|věc
22A0|alegorie
22A1|chemická látka
22A2|chemické jevy
22A21|reakce
22A3|fyzikální jevy
22A31|stát
22A311|pevný
22A312|kapalina
22A3121|kondenzace
22A31211|stopa
22A31211|kondenzační stopa
22A313|plyn
22B|elektřina
22B|magnetismus
22B1|elektrické jevy
22B11|kop
22B2|magnetické jevy
22B21|magnet
22B22|síla
22B22|magnetická síla
22B221|atrakce
22B222|odpor
22C|světlo
22C1|přirozené světlo
22C11|paprsek světla
22C2|umělé světlo
22C21|paprsek světla
22C3|nadpřirozené světlo
22C31|paprsek světla
22C311|Dobrý den
22C311|svatozář
22C3111|kříž
22C3111|křížový svatozář
22C3112|kosočtverec
22C3112|čtverec (tvar)
22C3113|hvězda
22C3115|zlato
22C3115|příze
22C312|mandle
22C3121|mandle
22C3121|oválný
22C3122|kruh
22C32|nebe
22C32|paprsek světla
22C4|barva
22C4|barva
22C4|pigment
22C4(BLACK)|černá
22C4(BLUE)|modrá
22C4(BROWN)|hnědý
22C4(GOLD)|zlato
22C4(GREEN)|zelený
22C4(PURPLE)|fialová
22C4(RED)|síť
22C4(WHITE)|bílá
22C4(YELLOW)|žlutá
22C5|odraz
22C8|stín
22C9|tma
22C90|Tma
22C90|Stuha
22C91|polotma
22D|zvuk
22D1|hlasitý zvuk
22D1|hluk
22D11|soulad
22D11|harmonie
22D11|hudba
22D11|umělecké dílo
22D110|Harmonie
22D110|Stuha
22D12|nesoulad
22D2|měkký
22D3|bariéra
22D3|zvuková bariéra
22D4|echo
22D9|ticho
22E|teploty
22E1|teplo
22E11|zářivý
22E12|hoření
22E13|vyzařující
22E2|chladný
22E21|zmrazení
22E22|absolutní nula
22E22|nulový bod
22E3|měřítko
22E31|Fahrenheit
22E32|Réaumur
22E33|Celsius
22E34(...)|Kelvin
22E4|teploměr
23|čas
23A|alegorie
23A1|kosa
23A1|křídlo
23A11|Stuha
23A11|Čas
23A2|Věčnost
23A2|Věčnost
23A2|Stuha
23A2|věčnost
23A21|Ouroboros
23A21|had
23A31|minulost
23A32|přítomný
23A33|budoucnost
23A4|účinek
23A41|vzduch (v)
23A41|přeprava
23A41|odhalující
23A41|pravda
23A41|odhalení
23A411|nahý
23A411|svlékání
23A42|skrývání
23A42|minulost
23A43|Lenost
23A43|pracovitost
23A43|trest
23A43|odměňující
23A44|prchavost
23A441|budova
23A441|zřícenina
23A45|únos
23A45|krása
23B|epochy
23B1|tisíc
23B2|tisíciletí
23B2|tisíc
23B3|století
23B3|stovka
23B30|Stuha
23B30|Století
23B4|padesát
23B5|dvacet pět
23B6|dvanáct a půl
23B7|desetiletí
23B7|ten
23B8|pět
23B8|lustrum
23B9(...)|skvělý rok
23B9(...)|třistašedesát pět
23C|sluneční rok
23C|oni
23C|rok
23C1|Rok
23C1|Dávka
23C1|Vůz roku
23C1|Stuha
23C1|personifikace
23C2|Miluji tě
23C3|hvězdný
23C3|hvězda
23D|Čtyři roční období (Le)
23D|Stuha
23D|Sezóna
23D|personifikace
23D|sezóna
23D2|dva
23D21|zima
23D22|léto
23D23|svár
23D23|léto
23D23|zima
23D3|tři
23D311|duben
23D311|únor
23D311|leden
23D311|březen
23D312|srpen
23D312|červenec
23D312|červen
23D312|Existuje
23D313|December
23D313|listopad
23D313|říjen
23D313|září
23D321|December
23D321|únor
23D321|leden
23D321|březen
23D322|duben
23D322|červenec
23D322|červen
23D322|Existuje
23D323|srpen
23D323|listopad
23D323|říjen
23D323|září
23D4|čtyři
23D41|Hyems
23D41|Zima
23D41|oteplování
23D41|zima
23D42|Jaro
