2|Natur
20|Brust
20|Busen
20|Diana von Ephesus
20|Ripa, Cesare
20|natura
21|Elemente
21|fuenf
21|vier
210|Empedocles
210|Ripa, Cesare
210|elementi
21A|Luft
21A0|Aria
21A0|Ripa, Cesare
21A0|carro dell'aria
21A1|Geist
21A1|Luftgeist
21A1|Sylphe
21B|Erde
21B0|Ripa, Cesare
21B0|carro della terra
21B0|terra
21B1|Geist
21B1|Gnom
21B1|Troll
21C|Feuer
21C|fünf
21C0|Ripa, Cesare
21C0|carro del fuoco
21C0|fuenf
21C0|fuoco
21D|Wasser
21D0|Ripa, Cesare
21D0|acqua
21D0|carro dell'acqua
21D1|Geist
21D1|Nixe
21D1|Undine
21D1|Wassernixe
21D2|Eis(-decke, -schicht)
21D3|Dampf
21E|Aether
21E|essentia
21E|quinta essentia
22|Naturphaenomene
22|Phaenomene
22A|Materie
22A0|Allegorie
22A0|Naturphänomene
22A0|Phänomene
22A1|Naturphänomene
22A1|Phänomene
22A1|chemische Substanzen
22A1(...)|Naturphaenomene
22A1(...)|Phaenomene
22A2|Naturphänomene
22A2|Phänomene
22A2|chemische Phänomene
22A21|Reaktion
22A3|physische Phaenomene
22A31|Naturphänomene
22A31|Phänomene
22A31|Zustand
22A31|physische Phänomene
22A311|Naturphaenomene
22A311|Phaenomene
22A311|fest
22A311|physische Phaenomene
22A312|Naturphaenomene
22A312|Phaenomene
22A312|fluessig
22A312|physische Phaenomene
22A3121|Kondensation
22A31211|Kondensstreifen
22A31211|Spur
22A313|Gas
22A313|Naturphaenomene
22A313|Phaenomene
22A313|physische Phaenomene
22B|Elektrizitaet
22B|Magnetismus
22B1|elektrische Phaenomene
22B11|Funke
22B2|magnetische Phaenomene
22B21|Magnet
22B22|Kraft
22B22|Magnetkraft
22B221|Anziehung
22B222|Abstossung
22C|Licht
22C1|Licht (natuerliches)
22C11|Lichtstrahl
22C2|Kunstlicht
22C21|Lichtstrahl
22C3|uebernatuerliches Licht
22C31|Lichtstrahl
22C311|Halo
22C311|Heiligenschein
22C311|Nimbus
22C3111|Kreuz
22C3111|Kreuznimbus
22C3112|Quadrat
22C3112|Rhombus
22C3113|Stern
22C3115|Garn
22C3115|Gold
22C312|Mandorla
22C3121|Mandel
22C3121|Oval
22C3122|Kreis
22C32|Himmel
22C32|Lichtstrahl
22C4|Farbe
22C4|Pigment
22C4(BLACK)|schwarz
22C4(BLUE)|blau
22C4(BROWN)|braun
22C4(GOLD)|Gold
22C4(GREEN)|gruen
22C4(PURPLE)|Purpur
22C4(RED)|rot
22C4(WHITE)|weiss
22C4(YELLOW)|gelb
22C5|Reflexion
22C8|Schatten
22C9|Dunkelheit
22C90|Ripa, Cesare
22C90|buio
22C91|Halblicht
22D|Klang
22D|Schall
22D1|Laerm
22D1|lautes Geraeusch
22D11|Harmonie
22D11|Konsonanz
22D11|Kunstwerk
22D11|Musik
22D110|Ripa, Cesare
22D110|armonia
22D12|Disharmonie
22D2|leise
22D3|Grenze
22D3|Schallgrenze
22D3|Schallmauer
22D4|Echo
22D4|Naturphänomene
22D4|Phänomene
22D9|Ruhe
22D9|Schweigen
22D9|Stille
22E|Temperatur
22E1|Hitze
22E11|gluehen
22E12|Naturphänomene
22E12|Phänomene
22E12|brennen
22E12|verbrennen
22E13|strahlen
22E2|kalt
22E21|Frost
22E21|Naturphänomene
22E21|Phänomene
22E21|frieren
22E22|absoluter Nullpunkt
22E3|Skala
22E31|Fahrenheit
22E32|Réaumur
22E33|Celsius
22E34(...)|Kelvin
22E4|Naturphänomene
22E4|Phänomene
22E4|Thermometer
23|Zeit
23A|Allegorie
23A1|Fluegel
23A1|Sense
23A11|Ripa, Cesare
23A11|tempo
23A2|Ewigkeit
23A2|Ripa, Cesare
23A2|aeternitas
23A2|eternità
23A21|Ouroboros
23A21|Schlange
23A31|Vergangenheit
23A32|Gegenwart
23A33|Zukunft
23A4|Wirkung
23A41|Luft (in der)
23A41|Wahrheit
23A41|freilegen
23A41|offenbaren
23A41|schweben
23A41|tragen
23A411|entkleiden
23A411|nackt
23A42|Vergangenheit
23A42|verbergen
23A43|Faulheit
23A43|Fleiss
23A43|Strafe
23A43|belohnen
23A44|Vergaenglichkeit
23A441|Gebaeude
23A441|Ruine
23A45|Schoenheit
23A45|entfuehren
23B|Epoche
23B|Zeitabschnitt
23B1|tausend
23B2|Millennium
23B2|tausend
23B3|Jahrhundert
23B3|einhundert
23B30|Ripa, Cesare
23B30|secolo
23B4|fuenfzig
23B5|fuenfundzwanzig
23B6|zwoelfeinhalb
23B7|Dekade
23B7|zehn
23B8|Lustrum
23B8|fuenf
23B9(...)|dreihundertundfuenfundsechzig
23B9(...)|platonisches Jahr
23C|Jahr
23C|Sonne
23C|Sonnenjahr
23C1|Personifikation
23C1|Ripa, Cesare
23C1|anno
23C1|annus
23C1|carro dell'anno
23C2|Mond
23C3|Stern
23C3|Sterne betreffend
23D|Jahreszeit
