2|nature
20|Diana of Ephesus
20|Natura
20|Nature
20|Ripa
20|breast
21|elements
21|five
21|four
210|Elementi
210|Empedocles
210|Ripa
21A|air
21A0|Aria
21A0|Carro dell'aria
21A0|Ripa
21A1|spirit
21A1|sylph
21B|earth
21B0|Carro della terra
21B0|Ripa
21B0|Terra
21B1|gnome
21B1|spirit
21B1|troll
21C|fire
21C0|Carro del fuoco
21C0|Fuoco
21C0|Ripa
21D|water
21D0|Acqua
21D0|Carro dell'acqua
21D0|Ripa
21D1|nix
21D1|spirit
21D1|undine
21D2|ice
21D3|steam
21E|essentia
21E|ether
21E|quinta essentia
22|natural phenomena
22|phenomena
22A|matter
22A0|allegory
22A1|chemical substance
22A2|chemical phenomena
22A21|reaction
22A3|physical phenomena
22A31|state
22A311|solid
22A312|liquid
22A3121|condensation
22A31211|track
22A31211|vapour trail
22A313|gas
22B|electricity
22B|magnetism
22B1|electrical phenomena
22B11|spark
22B2|magnetic phenomena
22B21|magnet
22B22|force
22B22|magnetic force
22B221|attraction
22B222|repulsion
22C|light
22C1|natural light
22C11|ray of light
22C2|artificial light
22C21|ray of light
22C3|supernatural light
22C31|ray of light
22C311|halo
22C311|nimbus
22C3111|cross
22C3111|cross-nimbus
22C3112|rhombus
22C3112|square (shape)
22C3113|star
22C3115|gold
22C3115|yarn
22C312|mandorla
22C3121|almond
22C3121|oval
22C3122|circle
22C32|heaven
22C32|ray of light
22C4|colour
22C4|paint
22C4|pigment
22C4(BLACK)|black
22C4(BLUE)|blue
22C4(BROWN)|brown
22C4(GOLD)|gold
22C4(GREEN)|green
22C4(PURPLE)|purple
22C4(RED)|red
22C4(WHITE)|white
22C4(YELLOW)|yellow
22C5|reflection
22C8|shadow
22C9|darkness
22C90|Buio
22C90|Ripa
22C91|half-light
22D|sound
22D1|loud sound
22D1|noise
22D11|consonance
22D11|harmony
22D11|music
22D11|work of art
22D110|Armonia
22D110|Ripa
22D12|disharmony
22D2|soft
22D3|barrier
22D3|sound-barrier
22D4|echo
22D9|silence
22E|temperature
22E1|heat
22E11|glowing
22E12|burning
22E13|radiating
22E2|cold
22E21|freezing
22E22|absolute zero
22E22|zero point
22E3|scale
22E31|Fahrenheit
22E32|Réaumur
22E33|Celsius
22E34(...)|Kelvin
22E4|thermometer
23|time
23A|allegory
23A1|scythe
23A1|wing
23A11|Ripa
23A11|Tempo
23A2|Aeternitas
23A2|Eternità
23A2|Ripa
23A2|eternity
