2|luonto
20|Efesoksen Diana
20|Luonto
20|Natura
20|Ripa
20|rinta
21|elementit
21|neljä
21|viisi
210|Elementi
210|Empedokles
210|Ripa
210|elementti
21A|ilma
21A0|Aria
21A0|Carro dell'aria
21A0|Ripa
21A1|henki
21A1|ilman haltija
21A1|sylfi
21B|maa
21B|maapallo
21B|maaperä
21B0|Carro della terra
21B0|Ripa
21B0|Terra
21B1|henki
21B1|maahinen
21B1|menninkäinen
21B1|peikko
21B1|trulli
21C|tuli
21C0|Carro del fuoco
21C0|Ripa
21C0|fuoco
21D|vesi
21D0|Acqua
21D0|Carro dell'acqua
21D0|Ripa
21D1|henki
21D1|vedenhaltija
21D1|vedenneito
21D2|jää
21D3|höyry
21E|eetteri
21E|essentia
21E|quinta essentia
22|ilmiöt
22|luonnonilmiöt
22A|aine
22A|materia
22A0|allegoria
22A1|kemiallinen aine
22A2|kemiallinen ilmiö
22A21|reaktio
22A3|fyysiset ilmiöt
22A31|olomuoto
22A31|valtio
22A31|valtiovalta
22A311|avaruus(geometria)
22A311|kiinteä
22A311|kolmiulotteisuus
22A312|neste
22A3121|kondensointi
22A3121|tiivistyminen
22A31211|höyryjuova (lentokone)
22A31211|jälki
22A31211|rata
22A31211|tiivistymisjuova (lentokone)
22A313|kaasu
22B|sähkö
22B|sähköisyys
22B|sähköoppi
22B|vetovoima
22B1|sähköiset ilmiöt
22B11|kipinä
22B2|magneettiset ilmiöt
22B21|magneetti
22B22|magneettinen voima
22B22|mahti
22B22|pakko
22B22|voima
22B221|viehätys
22B222|inho
22B222|vastenmielisyys
22C|valkeus
22C|valo
22C1|luonnonvalo
22C11|valonsäde
22C2|keinovalo
22C21|valonsäde
22C3|yliluonnollinen valo
22C31|valonsäde
22C311|auringon tai kuun kehä
22C311|pyhimyskehä
22C311|sädekehä
22C311|säteilevä valonhohde
22C3111|cross-nimbus
22C3111|risti
22C3111|ristinmuotoinen pyhimyskehä
22C3112|nelikulmio
22C3112|ruutu
22C3112|vinoneliö
22C3113|tähti
22C3115|kulta
22C3115|lanka
22C312|mandorla
22C3121|manteli
22C3121|ovaali
22C3121|soikea
22C3122|kehä
22C3122|piiri
22C3122|ympyrä
22C32|taivas
22C32|valonsäde
22C4|maali
22C4|pigmentti
22C4|väri
22C4(BLACK)|musta
22C4(BLUE)|sininen
22C4(BROWN)|ruskea
22C4(GOLD)|kulta
