2|nature
20|Diane d'Éphèse
20|Natura
20|Nature
20|Ripa
20|poitrine
20|sein
21|cinq
21|quatre
21|éléments
210|Elementi
210|Empédocle
210|Ripa
21A|air
21A0|Aria
21A0|Carro dell'aria
21A0|Ripa
21A1|esprit (génie)
21A1|sylphe
21B|terre
21B0|Carro della terra
21B0|Ripa
21B0|Terra
21B1|esprit (génie)
21B1|gnome
21B1|troll
21C|feu
21C0|Carro del fuoco
21C0|Fuoco
21C0|Ripa
21D|eau
21D0|Acqua
21D0|Carro dell'acqua
21D0|Ripa
21D1|esprit (génie)
21D1|nixe
21D1|ondine
21D2|glace
21D3|vapeur
21E|essentia
21E|quinta essentia
21E|quintessense
21E|éther
22|phénomène
22|phénomène naturel
22A|matière
22A0|allégorie
22A1|chimique
22A1|substance chimique
22A2|chimique
22A2|phénomènes chimiques
22A21|réaction
22A3|phénomènes physiques
22A31|état
22A311|solide
22A312|liquide
22A3121|condensation
22A31211|piste
22A31211|trace
22A31211|trace de vapeur
22A313|gaz
22B|magnétisme
22B|électricité
22B1|phénomènes électriques
22B11|étincelle
22B2|phénomènes magnétiques
22B21|aimant
22B22|force
22B22|force magnétique
22B22|puissance
22B221|attraction
22B222|répulsion
22C|lumière
22C1|lumière naturelle
22C11|rayon de lumière
22C2|lumière artificielle
22C21|rayon de lumière
22C3|lumière surnaturelle
22C31|rayon de lumière
22C311|halo
22C311|nimbe
22C3111|croix
22C3111|nimbe crucifère
22C3112|carré
22C3112|rhombe
22C3113|étoile
22C3115|fil
22C3115|or
22C312|mandorle
22C3121|amande
22C3121|ovale
22C3122|cercle
22C32|ciel
22C32|rayon de lumière
22C4|couleur
22C4|couleurs
22C4|pigment
22C4(BLACK)|noir
22C4(BLUE)|bleu
22C4(BROWN)|brun
22C4(GOLD)|or
22C4(GREEN)|vert
22C4(PURPLE)|pourpre
22C4(RED)|rouge
22C4(WHITE)|blanc
22C4(YELLOW)|jaune
22C5|reflet
22C5|réflexion
22C8|ombre
22C9|ténèbres
22C90|Buio
22C90|Ripa
22C91|demi-jour
22D|son
22D1|bruit
22D1|son fort
22D11|consonance
22D11|harmonie
22D11|musique
22D11|oeuvre d'art
22D110|Armonia
22D110|Ripa
22D12|dissonance
22D2|doux
22D3|barrière
22D3|mur du son
22D4|écho
22D9|silence
22E|température
22E1|chaleur
22E11|incandescent
22E12|brûler
22E13|irradier
22E13|rayonner
22E2|froid
22E21|geler
22E22|zéro absolu
22E3|échelle
22E31|Fahrenheit
22E32|Réaumur
22E33|Celsius
22E34(...)|Kelvin
22E4|thermomètre
23|temps
23A|allégorie
23A1|aile
23A1|faux
23A11|Ripa
23A11|Tempo
23A2|Aeternitas
23A2|Eternità
23A2|Ripa
23A2|éternité
23A21|Ouroboros
23A21|serpent
23A31|passée (le)
23A32|présent
23A33|futur
23A4|effet
23A41|air (dans l')
23A41|découvrir
23A41|porter
23A41|révéler
23A41|vérité
23A411|déshabiller
23A411|nu
23A42|cacher
23A42|passée (le)
23A43|Paresse
23A43|Zèle
23A43|activité
23A43|assiduité
23A43|punition
23A43|récompenser
23A44|fugacité
23A441|bâtiment
23A441|ruine
23A441|édifice
23A45|beauté
23A45|enlever
23B|époque
23B1|mille
23B2|mille
23B2|millénaire
23B2|millénium
23B3|cent
23B3|siècle
23B30|Ripa
23B30|Secolo
23B4|cinquante
23B5|vingt-cinq
23B6|douze et demi
23B7|dix
23B7|décennie
23B8|cinq
23B8|lustre
23B9(...)|grand nombre d'années
23B9(...)|trois cent soixante cinq
23C|année
23C|année solaire
23C|soleil
23C1|Anno
23C1|Annus
23C1|Carro dell'anno
23C1|Ripa
23C1|personnification
23C2|lune
23C3|sidéral
23C3|étoile
23D|Quattro stagione dell'anno (Le)
23D|Ripa
23D|Stagione
23D|personnification
23D|saison
23D2|deux
23D21|hiver
23D22|eté
23D23|combat
23D23|eté
23D23|hiver
23D3|trois
23D311|Mars
23D311|avril
23D311|février
23D311|janvier
23D312|août
23D312|juillet
23D312|juin
23D312|mai
23D313|décembre
23D313|novembre
23D313|octobre
23D313|septembre
23D321|Mars
23D321|décembre
23D321|février
23D321|janvier
23D322|avril
23D322|juillet
23D322|juin
23D322|mai
23D323|août
23D323|novembre
23D323|octobre
23D323|septembre
23D4|quatre
23D41|Hyems
23D41|Inverno
23D41|chauffer
23D41|hiver
23D42|Primavera
23D42|Ver
23D42|printemps
23D43|Aestas
23D43|Estate
23D43|eté
23D44|Autumnus
23D44|Autunno
23D44|automne
23D5|cinq
23D6|six
23D611|février
23D611|janvier
23D612|Mars
23D612|avril
23D613|juin
23D613|mai
23D614|août
23D614|juillet
23D615|octobre
23D615|septembre
23D616|décembre
23D616|novembre
23D621|décembre
23D621|janvier
23D622|Mars
23D622|février
23D623|avril
23D623|mai
23D624|juillet
23D624|juin
23D625|août
23D625|septembre
23D626|novembre
23D626|octobre
23E|activités
23E|occupations humaines
23E|paysage
23E|saison
23E|travail
23E2|deux
23E21|hiver
23E22|eté
23E23|combat
23E23|eté
23E23|hiver
23E3|trois
23E311|Mars
23E311|avril
23E311|février
23E311|janvier
23E312|août
23E312|juillet
23E312|juin
23E312|mai
23E313|décembre
23E313|novembre
23E313|octobre
23E313|septembre
23E321|Mars
23E321|décembre
23E321|février
23E321|janvier
23E322|avril
23E322|juillet
23E322|juin
23E322|mai
23E323|août
23E323|novembre
23E323|octobre
23E323|septembre
23E4|quatre
23E41|hiver
23E42|printemps
23E43|eté
23E44|automne
23E5|cinq
23E6|six
23E611|février
23E611|janvier
23E612|Mars
23E612|avril
23E613|juin
23E613|mai
23E614|août
23E614|juillet
23E615|octobre
23E615|septembre
23E616|décembre
23E616|novembre
23E621|décembre
23E621|janvier
23E622|Mars
23E622|février
23E623|avril
23E623|mai
23E624|juillet
23E624|juin
23E625|août
23E625|septembre
23E626|novembre
23E626|octobre
23F|paysage
23F|saison
23F2|deux
23F21|hiver
23F22|eté
23F23|combat
23F23|eté
23F23|hiver
23F3|trois
23F311|Mars
23F311|avril
23F311|février
23F311|janvier
23F312|août
23F312|juillet
23F312|juin
23F312|mai
23F313|décembre
23F313|novembre
23F313|octobre
23F313|septembre
23F321|Mars
23F321|décembre
23F321|février
23F321|janvier
23F322|avril
23F322|juillet
23F322|juin
23F322|mai
23F323|août
23F323|novembre
23F323|octobre
23F323|septembre
23F4|quatre
23F41|hiver
23F42|printemps
23F43|eté
23F44|automne
23F5|cinq
23F6|six
23F611|février
23F611|janvier
23F612|Mars
23F612|avril
23F613|juin
23F613|mai
23F614|août
23F614|juillet
23F615|octobre
23F615|septembre
23F616|décembre
23F616|novembre
23F621|décembre
23F621|janvier
23F622|Mars
23F622|février
23F623|avril
23F623|mai
23F624|juillet
23F624|juin
23F625|août
23F625|septembre
23F626|novembre
23F626|octobre
23G|fleur
23G|fruit
23G|nature morte
23G|saison
23G2|deux
23G21|hiver
23G22|eté
23G23|combat
23G23|eté
23G23|hiver
23G3|trois
23G311|Mars
23G311|avril
23G311|février
23G311|janvier
23G312|août
23G312|juillet
23G312|juin
23G312|mai
23G313|décembre
23G313|novembre
23G313|octobre
23G313|septembre
23G321|Mars
23G321|décembre
23G321|février
23G321|janvier
23G322|avril
23G322|juillet
23G322|juin
23G322|mai
23G323|août
23G323|novembre
23G323|octobre
23G323|septembre
23G4|quatre
23G41|hiver
23G42|printemps
23G43|eté
23G44|automne
23G5|cinq
23G6|six
23G611|février
23G611|janvier
23G612|Mars
23G612|avril
23G613|juin
23G613|mai
23G614|août
23G614|juillet
23G615|octobre
23G615|septembre
23G616|décembre
23G616|novembre
23G621|décembre
23G621|janvier
23G622|Mars
23G622|février
23G623|avril
23G623|mai
23G624|juillet
23G624|juin
23G625|août
23G625|septembre
23G626|novembre
23G626|octobre
23H|bible
23H|saison
23H2|deux
23H21|hiver
23H22|eté
23H23|combat
23H23|eté
23H23|hiver
23H3|trois
23H311|Mars
23H311|avril
23H311|février
23H311|janvier
23H312|août
23H312|juillet
23H312|juin
23H312|mai
23H313|décembre
23H313|novembre
23H313|octobre
23H313|septembre
23H321|Mars
23H321|décembre
23H321|février
23H321|janvier
23H322|avril
23H322|juillet
23H322|juin
23H322|mai
23H323|août
23H323|novembre
23H323|octobre
23H323|septembre
23H4|quatre
23H41|hiver
23H42|printemps
23H43|eté
23H44|automne
23H5|cinq
23H6|six
23H611|février
23H611|janvier
23H612|Mars
23H612|avril
23H613|juin
23H613|mai
23H614|août
23H614|juillet
23H615|octobre
23H615|septembre
23H616|décembre
23H616|novembre
23H621|décembre
23H621|janvier
23H622|Mars
23H622|février
23H623|avril
23H623|mai
23H624|juillet
23H624|juin
23H625|août
23H625|septembre
23H626|novembre
23H626|octobre
23I|Mese in generale
23I|Ripa
23I|douze
23I|mois
23I|personnification
23I11|Gennaro
23I11|janvier
23I12|Febraro
23I12|février
23I13|Mars
23I13|Marzo
23I21|Aprile
23I21|avril
23I22|Maggio
23I22|mai
23I23|Giugno
23I23|juin
23I31|Luglio
23I31|juillet
23I32|Agosto
23I32|août
23I33|Settembre
23I33|septembre
23I41|Ottobre
23I41|octobre
23I42|Novembre
23I42|novembre
23I43|Decembre
23I43|décembre
23K|abattage des arbres
23K|abattre
23K|activités
23K|battage
23K|cochon
23K|cuire
23K|douze
23K|fauconnerie
23K|fénaison
23K|greffer
23K|mois
23K|moisson
23K|occupations humaines
23K|paysage
23K|pressoir à vin
23K|ramasser
23K|récolte
23K|semer
23K|tonneau de vin
23K|travail
23K|vendange
23K|vignoble
23K|élaguer
23K11|janvier
23K12|février
23K13|Mars
23K21|avril
23K22|mai
23K23|juin
23K31|juillet
23K32|août
23K33|septembre
23K41|octobre
23K42|novembre
23K43|décembre
23L|douze
23L|mois
23L|paysage
23L11|janvier
23L12|février
23L13|Mars
23L21|avril
23L22|mai
23L23|juin
23L31|juillet
23L32|août
23L33|septembre
23L41|octobre
23L42|novembre
23L43|décembre
23M|douze
23M|fleur
23M|fruit
23M|mois
23M|nature morte
23M11|janvier
23M12|février
23M13|Mars
23M21|avril
23M22|mai
23M23|juin
23M31|juillet
23M32|août
23M33|septembre
23M41|octobre
23M42|novembre
23M43|décembre
23N|douze
23N|mois
23N11|janvier
23N12|février
23N13|Mars
23N21|avril
23N22|mai
23N23|juin
