2|natura
20|Diana efesia
20|Natura
20|Natura (Ripa)
20|Ripa
20|petto
21|cinque
21|elementi
21|quattro
210|Elementi
210|Empedocle
210|Ripa
21A|aria
21A0|Aria
21A0|Carro dell'aria
21A0|Ripa
21A1|silfide
21A1|silfo
21A1|spirito
21A1|spirituale
21B|terra
21B0|Carro della terra
21B0|Ripa
21B0|Terra
21B1|gnomo
21B1|spirito
21B1|spirituale
21B1|troll
21C|fuoco
21C0|Carro del fuoco
21C0|Fuoco
21C0|Ripa
21D|acqua
21D0|Acqua
21D0|Carro dell'acqua
21D0|Ripa
21D1|nix
21D1|ondina
21D1|spirito
21D1|spirituale
21D2|ghiaccio
21D3|vapore
21E|essentia
21E|etere
21E|quinta essentia
22|fenomeni
22|fenomeni naturali
22A|materia
22A0|allegoria
22A1|sostanza chimica
22A2|fenomeno chimico
22A21|reazione
22A3|fenomeni fisici
22A31|stato
22A311|solido
22A312|liquido
22A3121|condensazione
22A31211|impronta
22A31211|scia di condensazione
22A31211|traccia
22A313|gas
22B|elettricità
22B|magnetismo
22B1|fenomeni elettrici
22B11|scintilla
22B2|fenomeni magnetici
22B21|magnete
22B22|forza
22B22|forza magnetica
22B221|attrazione (forza di)
22B222|repulsione
22C|luce
22C1|luce naturale
22C11|raggio di luce
22C2|luce artificiale
22C21|raggio di luce
22C3|luce soprannaturale
22C31|raggio di luce
22C311|alone
22C311|nimbo
22C3111|croce
22C3111|nimbo a croce
22C3112|quadrato
22C3112|rombo
22C3113|stella
22C3115|filato
22C3115|oro
22C312|mandorla
22C3121|ovale
22C3122|cerchio
22C32|Cielo
22C32|raggio di luce
22C4|colore
22C4|pigmento
22C4|tintura
22C4|vernice
22C4(BLACK)|nero
22C4(BLUE)|blu
22C4(BROWN)|marrone
22C4(GOLD)|oro
22C4(GREEN)|verde
22C4(PURPLE)|porpora
22C4(RED)|rosso
22C4(WHITE)|bianco
22C4(YELLOW)|giallo
22C5|riflesso
22C8|ombra
22C9|tenebre
22C90|Buio
22C90|Ripa
22C91|penombra
22D|suono
22D1|rumore
22D1|suono alto
22D11|armonia
22D11|consonanza
22D11|musica
22D11|opera d'arte
22D110|Armonia
