0|Abstract, Non-representational Art
1|Náboženství a magie
10|(symbolická) zobrazení ~ stvoření, kosmos, kosmogonie, vesmír a život (v nejširším slova smyslu)
11|Christian religion
11A|Božství, Bůh (obecně) ~ Křesťanské náboženství
11A1|Bůh Stvořitel
11A11|Bůh měří vesmír (pomocí kompasů)
11A2|Divine Nature
11A21|Divinity, 'Divinità' (Ripa)
11A22|symbols ~ Divine Nature
11A221|circle symbolizing God's perfectness
11A23|God's perfections
11A3|God's wrath
11A31|'Flagello di Dio' (Ripa)
11A4|God's will
11B|svatá Trojice, "Trinitas coelestis"; Otec, Syn a Duch svatý ~ křesťanské náboženství
11B1|Trinity represented by tripartite symbols
11B11|symboly Trojice ~ kruhové a/nebo trojúhelníkové tvary nebo uspořádání
11B111|three concentric circles ~ Trinity
11B112|three interlocked circles ~ Trinity
11B113|trojúhelník (v kruhu), s okem nebo tetragramem ~ Trojice
11B114|tři zvířata geometricky uspořádaná v kruhu nebo trojúhelníku ~ Trojice
11B115|tři běžící muži, uspořádaní do kruhu ~ Trojice
11B12|Trojice zobrazená jako osoba se třemi hlavami
11B121|"Tricephalus", pouze tři srostlé hlavy nebo obličeje (~ Trojice)
11B13|Trinity represented by three animals sharing one head
11B14|další trojjediné symboly Trojice
11B2|Trojice, v níž je každá z osob (Bůh, Kristus, Duch svatý) znázorněna buď předmětem, nebo zvířetem
11B21|zobrazení Trojice: ruka (Otec), beránek (Syn) a holubice (Duch svatý)
11B22|zobrazení Trojice: ruka, kříž a holubice
11B23|zobrazení Trojice: ruka, kalich a holubice
11B3|Svatá Trojice, v níž je jedna, dvě nebo všechny postavy zobrazeny v lidské podobě
11B31|Trinity as three persons
11B311|Trinity as three identical persons
11B312|Otec a Duch svatý drží ukřižovaného Krista (~ Trojice)
11B32|Trojice, v níž jsou Bůh Otec a Kristus znázorněni jako osoby, Duch svatý jako holubice
11B321|Sedící Bůh Otec, který drží na klíně mladého Krista (Emanuela)
11B322|Bůh Otec a Kristus na trůně
11B3221|Bůh Otec a Kristus jako totožné osoby
11B3222|Christ showing his wounds
11B323|Bůh Otec drží ukřižovaného nebo mrtvého Krista
11B3231|Bůh Otec drží krucifix, "Gnadenstuhl", Sídlo milosrdenství, Trůn milosti
11B3232|Bůh Otec stojí nebo sedí, drží tělo Krista, "Pitié-de-Notre-Seigneur", "Not Gottes"
11B33|zobrazení Trojice
11B331|zobrazení Trojice: osoba (Otec), beránek (Syn) a holubice (Duch svatý)
11B332|zobrazení Trojice: osoba (Otec), lev (Syn) a holubice (Duch svatý)
11B333|zobrazení Trojice: symbol (Otec), osoba (Syn), holubice (Duch svatý)
11B4|"Ratschluss der Erlösung", "Prolog im Himmel"; Boží dekret o vykoupení
11B41|Božské nařízení o vykoupení, přítomné alegorické postavy, např. spravedlnost, milosrdenství, mír a pravda (smířené ctnosti)
11B42|zaslání Gabriel ~ 'Ratschluss der Erlösung'
11B43|gabrielův návrat ~ 'Ratschluss der Erlösung'
11B44|poslání syna ~ 'Ratschluss der Erlösung'
11B45|návrat syna ~ 'Ratschluss der Erlösung'
11B5|rozšíření Nejsvětější Trojice
11B51|Čtveřice (tj. Trojice s Marií)
11B52|Quinity
11C|Bůh Otec
11C1|symboly Boha Otce
11C11|vševidoucí oko, trojúhelník s okem ~ symbol Boha Otce
11C12|ruka, "Dextera Dei" ~ symbol Boha Otce
11C13|tetragram (v římském nebo hebrejském písmu) ~ symbol Boha Otce
11C14|(ohnivý) sloup ~ symbol Boha Otce
11C15|(paprsky) světla ~ symbol Boha Otce
11C16|alfa a omega ~ symbol Boha Otce
11C2|Bůh Otec zobrazený jako člověk, obvykle s korunou, tiárou, žezlem a/nebo zeměkoulí
11C21|Bůh Otec jako mladý nebo dospělý muž (možná podobný Kristu)
11C211|Bůh Otec na trůně, obvykle s žezlem a/nebo glóbem
11C22|Bůh Otec jako mladý nebo dospělý muž podobný Jupiterovi
11C221|Bůh Otec (podobný Jupiterovi) na trůně, obvykle s žezlem a/nebo glóbem
11C23|Bůh Otec jako vousatý stařec, obvykle s korunou, tiárou, žezlem a/nebo glóbem
11C231|Bůh Otec (jako vousatý stařec) na trůně, obvykle s korunou nebo tiárou a s žezlem a/nebo glóbem
11C3|Kristus sedí po Boží pravici
11C31|God crowning Christ
11C32|Bůh současně korunuje Krista a Marii
11C4|"Scala Salutis", Kristus a Maria se přimlouvají u Boha Otce
11C41|Kristus se přimlouvá u Boha Otce
11C5|další zobrazení ~ Bůh Otec
11C51|Bůh Otec mezi sluncem a měsícem
11D|Christ
11D1|symboly a prefigurace Krista
11D11|písmena a monogramy ~ symboly Krista
11D111|alfa a omega, někdy s věncem, trojúhelníkem, nástroji umučení atd. ~ symbol Krista
11D112|Chrismon a odvozené formy ~ symbol Krista
11D113|IHS ("Iesus Hominum Salvator") ~ symbol Krista
11D1131|labarum, tj. císařský etalon s christogramem IHS
11D1132|uctívání Ježíšova jména
11D114|"Ichthys" ~ symbol Krista
11D12|kříž ~ symboly Krista
11D121|kříž jako symbol Krista
11D122|kříž se symbolem Krista, např. beránek
11D1221|kříž s hlavou nebo poprsím Krista
11D123|specifické formy kříže
11D123(...)|konkrétní podoby kříže (s JMÉNEM)
11D123(ANDREW'S CROSS)|konkrétní podoby kříže: Ondřejův kříž
11D123(ANSATE CROSS)|specifické podoby kříže: kříž ansate
11D123(BENEDICTINE CROSS)|konkrétní podoby kříže: Benediktinský kříž
11D123(CARAVACA CROSS)|konkrétní podoby kříže: Kříž z Caravacy
11D123(FORKED CROSS)|specifické formy kříže: rozvětvený kříž
11D123(GREEK CROSS)|konkrétní podoby kříže: Řecký kříž
11D123(LORRAINE CROSS)|konkrétní podoby kříže: Lorraine cross
11D123(SWASTIKA)|specifické formy kříže: svastika
11D123(TAU-CROSS)|konkrétní podoby kříže: Tau-kříž
11D124|uctívání kříže
11D13|(jiné) symboly Krista
11D131|symboly Krista ~ zvířata
11D1311|beránek nesoucí kříž nebo prapor, "Agnus Dei" ~ symbol Krista
11D1312|symboly Krista ~ ptáci
11D13121|holubice jako symbol Krista
11D13122|orel jako symbol Krista
11D13123|páv jako symbol Krista
11D13124|pelikán jako symbol Krista
11D1313|symboly Krista ~ savci
11D13131|jelen jako symbol Krista
11D13132|delfín jako symbol Krista
11D13133|zajíc jako symbol Krista
11D13134|lev jako symbol Krista
11D1314|symboly Krista ~ hmyz
11D13141|skarabeus jako symbol Krista
11D1315|symboly Krista ~ bájná zvířata
11D13151|gryf jako symbol Krista
11D13152|fénix jako symbol Krista
11D13153|jednorožec jako symbol Krista
11D132|symboly Krista ~ rostliny
11D133|symboly Krista ~ předměty
11D1331|"Etimasia", prázdný trůn s knihou života, připravený pro Krista
11D134|chléb a ryba ~ symboly Krista
11D14|předobrazy Krista, Kristus a jeho předobrazy
11D15|vtělení ~ Kristus
11D2|Kristus jako dítě nebo mladík (obecně) ~ křesťanské náboženství
11D21|Kristus-dítě (s atributy)
11D22|Kristus-dítě ~ typy dospělého Krista
11D23|Christ-child ~ Passion, 'Schmerzenskind'
11D231|Dítě Kristus rozjímá před nástroji umučení Krista
11D232|Kristus-dítě obklopený nástroji umučení
11D233|Kristus-dítě nesoucí nástroje umučení
11D234|Dítě Kristus s pěti ranami
11D235|Kristus-dítě s trnovou korunou nebo s trnitými větvičkami
11D236|Kristus-dítě nesoucí kříž
11D237|Dítě Kristus klečící před křížem
11D238|Kristus-dítě spící na kříži
11D24|Christ-child as eucharistic symbol
11D241|Dítě Kristus v kalichu nebo na kalichu
11D2411|'Melismos' ~ Christ-child as eucharistic symbol
11D242|Kristus-dítě v mystickém mlýně
11D25|Kristus-dítě spolu s ostatními
11D26|Christ as youth
11D261|Christ 'Emmanuel'
11D3|Christ as adult
11D31|"portréty" Krista
11D311|"Mandylion", tj. portrét, který snad pro edesského krále Abgara vytvořil sám Kristus přitisknutím tváře na plátno
11D3111|Kristus dává mandylion poslovi krále Abgara
11D3112|mandylion je přivezen do Edessy
11D312|'Vera Icon', 'Sudarium', Veronica-portrait
11D3121|'Vera Icon', held up by Veronica
11D3122|'Vera Icon', held up by angels
11D3123|"Vera Icon", kterou drží Petr a Pavel
11D3124|"Ikona Věry", kterou drží čtyři symboly evangelistů
11D313|"portrét" Krista podle Lentulova dopisu
11D314|"Volto Santo", např. z Luccy (snad vytesáno Nikodémem)
11D315|lukášův portrét Krista
11D316|ex-voto ženy uzdravené z výtoku krve
11D317|(v celé délce) obraz Krista na rubáši, "Sindone
11D318|(jiné) "portréty" Krista, např. portrét z profilu
11D32|konkrétní typy dospělého Krista (bez dalších)
11D321|"Majestas Domini": Kristus v mandorle sedící na duze nebo kouli a doprovázený Tetramorfem
11D322|Christ enthroned
11D3221|"Pantokrator", (busta) Krista, mluvící nebo žehnající gesto a držící knihu
11D3222|'Christus Rex'
11D3223|Christ as (heavenly) judge
11D323|Kristus - "Logos", vtělené Slovo
11D324|"Salvator Mundi", žehnající gesto; koule v ruce nebo u nohou
11D325|Kristus ~ eucharistie
11D3251|Kristus s kalichem a chlebem nebo hostií
11D3252|Kristus ve vinném lisu, "Christus in der Kelter" (Iz 63,3)
11D3253|Kristus v symbolickém mlýně
11D326|'Fons Vitae', 'Fons Pietatis'
11D3261|Kristus stojí na prameni nebo v jeho blízkosti a prolévá svou krev
11D3262|Kristus na kříži (v prameni), prolévá svou krev
11D327|Christ ~ human occupations
11D3271|Christ as Good Shepherd
11D3272|Christ as physician
11D32721|Christ as apothecary
11D3273|Christ fishing
11D3274|Christ as pedlar
11D3275|Kristus jako zemědělec nebo zahradník
11D3276|Christ as host
11D3277|Kristus jako (vele)kněz nebo prorok
11D3278|Christ as pilgrim
11D3279|"Feiertagschristus", Kristus s řemeslnickým nářadím
11D328|typy dospělého Krista (samostatně)
11D3281|Christ as woman
11D3282|Kristus v postoji orans
11D3283|Christ as angel
11D3284|Christ ~ Orpheus
11D3285|Christ ~ Apollo (Helios)
11D33|dospělý Kristus společně s ostatními (nenarativní zobrazení)
11D331|dospělý Kristus s Marií
11D3311|Kristus a Marie jako ženich a nevěsta
11D332|dospělý Kristus spolu s anděly
11D333|dospělý Kristus ~ ďábel(é) a démonické bytosti
11D3331|Christ triumphing over devil(s)
11D334|dospělého Krista spolu s apoštoly, evangelisty, svatými atd.
11D3341|Kristus s Janem Evangelistou opřeným o jeho hruď, "Johannesminne", "Christus-Johannes-Gruppe
11D3342|"Traditio legis", "Dominus legem dat", tj. Kristus předává svitek (Zákon) Pavlovi; Petr je přítomen
11D33421|Kristus předává svitek (Zákon) Pavlovi; přítomni apoštolové
11D3343|Kristus s kajícími hříšníky (Adam, David, marnotratný syn, Máří Magdaléna, dobrý zločinec, Petr atd.)
11D335|dospělý Kristus spolu se smrtelníky
11D3351|(dospělý) Kristus se zjevuje smrtelníkům
11D3352|Kristus rozdává symboly autority nebo moci církevním a/nebo světským vládcům
11D336|triumfující Kristus, např. na triumfálním voze
11D337|Kristus na koni
