2|Nature
20|"Natura" (alegorická postava nebo výjev; nebo jako Diana z Efesu s mnoha prsy); "Natura" (Ripa)
21|čtyři prvky a éter, pátý prvek
210|'Elementi', 'Elementi secondo Empedocle' (Ripa)
21A|vzduch (jeden ze čtyř prvků)
21A0|'Aria', 'Carro dell'aria' (Ripa)
21A1|duch vzduchu, sylfa
21B|země (jeden ze čtyř prvků)
21B0|'Terra', 'Carro della terra' (Ripa)
21B1|duch země, skřítek, troll
21C|oheň (jeden ze čtyř živlů)
21C0|'Fuoco', 'Carro del fuoco' (Ripa)
21D|voda (jeden ze čtyř živlů)
21D0|'Acqua', 'Carro dell'acqua' (Ripa)
21D1|duch vody, nix, undine
21D2|led ~ stav vody
21D3|steam
21E|ether as 'quinta essentia'
22|natural phenomena
22A|matter
22A0|Hmota (alegorické zobrazení)
22A1|chemical substances
22A1(...)|chemické látky (s NÁZVEM)
22A2|chemical phenomena
22A21|chemical reaction
22A3|physical phenomena
22A31|stavy hmoty
22A311|pevná látka (stav hmoty)
22A312|liquid (stav hmoty)
22A3121|condensation
22A31211|vapour trail
22A313|plyn (stav hmoty)
22B|elektřina a magnetismus
22B1|electrical phenomena
22B11|spark ~ electricity
22B2|magnetic phenomena
22B21|magnet
22B22|magnetic force
22B221|attractive force, attraction ~ magnetic force
22B222|repulsive force, repulsion ~ magnetic force
22C|light
22C1|natural light
22C11|paprsky přirozeného světla
22C2|artificial light
22C21|paprsky umělého světla
22C3|supernatural light
22C31|záře vycházející z osob nebo věcí
22C311|nimbus, aureola ~ záře vycházející z osob nebo věcí
22C3111|cross-nimbus
22C3112|čtvercový nebo kosočtvercový nimbus
22C3113|star-shaped nimbus
22C3114|rays as nimbus
22C3115|(golden) thread as nimbus
22C3116|další typy nimbů, halo
22C312|mandorla
22C3121|oválná nebo mandlová mandorla
22C3122|circular mandorla
22C32|světlo zářící z nebes
22C4|barvy, pigmenty a nátěry
22C4(...)|barvy, pigmenty a nátěry (s NÁZVEM)
22C4(BLACK)|barvy, pigmenty a nátěry: černá
22C4(BLUE)|barvy, pigmenty a nátěry: modrá
22C4(BROWN)|barvy, pigmenty a nátěrové hmoty: hnědá
22C4(GOLD)|barvy, pigmenty a nátěry: zlaté
22C4(GREEN)|barvy, pigmenty a nátěry: zelené
22C4(PURPLE)|barvy, pigmenty a nátěry: fialová
22C4(RED)|barvy, pigmenty a nátěry: červená barva
22C4(WHITE)|barvy, pigmenty a nátěry: bílé
22C4(YELLOW)|barvy, pigmenty a nátěry: žlutá
22C5|odraz (světlo obecně)
22C8|shadow
22C81|stín objektu
22C9|darkness
22C90|'Buio' (Ripa)
22C91|half-light
22D|sound
22D1|loud sound, noise
22D11|harmonious sound, harmony, consonance
22D110|'Armonia' (Ripa)
22D12|disharmonious sound, dissonance
22D2|soft sound
22D3|sound-barrier
22D4|echo
22D9|silence
22E|temperature
22E1|heat
22E11|glowing (heat)
22E12|burning
22E13|radiating (heat)
22E2|coldness
22E21|freezing
22E22|absolute zero point
22E3|temperature scales
22E31|Fahrenheit (temperature scale)
22E32|Réaumur (temperature scale)
22E33|Celsius (temperature scale)
22E34|other temperature scales
22E34(...)|další teplotní stupnice (s NAME)
22E4|thermometer
23|time
23A|alegorie času a věčnosti
23A1|Otec času, muž s křídly a kosou
23A11|další alegorie času, např. "Tempo" (Ripa)
23A2|Eternity, 'Aeternitas'; 'Eternità','Eternità o Perpetuità' (Ripa)
23A21|serpent Ouroboros
23A3|minulost, současnost a budoucnost
23A31|past
23A32|present
23A33|future
23A4|alegorické zobrazení účinků času
23A41|Time revealing Truth; Time carrying Truth aloft
23A411|Time denuding Truth
23A42|Čas skrývá minulost
23A43|Čas odměňuje průmysl a trestá lenost
23A44|prchavost času
23A441|Čas způsobuje zkázu budov atd.
23A45|Time abducting Beauty
23B|po dobu delší než jeden rok
23B1|období delší než 1000 let
23B2|millennium
23B3|100 years, century
23B30|'Secolo' (Ripa)
23B4|50 years
23B5|25 years
23B6|12 1/2 years
23B7|10 years, decade
23B8|5 years, lustrum
23B9|other periods
23B9(...)|ostatní období (s ČÍSLEM let)
23C|year, solar year
