4|Society, Civilization, Culture
41|materiální aspekty každodenního života
41A|housing
41A1|civic architecture; edifices; dwellings
41A10|'Edifitio overo un sito' (Ripa)
41A11|palace
41A111|hôtel, tj. malý palác ve městě
41A12|castle
41A121|opevněný dům ve městě
41A13|edifice, e.g.: public building, department store
41A14|urban housing
41A141|obvyklý dům nebo řada domů
41A142|dům kombinovaný s obchodem
41A143|rodinný dům ve městě
41A144|flat-building, apartment house
41A15|skyscraper
41A16|rural housing, e.g. country-house, villa, cottage
41A161|country-house
41A162|villa
41A163|cottage
41A17|farm (building)
41A171|barn
41A18|hut, cabin, lodge
41A181|log-cabin
41A182|native American lodge
41A1821|wigwam
41A19|other dwelling types
41A191|tent
41A1911|tent-camp
41A1912|tepee, tipi, teepee
41A192|caravan (trailer)
41A1921|caravan-camp
41A1922|trailer
41A193|houseboat
41A194|lake-dwelling, pile-dwelling
41A1941|ostatní obydlí stojící nad zemí
41A195|snow-hut, igloo
41A196|cave-dwelling
41A2|interiér domu
41A21|vestibule, hall
41A211|corridor
41A2111|gallery (spacious corridor)
41A22|communal rooms
41A221|living-room, parlour, sitting-room
41A222|drawing-room, 'salon'
41A2221|boudoir
41A223|dining-room
41A23|bedroom
41A24|bathroom
41A241|bathroom equipment
41A2411|bath-tub
41A2412|shower
41A2413|bidet
41A2414|fitted basin
41A2415|džbán a umyvadlo; umyvadlo
41A25|other rooms
41A251|study; 'studiolo'; library
41A252|kaple (interiér domu)
41A253|sun-porch, sun-parlour, glazed verandah
41A2531|winter-garden, conservatory
41A254|wardrobe
41A2541|linen-closet
41A255|attic, loft
41A256|storage space
41A3|části (domu nebo budovy)
41A31|fasáda (domu nebo budovy)
41A311|front façade
41A3111|kamenná deska v průčelí
41A312|rear façade
41A313|fasáda vnitřního dvora
41A32|door
41A321|otevření dveří
41A3211|open door
41A3212|divided door, upper part opened
41A3213|revolving door
41A322|zavírání, zavírání dveří
41A3221|closed door
41A323|monumental door, porch, 'aediculum'
41A324|kovové konstrukce dveří
41A3241|door-knocker, doorbell
41A3242|door-handle, doorknob
41A325|threshold
41A3251|stile, post, doorjamb
41A3252|door furniture, e.g. boot scraper, brush, doormat
41A326|letter-box ~ door
41A327|doorkeeper, house-guard (inanimate)
41A328|lock ~ door
41A3281|key
41A32811|master-key, 'passe-partout', skeleton key
41A3282|latch
41A3283|bolt
41A3284|padlock
41A33|window
41A331|otevření okna
41A3311|open window
41A332|zavření okna
41A3321|closed window
41A333|window shutters
41A3331|okenice na vnější straně
41A3332|okenice na vnitřní straně
41A334|sunblind, sunshade, awning
41A335|window-seat
41A336|lidská postava u (otevřeného) okna
41A3361|lidská postava u (otevřeného) okna, pohled zvenčí
41A3362|lidská postava u (otevřeného) okna, pohled zevnitř
41A337|pohled oknem
41A3371|pohled oknem zvenčí
41A3372|pohled oknem zevnitř
41A34|staircase
41A341|stairwell
41A3411|escalator
41A342|elevator, lift
41A343|ladder
41A344|fire-escape
41A345|back steps
41A35|front steps
41A351|terrace
41A352|canopy (over entrance)
41A36|střecha (domu nebo budovy)
41A361|věž (domu nebo budovy)
41A3611|věž (věže na domě nebo budově)
41A362|roof-covering
41A363|decorated gable
41A37|basement, cellar
41A38|balcony
41A381|loggia, verandah, porch
41A382|bay-window, oriel
41A39|potrubí a elektroinstalace
41A391|přívod a odvod vody, potrubí (v domě nebo na budově)
41A3911|well
41A3912|pump
41A3913|tap, faucet
41A3914|lavatory, water-closet
41A3915|fountain (indoors)
41A3916|sink, basin
41A3917|water discharge system
41A39171|rain gutter
41A39172|gargoyle
41A392|gas conduits
41A393|electric installation, fittings, e.g. socket, plug, light switch, cable, wire
41A4|dekorace (interiér domu)
41A41|wall-covering
41A411|wall-paper
41A412|panelling
41A413|tapestry
41A414|cordwain, cordovan leather, Dutch: goudleer
41A42|čalounění (místnosti)
41A421|curtains
41A422|závěsy a drapérie
41A4221|velum (závěsy a drapérie)
41A423|ceremonial drapery
41A4231|canopy, baldachin
41A43|floor-covering
41A43(...)|podlahové krytiny (s NAME)
41A431|carpet, rug
41A44|(decorated) ceiling
41A5|přístavby a hospodářské budovy; oplocení; brána
41A51|courtyard
41A511|vnitřní dvůr paláce nebo "hôtelu
41A512|backyard
41A52|coach-house
41A521|garage
41A53|kůlna, malá budova pro určitý účel
41A531|bakehouse
41A532|toolshed
41A54|fence, wall, paling
41A541|balustrade
41A542|gate, entrance
41A5421|barrier
41A5422|kissing gate, clap gate
41A543|stile
41A544|watergate
41A6|garden
41A61|plán, mapa zahrady
41A62|garden buildings
41A621|pergola
41A622|summer-house, arbour, garden-house (Dutch: 'theekoepel')
41A623|hermitage
41A624|belvedere
41A625|trellis
41A626|sham-buildings
41A63|rozvržení zahrady
41A631|lawn
41A632|flower-bed
41A633|rock-garden
41A634|labyrinth, maze ~ garden
41A635|oplocená nebo ohrazená zahrada; "Hortus Conclusus
41A6351|roof garden
41A636|Francouzská nebo architektonická zahrada; formální zahrada
41A637|Anglická nebo krajinářská zahrada
41A638|garden approach, garden drive
41A64|garden ornaments
41A641|sochy, sousoší v zahradě
41A6411|dwarfs, 'grylloi' (garden ornaments)
41A642|obelisks (garden ornaments)
41A643|pyramids (garden ornaments)
41A644|herms (garden ornaments)
41A645|ruins (garden ornaments)
41A646|garden vase
41A65|vodní díla v zahradě
41A651|garden fountain
41A652|garden pond
41A653|garden cascade
41A66|umělá jeskyně v zahradě
41A67|ornamental plants
41A671|zátiší s rostlinami, květinami a ovocem
41A6711|květiny ve váze
41A6712|arranging flowers
41A672|topiaristické práce (keře a stromy upravené do okrasného tvaru); bonsaje, špalíry atd.
41A673|potted plants
41A68|pěstování (okrasné) zahrady
41A681|gardening
41A6811|watering plants
41A682|gardening-tools
41A682(...)|zahradnické nářadí (s NAME)
41A7|nábytek a vybavení domácnosti
41A71|nábytek na odkládání věcí
41A711|table
41A7111|tripod
41A7112|trestle table
41A712|shelves, rack, sideboard
41A7121|what-not
41A7122|bookshelves
|
41A71221|knihovna s dvířky
41A713|kryt na stůl atd.
41A72|seating furniture
41A721|chair
41A7211|stool
41A72111|footstool
41A7212|armchair, seat
41A7213|rocking-chair
41A722|couch, sofa, settee
41A7221|cushion
