5|Abstraktní myšlenky a pojmy
51|Generalities
51A|Existence a způsoby existence
51A1|Existence
51A11|vesmír
51A2|Materiality
51A3|Concreteness
51A4|Presence
51A5|Vnitřní přirozenost, podstata, idea (podle Platóna)
51A51|Interior, Interiority
51A6|Elementariness, Irreducibility
51A7|Perfection, Completeness; 'Perfettione', 'Operatione perfetta' (Ripa)
51A8|Věci známé, známé
51AA|Existence a způsoby existence (protikladné pojmy)
51AA1|Non-existence
51AA2|Immateriality
51AA3|Abstractness, Insubstantiality
51AA4|Nothingness, Absence
51AA5|Circumstance, Accident
51AA51|Exterior, Exteriority
51AA6|Composition
51AA61|Synthesis
51AA7|Imperfection, Incompleteness; 'Imperfettione' (Ripa)
51AA8|Věci neznámé, neznámé
51B|Druhy vztahů
51B1|Relation
51B2|Similarity, Likeness
51B21|Assimilation
51B3|Parity, Equality
51B4|Uniformity
51B5|Identity
51B6|Imitation; 'Imitatione' (Ripa)
51B61|Repetition
51B7|Normality
51BB|Druhy vztahů (protikladné pojmy)
51BB1|Absoluteness, Non-relatedness
51BB2|Dissimilarity, Unlikeness
51BB3|Imparity, Inequality, Difference
51BB4|Multiformity, Variety
51BB5|Contrariety; 'Contrarietà' (Ripa)
51BB51|Ambivalence
51BB6|Originality
51BB61|Singularity, Uniqueness
51BB7|Abnormality
51C|Causation
51C1|Cause
51C2|Necessity, Inevitability; 'Necessità' (Ripa)
51CC|Causation (opposing concepts)
51CC1|Effect, Result
51CC11|Positive Result, Good Result
51CC12|Negative Result, Bad Result
51CC13|Side-effect, Secondary Effect
51CC19|Žádný výsledek, Nedostatek výsledku, Neúčinnost, Marnost
51CC2|Chance, Haphazard
51D|Řád a nepořádek
51D1|Order, Arrangement, Organization
51D2|Harmony, Regularity
51D21|Eurhythmy
51D3|Symmetry; 'Simmetria' (Ripa)
51D4|Beauty; 'Bellezza' (Ripa)
51D41|Grace, Charm; 'Gratia', 'Venustà' (Ripa)
51D42|Splendour
51D43|vznešené
51D5|Balance, Equilibrium
51DD|Řád a nepořádek (protikladné pojmy)
