0|abstrakte, ungegenständliche Kunst
1|Religion und Magie
10|(symbolische) Darstellungen von Schöpfung, Kosmos, Kosmogonie, Universum und Leben (im weitesten Sinne)
11|christliche Religion
11A|Gottheit, Gott (im allgemeinen) in der christlichen Religion
11A1|Schöpfergott
11A11|Gott vermißt das Universum (mit einem Zirkel)
11A2|göttliche Natur
11A21|Göttlichkeit, divinità (Ripa)
11A22|Symbole der göttlichen Natur
11A221|Kreis als Symbol für Gottes Vollkommenheit
11A23|Gottes Allmacht
11A3|Gottes Zorn
11A31|flagello di Dio (Ripa)
11A4|der Wille Gottes
11B|die Heilige Dreifaltigkeit, Trinitas coelestis, Vater, Sohn und Heiliger Geist in der christlichen Religion
11B1|dreiteilige Symbole als Darstellung der Dreifaltigkeit
11B11|runde und/oder dreieckige Formen oder Dispositionen als Symbole der Dreifaltigkeit
11B111|drei konzentrische Kreise als Symbol der Dreifaltigkeit
11B112|drei ineinandergreifende Kreise als Symbol der Dreifaltigkeit
11B113|Dreieck (im Kreis), mit Auge oder Tetragramm, als Symbol der Dreifaltigkeit
11B114|drei Tiere, geometrisch innerhalb eines Kreises oder Dreiecks angeordnet, als Symbol der Dreifaltigkeit
11B115|drei in Kreisform angeordnete laufende Männer als Symbol der Dreifaltigkeit
11B12|Darstellung der Dreifaltigkeit als Mensch mit drei Köpfen
11B121|Tricephalus, drei miteinander verschmolzene Köpfe oder Gesichter (als Symbol der Dreifaltigkeit)
11B13|drei Tiere mit einem einzigen Kopf als Symbol der Dreifaltigkeit
11B14|andere dreiteilige Symbole der Dreifaltigkeit
11B2|Darstellung der Dreifaltigkeit,bei der Gott, Christus und der Heilige Geist jeweils durch einen Gegenstand oder ein Tier symbolisiert werden
11B21|Darstellung der Dreifaltigkeit: Hand (Vater), Lamm (Sohn) und Taube (Heiliger Geist)
11B22|Darstellung der Dreifaltigkeit: Hand, Kreuz und Taube
11B23|Darstellung der Dreifaltigkeit: Hand, Kelch und Taube
11B3|Dreifaltigkeit, bei der mindestens eine Figur in menschlicher Gestalt dargestellt ist
11B31|drei menschliche Figuren als Darstellung der Dreifaltigkeit
11B311|drei identische menschliche Figuren als Darstellung der Dreifaltigkeit
11B312|Darstellung der Dreifaltigkeit: Gottvater und der Heilige Geist halten den gekreuzigten Christus
11B32|Dreifaltigkeit, bei der Gottvater und Christus als menschliche Figuren und der Heilige Geist als Taube dargestellt werden
11B321|Gottvater sitzend, mit dem Christuskind (Emmanuel) auf dem Schoß
11B322|Gottvater und Christus thronend
11B3221|Gottvater und Christus als identische menschliche Figuren
11B3222|Christus zeigt seine Wunden vor
11B323|Gottvater hält den gekreuzigten oder toten Christus
11B3231|Gottvater, das Kruzifix haltend, 'Gnadenstuhl'
