2|Natur
20|Natura (allegorische Figur oder Szene; oder als Diana von Ephesus, mit vielen Brüsten); Ripa: Natura
21|die vier Elemente; und der Äther als fünftes Element
210|Ripa: Elementi, Elementi secondo Empedocle
21A|Luft (als eines der vier Elemente)
21A0|Ripa: Aria, Carro dell'aria
21A1|Luftgeist, Sylphe
21B|Erde (als eines der vier Elemente)
21B0|Ripa: Terra, Carro della terra
21B1|Erdgeist, Gnom, Troll
21C|Feuer (als eines der vier Elemente)
21C0|Ripa: Fuoco, Carro del fuoco
21D|Wasser (als eines der vier Elemente)
21D0|Ripa: Acqua, Carro dell'acqua
21D1|Wassergeist, Nixe, Undine
21D2|Eis (als Aggregatzustand von Wasser)
21D3|(Wasser-)Dampf
21E|Äther als fünftes Element (quinta essentia)
22|Naturphänomene
22A|Materie
22A0|Materie (allegorisch dargestellt)
22A1|chemische Substanzen
22A1(...)|chemische Substanzen (mit NAMEN)
22A2|chemische Phänomene
22A21|chemische Reaktion
22A3|physikalische Phänomene
22A31|Zustände von Materie
22A311|fest (als Zustand von Materie)
22A312|flüssig (als Zustand von Materie)
22A3121|Kondensation
22A31211|Kondensstreifen
22A313|Gas (als Zustand von Materie)
22B|Elektrizität und Magnetismus
22B1|elektrische Phänomene
22B11|elektrischer Funke
22B2|magnetische Phänomene
22B21|Magnet
22B22|Magnetkraft
22B221|Anziehungskraft, Anziehung ~ Magnetismus
22B222|Abstoßungskraft, Abstoßung ~ Magnetismus
22C|Licht
22C1|natürliches Licht
22C11|natürliche Lichtstrahlen
22C2|künstliches Licht
22C21|künstliche Lichtstrahlen
22C3|übernatürliches Licht
22C31|Strahlen, die von Personen oder Dingen ausgehen
22C311|Nimbus, Heiligenschein (als Strahlen, die von Personen ausgehen)
22C3111|Kreuznimbus
22C3112|quadratischer oder rhombenförmiger Nimbus
22C3113|sternförmiger Nimbus
22C3114|Nimbus aus Strahlen
22C3115|ein (goldener) Faden als Nimbus
22C3116|andere Typen eines Nimbus, eines Heiligenscheins
22C312|Mandorla
22C3121|ovale oder mandelförmige Mandorla
22C3122|kreisförmige Mandorla
22C32|Licht scheint vom Himmel
22C4|Farben und Pigmente
22C4(...)|Farben und Pigmente (mit NAMEN)
22C4(BLACK)|Farben und Pigmente: Schwarz
22C4(BLUE)|Farben und Pigmente: Blau
22C4(BROWN)|Farben und Pigmente: Braun
22C4(GOLD)|Farben und Pigmente: Gold
22C4(GREEN)|Farben und Pigmente: Grün
22C4(PURPLE)|Farben und Pigmente: Purpurrot
22C4(RED)|Farben und Pigmente: Rot
22C4(WHITE)|Farben und Pigmente: Weiß
22C4(YELLOW)|Farben und Pigmente: Gelb
22C5|Reflexion (von Licht)
22C8|Schatten
22C81|Schatten eines Gegenstandes
22C9|Dunkelheit
22C90|Ripa: Buio
22C91|Halblicht
22D|Ton, Schall, Klang
22D1|lauter Klang, lautes Geräusch, Lärm
22D11|harmonischer Klang, Harmonie, Konsonanz
22D110|Ripa: Armonia
22D12|disharmonischer Klang, Dissonanz
22D2|leiser Klang
22D3|Schallgrenze, Schallmauer
22D4|Echo
22D9|Stille, Schweigen, Ruhe
22E|Temperatur
22E1|Hitze
22E11|Glühen (vor Hitze)
22E12|Brand
22E13|ausstrahlende Hitze
22E2|Kälte
22E21|Frost
22E22|absoluter Nullpunkt
22E3|Temperaturskalen
22E31|Fahrenheit (als Temperaturskala)
22E32|Réaumur (als Temperaturskala)
22E33|Celsius (als Temperaturskala)
22E34|andere Temperaturskala
22E34(...)|andere Temperaturskalen (mit NAMEN)
22E4|Thermometer
23|Zeit
23A|Allegorie von Zeit und Ewigkeit
23A1|Vater Zeit (als Mann mit Flügeln und einer Sense)
23A11|andere Allegorien der Zeit, z.B. bei Ripa: Tempo
23A2|Ewigkeit; Aeternitas; Ripa: Eternità, Eternità o Perpetuità
23A21|die Schlange Ouroboros
23A3|Vergangenheit, Gegenwart und Zukunft
23A31|Vergangenheit
23A32|Gegenwart
23A33|Zukunft
23A4|allegorische Darstellungen der Wirkungen der Zeit
23A41|die Zeit offenbart die Wahrheit; die Zeit trägt die Wahrheit empor
23A411|die Zeit entblößt die Wahrheit
23A42|die Zeit verbirgt die Vergangenheit
23A43|die Zeit belohnt den Fleiß und bestraft die Faulheit
23A44|die Vergänglichkeit der Zeit
23A441|die Zeit bewirkt den Verfall von Bauwerken etc.
23A45|die Zeit entführt die Schönheit
23B|Zeitraum von mehr als einem Jahr
23B1|Zeitraum von mehr als 1000 Jahren
23B2|ein Millennium, ein Jahrtausend
23B3|hundert Jahre, ein Jahrhundert
23B30|Ripa: Secolo
23B4|fünfzig Jahre
23B5|fünfundzwanzig Jahre
23B6|zwölfeinhalb Jahre
23B7|zehn Jahre, Dekade
23B8|fünf Jahre, Lustrum
23B9|andere Zeiträume
23B9(...)|andere Zeiträume (mit der Anzahl von Jahren in Klammern)
23C|Jahr, Sonnenjahr
23C1|Annus: Personifikation des Jahres; Ripa: Anno, Caro dell'anno
23C2|Mondjahr
23C3|Sternjahr
23D|Jahreszeiten (insbesondere ihre Personifikationen); Ripa: Stagione, Le quattro stagioni dell'anno
23D1|wird nicht benötigt
23D2|Aufteilung des Jahres in zwei Jahreszeiten
23D21|das Winterhalbjahr
23D22|das Sommerhalbjahr
23D23|der Streit zwischen Sommer und Winter
23D3|Aufteilung des Jahrs in drei Jahreszeiten
23D31|Aufteilung des Jahres in drei Jahreszeiten (erste Serie)
23D311|Januar - April (Aufteilung des Jahres in drei Jahreszeiten)
23D312|Mai - August (Aufteilung des Jahres in drei Jahreszeiten)
23D313|September - Dezember (Aufteilung des Jahres in drei Jahreszeiten)
23D32|Aufteilung des Jahres in drei Jahreszeiten (zweite Serie)
23D321|Dezember - März (Aufteilung des Jahres in drei Jahreszeiten)
23D322|April - Juli (Aufteilung des Jahres in drei Jahreszeiten)
23D323|August - November (Aufteilung des Jahres in drei Jahreszeiten)
23D4|Aufteilung des Jahres in vier Jahreszeiten
23D41|Winter; Ripa: Hyems; Inverno
23D42|Frühling; Ripa: Ver; Primavera
23D43|Sommer; Ripa: Aestas, Estate
23D44|Herbst; Ripa: Autumnus, Autunno
23D5|Aufteilung des Jahres in fünf Jahreszeiten
23D6|Aufteilung des Jahres in sechs Jahreszeiten
23D61|Aufteilung des Jahres in sechs Jahreszeiten (erste Serie)
23D611|Januar und Februar (Aufteilung des Jahres in sechs Jahreszeiten)
23D612|März und April (Aufteilung des Jahres in sechs Jahreszeiten)
23D613|Mai und Juni (Aufteilung des Jahres in sechs Jahreszeiten)
23D614|Juli und August (Aufteilung des Jahres in sechs Jahreszeiten)
23D615|September und Oktober (Aufteilung des Jahres in sechs Jahreszeiten)
23D616|November und Dezember (Aufteilung des Jahres in sechs Jahreszeiten)
23D62|Aufteilung des Jahres in sechs Jahreszeiten (zweite Serie)
23D621|Dezember und Januar (Aufteilung des Jahres in sechs Jahreszeiten)
23D622|Februar und März (Aufteilung des Jahres in sechs Jahreszeiten)
23D623|April und Mai (Aufteilung des Jahres in sechs Jahreszeiten)
23D624|Juni und Juli (Aufteilung des Jahres in sechs Jahreszeiten)
23D625|August und September (Aufteilung des Jahres in sechs Jahreszeiten)
23D626|Oktober und November (Aufteilung des Jahres in sechs Jahreszeiten)
23E|die Darstellung von Jahreszeiten durch Szenen, die menschliche Tätigkeiten (meistens in einer Landschaft) darstellen
23E2|menschliche Tätigkeiten (bei der Einteilung des Jahres in zwei Jahreszeiten)
23E21|menschliche Tätigkeiten im Winterhalbjahr (bei der Einteilung des Jahres in zwei Jahreszeiten)
23E22|menschliche Tätigkeiten im Sommerhalbjahr (bei der Einteilung des Jahres in zwei Jahreszeiten)
23E23|menschliche Tätigkeiten während des Kampfes zwischen Sommer und Winter (bei der Einteilung des Jahres in zwei Jahreszeiten)
23E3|menschliche Tätigkeiten (bei der Einteilung des Jahres in drei Jahreszeiten)
23E31|menschliche Tätigkeiten (bei der Einteilung des Jahres in drei Jahreszeiten: erste Serie)
23E311|menschliche Tätigkeiten von Januar bis April (bei der Einteilung des Jahres in drei Jahreszeiten)
23E312|menschliche Tätigkeiten von Mai bis August (bei der Einteilung des Jahres in drei Jahreszeiten)
23E313|menschliche Tätigkeiten von September bis Dezember (bei der Einteilung des Jahres in drei Jahreszeiten)
23E32|menschliche Tätigkeiten (bei der Einteilung des Jahres in drei Jahreszeiten: zweite Serie)
23E321|menschliche Tätigkeiten von Dezember bis März (bei der Einteilung des Jahres in drei Jahreszeiten)
