4|Gesellschaft, Zivilisation, Kultur
41|materielle Aspekte des Alltagslebens
41A|wohnen
41A1|Profanarchitektur; Gebäude; Wohnräume
41A10|Ripa: Edifitio overo un sito
41A11|Palast
41A111|Hôtel (als kleiner Stadtpalast)
41A12|Burg, Schloß
41A121|befestigtes Stadthaus
41A13|Gebäude, z.B. öffentliches Gebäude, Warenhaus
41A14|Wohnen in der Stadt
41A141|das gewöhnliche Haus, die Häuserzeile
41A142|Haus in Kombination mit einem Laden bzw. Geschäft
41A143|abgelegenes Haus in der Stadt
41A144|Wohnhaus, Etagenhaus
41A15|Hochhaus, Wolkenkratzer
41A16|Wohnen auf dem Land, z.B. Landhaus, Villa, Cottage
41A161|Landhaus
41A162|Villa
41A163|Cottage
41A17|Bauernhof
41A171|Scheune
41A18|Hütte, Häuschen
41A181|Blockhütte, -haus
41A182|Indianerhütte
41A1821|Wigwam
41A19|andere Formen des Wohnens
41A191|Zelt
41A1911|Zeltlager
41A1912|Tipi
41A192|Wohnwagen
41A1921|Wohnwagenkolonie
41A1922|Anhänger (Wagen)
41A193|Hausboot
41A194|Pfahlbau (auf dem Wasser oder zu Lande)
41A1941|andere Wohnbauten mit räumlichen Abstand vom Erdboden
41A195|Schneehütte, Iglu
41A196|Höhlenwohnung
41A2|Hausinneres
41A21|Vestibül, Vorhalle, Diele, Flur
41A211|Korridor, Gang
41A2111|Galerie (als weiträumiger Korridor)
41A22|Gemeinschaftsräume (im Inneren des Hauses)
41A221|Wohnzimmer, Besuchszimmer
41A222|Empfangszimmer, -saal, Gesellschaftszimmer, Salon
41A2221|Boudoir
41A223|Speisezimmer, Eßzimmer
41A23|Schlafzimmer
41A24|Badezimmer
41A241|Ausstattung eines Badezimmers
41A2411|Badewanne
41A2412|Dusche
41A2413|Bidet
41A2414|fest angebrachtes (Wasch-)Becken
41A2415|Krug und Waschschüssel; Waschbecken
41A25|andere Zimmer
41A251|Arbeitszimmer; Studiolo; Bibliothek
41A252|Hauskapelle
41A253|(sonnige) Glasveranda
41A2531|Wintergarten, Gewächshaus
41A254|Garderobe, Kleiderschrank
41A2541|Wäschekammer
41A255|Dachgeschoß, Mansarde, Dachboden, Speicher
41A256|Lagerraum
41A3|Teile eines Hauses oder Gebäudes
41A31|Fassade (eines Hauses oder Gebäudes)
41A311|Fassade der Vorderseite eines Gebäudes
41A3111|Steintafel an einer Fassade
41A312|(Fassade der) Rückseite eines Gebäudes
41A313|Fassade eines Innenhofs
41A32|Tür
41A321|die Tür öffnen
41A3211|offene Tür
41A3212|horizontal geteilte Tür; der obere Teil geöffnet
41A3213|Drehtür
41A322|die Tür schließen
41A3221|geschlossene Tür
41A323|monumentale Tür; Portal; Aedikula
41A324|Metallteile einer Tür
