5|abstrakte Ideen und Konzeptionen
51|allgemeine Gesetzmäßigkeiten
51A|Existenz und Existenzweisen
51A1|Existenz
51A11|das Universum
51A2|Materialität
51A3|Beschaffenheit
51A4|Präsenz, Anwesenheit
51A5|wahre Natur, Substanz, Idee (im Sinne Platos)
51A51|Innensein, das Innere
51A6|Reinheit, Unreduzierbarkeit
51A7|Perfektion, Vollständigkeit; Ripa: Perfettione, Operatione perfetta
51A8|die bekannten Dinge, das Gewußte
51AA|Existenz und Existenzweisen (entgegengesetzte Konzepte)
51AA1|Nichtexistenz
51AA2|Unkörperlichkeit
51AA3|Abstraktheit, Substanzlosigkeit
51AA4|das Nichts, Nichtigkeit, Abwesenheit
51AA5|der Zufall
51AA51|Außensein, das Äußere
51AA6|Zusammensetzung, Struktur
51AA61|Synthese
51AA7|Unvollkommenheit, Unvollständigkeit; Ripa: Imperfettione
51AA8|die unbekannten Dinge, das Unbekannte
51B|Formen von Beziehungen
51B1|Beziehung
51B2|Ähnlichkeit
51B3|Parität, Gleichheit
51B4|Gleichförmigkeit
51B5|Identität
51B6|Imitation, Nachahmung; Ripa: Imitatione
51B61|Wiederholung
51B7|Normalität
51BB|Formen von Beziehungen (entgegengesetzte Konzepte)
51BB1|Absolutheit, Nichtverwandtschaft
51BB2|Unähnlichkeit
51BB3|Ungleichheit, Unterschied
51BB4|Vielförmigkeit, Verschiedenheit
51BB5|Gegensätzlichkeit; Ripa: Contrarietà
51BB51|Ambivalenz
51BB6|Originalität
51BB61|Einzigartigkeit, Einmaligkeit
51BB7|Abnormität, Abweichung
51C|Ursächlichkeit
51C1|Ursache
51C2|Notwendigkeit, Unvermeidlichkeit; Ripa: Necessità
51CC|Ursächlichkeit (entgegengesetzte Konzepte)
51CC1|Wirkung, Ergebnis, Resultat
51CC11|Positives Ergebnis, gutes Ergebnis
51CC12|Negatives Ergebnis, schleches Ergebnis
51CC13|Nebenwirkung, Nebeneffekt
51CC19|Ergebnislosigkeit, Unwirksamkeit, Vergeblichkeit
51CC2|Zufall, Zufälligkeit
51D|Ordnung und Unordnung
51D1|Ordnung, Organisation
51D2|Harmonie, Regelmäßigkeit
51D21|Eurhythmie
51D3|Symmetrie; Ripa: Simmetria
51D4|Schönheit; Ripa: Bellezza
51D41|Anmut, Zauber; Gratia; Ripa. Venustà
51D42|Glanz, Pracht
51D43|das Erhabene
51D5|Balance, Gleichgewicht
51DD|Ordnung und Unordnung (entgegengesetzte Konzepte)
51DD1|Unordnung, Verwirrung, Desorganisation, Chaos
51DD11|Verseuchung
51DD2|Disharmonie, Unregelmäßigkeit
51DD3|Asymmetrie
51DD4|Häßlichkeit
51DD5|Unwucht
51E|hierarchische Ordnung
51E1|Unabhängigkeit, Autonomie
51E11|Freiheit; Ripa: Libertà
51E12|Befreiung
51E2|Erhabenheit, Überlegenheit
51E3|Übereinstimmung, Konformität; Ripa: Temperamento delle cose terrene con le celesti
51E4|Kohärenz
51EE|hierarchische Ordnung (entgegengesetzte Konzepte)
51EE1|Abhängigkeit
51EE11|Restriktion, Einschränkung, Begrenzung
51EE12|Beschränkung
51EE2|Untergeordnetheit
51EE3|Nichtübereinstimmung, Nonkonformität
51EE4|Inkohärenz, Zusammenhangslosigkeit
51F|zeitweilige Beziehung
51F1|Priorität, Vorausgehen
51F2|Kontinuität
51F3|Priorität, Vorrang
51F4|Simultanität, Gleichzeitigkeit
51F5|Anfang, Beginn; Ripa: Principio
51F51|Neuheit
51F511|Unreife
51F52|Frühzeitigkeit
51F521|Frühreife
51F522|Antizipation, Vorwegnahme
51F6|Häufigkeit
51F7|Regelmäßigkeit der Wiederkehr
51F71|Periodizität
51F711|Zyklus
51F8|Mitte
51FF|zeitweilige Beziehung (entgegengesetzte Konzepte)
51FF1|Nachfolge
51FF2|Diskontinuität
51FF3|Spätersein, späteres Eintreten
51FF4|Ungleichzeitigkeit
51FF5|Ende; Ripa: Fine
51FF51|Alter
51FF511|Reife
51FF52|spätes Stadium
51FF521|Aufschub, Verspätung
51FF6|Seltenheit
51FF7|Unregelmäßigkeit der Wiederkehr
51G|Charakteristika der Materie
51G1|Größe
51G2|Schwere
51G3|Zähigkeit
51G4|Härte
51G5|Sichtbarkeit
51G6|Glätte
51GG|Charakteristika der Materie (entgegengesetzte Konzepte)
51GG1|Kleinheit
51GG2|Leichtheit; Ripa: Leggierezza
51GG3|Zerbrechlichkeit; Ripa: Fragilità
51GG4|Weichheit
51GG5|Unsichtbarkeit
51GG6|Rauheit
51H|Quantität und Grad/Rang
51H1|Totalität, Gesamtheit, Alles
51H11|Unteilbarkeit
51H2|Universalität
51H3|Menge, Vielheit
51H4|Fülle, Überfluß
51H41|Fülle
51H42|Überfluß; Ripa: Abondanza, Abondanza maritima
51H421|Übermaß, Exzess
51H43|Überreichlichkeit
51H5|Wachstum, Zunahme
51HH|Quantität und Grad/Rang (entgegengesetzte Konzepte)
51HH1|Teil, Abschnitt, Aspekt
51HH11|Teilbarkeit
51HH2|Besonderheit, Individualität
51HH3|Wenigkeit
51HH4|Mangel, Unvollkommenheit
51HH41|Unzulänglichkeit
51HH5|Verminderung
51I|Raum
51I1|begrenzter, definierter Raum
51I2|Fülle, Vollsein
51I3|Ort, Position
51I4|Nähe
51I5|Mitte; Ripa: Mezo
51I6|Höhe, höchster Punkt
51II|Raum (entgegengesetzte Konzepte)
51II1|unendlicher Raum
51II11|Ausbreitung
51II2|Leere, leerer Raum
51II3|Verschiebung, Verlagerung
51II4|Weite
51II5|Isolation
51II6|Tiefe, tiefster Punkt
51K|Formen des Wandels
51K1|Wandel, Verwandlung
51K11|Reform, Verbesserung; Ripa: Riforma
51K2|Veränderlichkeit, Unbeständigkeit
51K3|Substitution
51K31|Wechsel, Abwechslung
51K4|Entwicklung; Evolution
51K41|Revolution
51K5|Reaktion
51KK|Formen des Wandels (entgegengesetzte Konzepte)
51KK1|Permanenz, Dauer
51KK11|Bewahrung, Konservierung; Ripa: Conservatione
51KK2|Unveränderlichkeit
51KK3|Tausch, Austausch
51L|Formen der Bewegung
51L1|Bewegung
51L2|regelmäßige Bewegung
51L3|Richtung, Orientierung
51L4|Fortbewegung, Vorwärtsbewegung
51L41|Annäherung
51L42|Bewegung hin zu etwas, Anziehungskraft, Ziehen, Sog
51L5|Aufstieg
51L51|Auferstehung; Ripa: Ressurrettione
51LL|Formen der Bewegung (entgegengesetzte Konzepte)
51LL1|Ruhe, Unbeweglichkeit; Stasis
51LL2|unregelmäßige Bewegung
51LL3|Abweichung, Divergenz
51LL4|Regression, Rückschritt, Rückwärtsbewegung
51LL41|Rücktritt, Rezession
51LL42|Bewegung von etwas weg, Abstoßungskraft, Stoß
51LL5|Abstieg
51M|Qualität der Bewegung
51M1|schnelle Bewegung
51M11|Schnelligkeit, Geschwindigkeit; Ripa: Agilità, Celerità, Velocità (Ripa)
51M12|Eile, Hast
51MM|Qualität der Bewegung (entgegengesetzte Konzepte)
51MM1|langsame Bewegung
51MM11|Langsamkeit, Schwerfälligkeit; Ripa: Tardità
51MM12|Verzögerung
52|Verstand, Denken, Argumentation, Ideen
52A|Intelligenz und intellektuelle Fähigkeiten
52A1|Intellekt, Intelligenz; Ripa: Intelletto, Intelligenza
52A11|Aufmerksamkeit, Konzentration
