0|Abstract, Non-representational Art
1|Religion and Magic
10|(symbolic) representations ~ creation, cosmos, cosmogony, universe, and life (in the broadest sense)
11|Christian religion
11A|Deity, God (in general) ~ Christian religion
11A1|God the Creator
11A11|God measuring the Universe (with compasses)
11A2|Divine Nature
11A21|Divinity, 'Divinità' (Ripa)
11A22|symbols ~ Divine Nature
11A221|circle symbolizing God's perfectness
11A23|God's perfections
11A3|God's wrath
11A31|'Flagello di Dio' (Ripa)
11A4|God's will
11B|the Holy Trinity, 'Trinitas coelestis'; Father, Son and Holy Ghost ~ Christian religion
11B1|Trinity represented by tripartite symbols
11B11|symbols of the Trinity ~ circular and/or triangular forms or arrangements
11B111|three concentric circles ~ Trinity
11B112|three interlocked circles ~ Trinity
11B113|triangle (within circle), with eye or tetragram ~ Trinity
11B114|three animals, geometrically arranged within a circle or triangle ~ Trinity
11B115|three running men, arranged in circular form ~ Trinity
11B12|Trinity represented as a person with three heads
11B121|'Tricephalus', three fused heads or faces only (~ Trinity)
11B13|Trinity represented by three animals sharing one head
11B14|other tripartite symbols of the Trinity
11B2|Trinity in which each of the Persons (God, Christ, Holy Ghost) is represented either by an object or by an animal
11B21|representation of the Trinity: hand (Father), lamb (Son), and dove (Holy Ghost)
11B22|representation of the Trinity: hand, cross and dove
11B23|representation of the Trinity: hand, chalice and dove
11B3|Holy Trinity in which one, two or all figures are represented in human shape
11B31|Trinity as three persons
11B311|Trinity as three identical persons
11B312|Father and Holy Ghost holding the crucified Christ (~ Trinity)
11B32|Trinity in which God the Father and Christ are represented as persons, the Holy Ghost as dove
11B321|God the Father seated, holding the youthful Christ (Emmanuel) in his lap
11B322|God the Father and Christ enthroned
11B3221|God the Father and Christ as identical persons
11B3222|Christ showing his wounds
11B323|God the Father holding the crucified or dead Christ
11B3231|God the Father holding the crucifix, 'Gnadenstuhl', Mercy-Seat, Throne of Grace
11B3232|God the Father standing or seated, holding the body of Christ, 'Pitié-de-Notre-Seigneur', 'Not Gottes'
11B33|representations of the Trinity
11B331|representation of the Trinity: person (Father), lamb (Son), and dove (Holy Ghost)
11B332|representation of the Trinity: person (Father), lion (Son), and dove (Holy Ghost)
11B333|representation of the Trinity: symbol (Father), person (Son), dove (Holy Ghost)
11B4|'Ratschluss der Erlösung', 'Prolog im Himmel'; Divine decree of Redemption
11B41|Divine decree of Redemption, allegorical figures present, e.g. Justice, Mercy, Peace and Truth (the Virtues reconciled)
11B42|sending of Gabriel ~ 'Ratschluss der Erlösung'
11B43|return of Gabriel ~ 'Ratschluss der Erlösung'
11B44|sending of the Son ~ 'Ratschluss der Erlösung'
11B45|return of the Son ~ 'Ratschluss der Erlösung'
11B5|extensions of the Holy Trinity
11B51|Quaternity (i.e. Trinity with Mary)
11B52|Quinity
11C|God the Father
11C1|symbols of God the Father
11C11|the all-seeing eye, triangle with eye ~ symbol of God the Father
11C12|hand, 'Dextera Dei' ~ symbol of God the Father
11C13|tetragram (in Roman or Hebrew script) ~ symbol of God the Father
11C14|(pillar of) fire ~ symbol of God the Father
11C15|(rays of) light ~ symbol of God the Father
11C16|alpha and omega ~ symbol of God the Father
11C2|God the Father represented as human being, usually with crown or tiara or sceptre and/or globe
11C21|God the Father as young or adult man (perhaps resembling Christ)
11C211|God the Father enthroned, usually with sceptre and/or globe
