2|Nature
20|'Natura' (allegorical figure or scene; or as Diana of Ephesus, with many breasts); 'Natura' (Ripa)
21|the four elements, and ether, the fifth element
210|'Elementi', 'Elementi secondo Empedocle' (Ripa)
21A|air (one of the four elements)
21A0|'Aria', 'Carro dell'aria' (Ripa)
21A1|spirit of the air, sylph
21B|earth (one of the four elements)
21B0|'Terra', 'Carro della terra' (Ripa)
21B1|spirit of the earth, gnome, troll
21C|fire (one of the four elements)
21C0|'Fuoco', 'Carro del fuoco' (Ripa)
21D|water (one of the four elements)
21D0|'Acqua', 'Carro dell'acqua' (Ripa)
21D1|spirit of water, nix, undine
21D2|ice ~ state of water
21D3|steam
21E|ether as 'quinta essentia'
22|natural phenomena
22A|matter
22A0|Matter (allegorical representation)
22A1|chemical substances
22A1(...)|chemical substances (with NAME)
22A2|chemical phenomena
22A21|chemical reaction
22A3|physical phenomena
22A31|states of matter
22A311|solid (state of matter)
22A312|liquid (state of matter)
22A3121|condensation
22A31211|vapour trail
22A313|gas (state of matter)
22B|electricity and magnetism
22B1|electrical phenomena
22B11|spark ~ electricity
22B2|magnetic phenomena
22B21|magnet
22B22|magnetic force
22B221|attractive force, attraction ~ magnetic force
22B222|repulsive force, repulsion ~ magnetic force
22C|light
22C1|natural light
22C11|rays of natural light
22C2|artificial light
22C21|rays of artificial light
22C3|supernatural light
22C31|radiance emanating from persons or things
22C311|nimbus, halo ~ radiance emanating from persons or things
22C3111|cross-nimbus
22C3112|square or rhombic nimbus
22C3113|star-shaped nimbus
22C3114|rays as nimbus
22C3115|(golden) thread as nimbus
22C3116|other types of nimbus, halo
22C312|mandorla
22C3121|oval or almond-shaped mandorla
22C3122|circular mandorla
22C32|light shining out of the heavens
22C4|colours, pigments, and paints
22C4(...)|colours, pigments, and paints (with NAME)
22C4(BLACK)|colours, pigments, and paints: black
22C4(BLUE)|colours, pigments, and paints: blue
22C4(BROWN)|colours, pigments, and paints: brown
22C4(GOLD)|colours, pigments, and paints: gold
22C4(GREEN)|colours, pigments, and paints: green
22C4(PURPLE)|colours, pigments, and paints: purple
22C4(RED)|colours, pigments, and paints: red
22C4(WHITE)|colours, pigments, and paints: white
22C4(YELLOW)|colours, pigments, and paints: yellow
22C5|reflection (light in general)
22C8|shadow
22C81|shadow of an object
22C9|darkness
22C90|'Buio' (Ripa)
22C91|half-light
22D|sound
22D1|loud sound, noise
22D11|harmonious sound, harmony, consonance
22D110|'Armonia' (Ripa)
22D12|disharmonious sound, dissonance
22D2|soft sound
22D3|sound-barrier
22D4|echo
22D9|silence
22E|temperature
22E1|heat
22E11|glowing (heat)
22E12|burning
22E13|radiating (heat)
22E2|coldness
22E21|freezing
22E22|absolute zero point
22E3|temperature scales
22E31|Fahrenheit (temperature scale)
22E32|Réaumur (temperature scale)
22E33|Celsius (temperature scale)
22E34|other temperature scales
22E34(...)|other temperature scales (with NAME)
22E4|thermometer
23|time
23A|allegory of Time and Eternity
23A1|Father Time, man with wings and scythe
23A11|other allegories of Time, e.g. 'Tempo' (Ripa)
23A2|Eternity, 'Aeternitas'; 'Eternità','Eternità o Perpetuità' (Ripa)
23A21|serpent Ouroboros
23A3|past, present and future
23A31|past
23A32|present
23A33|future
23A4|allegorical representations of the effects of time
23A41|Time revealing Truth; Time carrying Truth aloft
23A411|Time denuding Truth
23A42|Time concealing the Past
23A43|Time rewarding Industry and punishing Sloth
23A44|fugacity of Time
23A441|Time causing the ruin of buildings, etc.
23A45|Time abducting Beauty
23B|period of more than one year
23B1|period of more than 1000 years
23B2|millennium
23B3|100 years, century
