4|yhteiskunta, sivilisaatio, kulttuuri
41|jokapäiväisen elämän aineelliset aspektit
41A|asuminen
41A1|rakennukset; asunnot
#41A10|'Edifitio overo un sito' (Ripa)
41A11|palatsi
#41A111|hôtel, i.e. small palace in city
41A12|linna
#41A121|fortified house in city
#41A13|edifice, e.g.: public building, department store
41A14|asuminen kaupungissa
41A141|asuintalo tai rivi asuintaloja (1-3 kerrosta) urbaanissa miljöössä (kaupungissa, esikaupungissa tai lähiössä)
#41A142|house combined with shop
41A143|erillinen talo kaupungissa
41A144|kerrostalo
41A15|pilvenpiirtäjä
41A16|asuminen maaseudulla (kartano, huvila, omakotitalo, mökki jne.)
41A161|kartano
41A162|huvila
41A163|omakotitalo, mökki
41A17|maatila
41A171|lato, talli, navetta jne.
41A18|maja, mökki, kota
#41A181|log-cabin
41A182|intiaanimaja, kota
#41A1821|wigwam
41A19|muut asumismuodot, asuntotyypit
41A191|teltta
#41A1911|tent-camp
#41A1912|tepee, tipi, teepee
41A192|asuntovaunu, "caravan"
#41A1921|caravan-camp
#41A1922|trailer
41A193|asuntolaiva
#41A194|lake-dwelling, pile-dwelling
#41A1941|other dwellings standing off the ground
#41A195|snow-hut, igloo
41A196|luola-asunto
41A2|interiöörit
#41A21|vestibule, hall
#41A211|corridor
#41A2111|gallery (spacious corridor)
#41A22|communal rooms
41A221|olohuone
#41A222|drawing-room, 'salon'
#41A2221|boudoir
41A223|ruokailuhuone
41A23|makuuhuone
41A24|kylpyhuone
#41A241|bathroom equipment
#41A2411|bath-tub
#41A2412|shower
#41A2413|bidet
#41A2414|fitted basin
#41A2415|jug and basin; wash-basin
41A25|muut huoneet
#41A251|study; 'studiolo'; library
#41A252|chapel (interior of the house)
#41A253|sun-porch, sun-parlour, glazed verandah
#41A2531|winter-garden, conservatory
#41A254|wardrobe
#41A2541|linen-closet
#41A255|attic, loft
#41A256|storage space
41A3|rakennuksen eri osat
41A31|rakennuksen julkisivu, fasadi
#41A311|front façade
#41A3111|stone tablet in façade
#41A312|rear façade
#41A313|façade of inner court
41A32|ovi
#41A321|opening the door
41A3211|avoin ovi
#41A3212|divided door, upper part opened
#41A3213|revolving door
#41A322|closing, shutting the door
41A3221|suljettu ovi
#41A323|monumental door, porch, 'aediculum'
#41A324|metalwork of a door
#41A3241|door-knocker, doorbell
#41A3242|door-handle, doorknob
#41A325|threshold
#41A3251|stile, post, doorjamb
#41A3252|door furniture, e.g. boot scraper, brush, doormat
#41A326|letter-box ~ door
#41A327|doorkeeper, house-guard (inanimate)
#41A328|lock ~ door
#41A3281|key
#41A32811|master-key, 'passe-partout', skeleton key
#41A3282|latch
#41A3283|bolt
#41A3284|padlock
41A33|ikkuna
#41A331|opening the window
41A3311|avoin ikkuna
#41A332|closing the window
41A3321|suljettu ikkuna
#41A333|window shutters
#41A3331|window shutters on the outside
#41A3332|window shutters on the inside
#41A334|sunblind, sunshade, awning
#41A335|window-seat
41A336|henkilö (avoimessa)ikkunassa
#41A3361|human figure at (open) window, seen from outside
#41A3362|human figure at (open) window, seen from inside
#41A337|view through a window
#41A3371|view through a window from the outside
#41A3372|view through a window from the inside
#41A34|staircase
#41A341|stairwell
#41A3411|escalator
#41A342|elevator, lift
#41A343|ladder
#41A344|fire-escape
#41A345|back steps
#41A35|front steps
#41A351|terrace
#41A352|canopy (over entrance)
41A36|katto
#41A361|tower (of house or building)
#41A3611|spire (of tower on house or building)
#41A362|roof-covering
#41A363|decorated gable
41A37|kellari
41A38|parveke
#41A381|loggia, verandah, porch
#41A382|bay-window, oriel
#41A39|piping and wiring
#41A391|water-supply and draining, pipework (in house or building)
41A3911|kaivo
#41A3912|pump
#41A3913|tap, faucet
#41A3914|lavatory, water-closet
#41A3915|fountain (indoors)
#41A3916|sink, basin
#41A392|gas conduits
#41A393|electric installation, fittings, e.g. socket, plug, light switch, cable, wire
41A4|(interiöörin) dekoraatiot
#41A41|wall-covering
#41A411|wall-paper
#41A412|panelling
#41A413|tapestry
41A414|
#41A42|upholstery (of a room)
41A421|ikkunaverhot
41A422|seinäkankaat ja -verhot
#41A4221|velum (hangings and drapery)
#41A423|ceremonial drapery
#41A4231|canopy, baldachin
#41A43|floor-covering
#41A43(...)|floor-covering (with NAME)
#41A431|carpet, rug
#41A44|(decorated) ceiling
41A5|lisä- ja ulkorakennukset; portti; aita
41A51|linnan tai kartanon sisäpiha
#41A511|inner court of palace or 'hôtel'
#41A512|backyard
#41A52|coach-house
#41A521|garage
#41A53|shed, small building for a specific purpose
#41A531|
#41A532|
41A54|aita
#41A541|balustrade
#41A542|gate, entrance
#41A5421|barrier
#41A5422|kissing gate, clap gate
#41A543|stile
#41A544|watergate
41A6|puutarha
#41A61|plan, map of garden
#41A62|garden buildings
#41A621|pergola
#41A622|summer-house, arbour, garden-house (Dutch: 'theekoepel')
#41A623|hermitage
#41A624|belvedere
#41A625|trellis
#41A626|sham-buildings
#41A63|lay-out of garden
#41A631|lawn
41A632|kukkapenkki
#41A633|rock-garden
#41A634|labyrinth, maze ~ garden
#41A635|fenced or walled garden; 'Hortus Conclusus'
#41A6351|roof garden
#41A636|French or architectonic garden; formal garden
#41A637|English or landscape garden
#41A638|garden approach, garden drive
41A64|puutarhakoristeet
41A641|veistokset puutarhassa
#41A6411|dwarfs, 'grylloi' (garden ornaments)
#41A642|obelisks (garden ornaments)
#41A643|pyramids (garden ornaments)
#41A644|herms (garden ornaments)
#41A645|ruins (garden ornaments)
#41A646|garden vase
41A65|vesiaiheet puutarhassa
41A651|suihkukaivo puutarhassa
#41A652|garden pond
#41A653|garden cascade
#41A66|artificial grotto in garden
#41A67|ornamental plants
#41A671|still life of plants, flowers and fruit
#41A6711|flowers in a vase
#41A6712|arranging flowers
#41A672|topiary work (shrubs and trees trimmed and trained into ornamental shape); bonsai, espalliered, etc.
#41A673|potted plants
#41A68|cultivation of (ornamental) garden
#41A681|gardening
#41A6811|watering plants
#41A682|gardening-tools
#41A682(...)|gardening-tools (with NAME)
41A7|huonekalut ja taloustavarat
#41A71|furniture to put things on
41A711|pöytä
#41A7111|tripod
#41A7112|trestle table
#41A712|shelves, rack, sideboard
#41A7121|what-not
41A7122|kirjahyllyt
41A71221|kirjahylly, jossa ovet
#41A713|cover for table, etc.
41A72|istuinhuonekalut
41A721|tuoli
#41A7211|stool
#41A72111|footstool
#41A7212|armchair, seat
#41A7213|rocking-chair
41A722|sohva
#41A7221|cushion
#41A723|bench
#41A73|furniture for storage
#41A731|cupboard
#41A732|ornamental cupboard
#41A733|chest, coffer
#41A734|'cassone'
#41A735|lock ~ furniture
#41A7351|key ~ furniture
#41A7352|bolt ~ furniture
#41A7353|padlock ~ furniture
#41A74|furniture for special use
#41A741|screen, folding screen
#41A75|decorative furniture
#41A751|draught-screen
#41A76|furniture to lie on or in
41A761|sänky
#41A7611|built-in bedstead (Dutch: 'bedstee')
#41A7612|bed with tester
#41A76121|two poster bed
#41A76122|four poster bed
#41A762|hammock
#41A763|bedding
#41A7631|mattress
#41A7632|pillow
#41A7633|sheet
#41A7634|blanket
#41A7635|bed-spread
41A77|astiat
#41A771|container of metal: bucket, can, canister, drum, tin, etc.
#41A7711|container of precious metal
#41A77111|
#41A772|container of stone: stone vase
#41A7721|container of (semi-)precious stone
41A773|keramiikka- ja posliiniastiat: ruukku, kannu, tuoppi, vaasi jne.
41A774|lasiastiat: pullo, juomalasi, tuoppi, ruukku, vaasi jne.
41A775|puuastiat: puutynnyri
#41A7751|container made of plant material other than wood: basket
#41A776|container of leather: leather bag
#41A7761|container of other animal material
#41A778|container of paper, cardboard: bag, carton
#41A779|container of synthetic material
#41A78|fancy goods, knick-knacks
#41A8|use of the house
#41A81|furnishing (the house)
#41A82|moving (house)
#41A9|ruin of a dwelling, house, castle, etc.
41AA1|rakennukset; asunnot - AA - rakennukset: sisäpuoli
41AA10|'Edifitio overo un sito' (Ripa) - AA - rakennukset: sisäpuoli
41AA11|palatsi - AA - rakennukset: sisäpuoli
41AA111|hôtel, i.e. small palace in city - AA - rakennukset: sisäpuoli
41AA12|linna - AA - rakennukset: sisäpuoli
41AA121|fortified house in city - AA - rakennukset: sisäpuoli
41AA13|edifice, e.g.: public building, department store - AA - rakennukset: sisäpuoli
41AA14|asuminen kaupungissa - AA - rakennukset: sisäpuoli
41AA141|asuintalo tai rivi asuintaloja (1-3 kerrosta) urbaanissa miljöössä (kaupungissa, esikaupungissa tai lähiössä) - AA - rakennukset: sisäpuoli
41AA142|house combined with shop - AA - rakennukset: sisäpuoli
41AA143|erillinen talo kaupungissa - AA - rakennukset: sisäpuoli
41AA144|kerrostalo - AA - rakennukset: sisäpuoli
41AA15|pilvenpiirtäjä - AA - rakennukset: sisäpuoli
41AA16|asuminen maaseudulla (kartano, huvila, omakotitalo, mökki jne.) - AA - rakennukset: sisäpuoli
41AA161|kartano - AA - rakennukset: sisäpuoli
41AA162|huvila - AA - rakennukset: sisäpuoli
41AA163|omakotitalo, mökki - AA - rakennukset: sisäpuoli
41AA17|maatila - AA - rakennukset: sisäpuoli
41AA171|lato, talli, navetta jne. - AA - rakennukset: sisäpuoli
41AA18|maja, mökki, kota - AA - rakennukset: sisäpuoli
41AA181|log-cabin - AA - rakennukset: sisäpuoli
41AA182|intiaanimaja, kota - AA - rakennukset: sisäpuoli
41AA1821|wigwam - AA - rakennukset: sisäpuoli
41AA19|muut asumismuodot, asuntotyypit - AA - rakennukset: sisäpuoli
41AA191|teltta - AA - rakennukset: sisäpuoli
41AA1911|tent-camp - AA - rakennukset: sisäpuoli
41AA1912|tepee, tipi, teepee - AA - rakennukset: sisäpuoli
41AA192|asuntovaunu, "caravan" - AA - rakennukset: sisäpuoli
41AA1921|caravan-camp - AA - rakennukset: sisäpuoli
41AA1922|trailer - AA - rakennukset: sisäpuoli
41AA193|asuntolaiva - AA - rakennukset: sisäpuoli
41AA194|lake-dwelling, pile-dwelling - AA - rakennukset: sisäpuoli
41AA1941|other dwellings standing off the ground - AA - rakennukset: sisäpuoli
41AA195|snow-hut, igloo - AA - rakennukset: sisäpuoli
41AA196|luola-asunto - AA - rakennukset: sisäpuoli
41AA32|ovi - AA - feigned door, sham-door
#41AA321|opening the door - AA - feigned door, sham-door
41AA3211|avoin ovi - AA - feigned door, sham-door
#41AA3212|divided door, upper part opened - AA - feigned door, sham-door
#41AA3213|revolving door - AA - feigned door, sham-door
#41AA322|closing, shutting the door - AA - feigned door, sham-door
41AA3221|suljettu ovi - AA - feigned door, sham-door
#41AA323|monumental door, porch, 'aediculum' - AA - feigned door, sham-door
#41AA324|metalwork of a door - AA - feigned door, sham-door
#41AA3241|door-knocker, doorbell - AA - feigned door, sham-door
#41AA3242|door-handle, doorknob - AA - feigned door, sham-door
#41AA325|threshold - AA - feigned door, sham-door
#41AA3251|stile, post, doorjamb - AA - feigned door, sham-door
#41AA3252|door furniture, e.g. boot scraper, brush, doormat - AA - feigned door, sham-door
#41AA326|letter-box ~ door - AA - feigned door, sham-door
#41AA327|doorkeeper, house-guard (inanimate) - AA - feigned door, sham-door
#41AA328|lock ~ door - AA - feigned door, sham-door
#41AA3281|key - AA - feigned door, sham-door
#41AA32811|master-key, 'passe-partout', skeleton key - AA - feigned door, sham-door
#41AA3282|latch - AA - feigned door, sham-door
#41AA3283|bolt - AA - feigned door, sham-door
#41AA3284|padlock - AA - feigned door, sham-door
41AA33|ikkuna - AA - feigned window
#41AA331|opening the window - AA - feigned window
41AA3311|avoin ikkuna - AA - feigned window
#41AA332|closing the window - AA - feigned window
41AA3321|suljettu ikkuna - AA - feigned window
#41AA333|window shutters - AA - feigned window
#41AA3331|window shutters on the outside - AA - feigned window
#41AA3332|window shutters on the inside - AA - feigned window
#41AA335|window-seat - AA - feigned window
41AA336|henkilö (avoimessa)ikkunassa - AA - feigned window
#41AA3361|human figure at (open) window, seen from outside - AA - feigned window
#41AA3362|human figure at (open) window, seen from inside - AA - feigned window
#41AA337|view through a window - AA - feigned window
#41AA3371|view through a window from the outside - AA - feigned window
#41AA3372|view through a window from the inside - AA - feigned window
41B|lämmitys ja valaistus, tuli, tuulettaa
41B1|avotuli (yleensä)
#41B11|kindling a fire
#41B112|tinder-box
#41B113|sulphur match
41B114|tulitikku
41B1141|tulitikkuaski, tulitikkurasia
#41B115|fuse
#41B12|burning as process
#41B12(...)|burning as process (with NAME of fuel)
#41B12(COAL)|burning as process: coal
#41B12(FAGGOT)|burning as process: faggot
#41B12(LOG)|burning as process: log
#41B12(OIL)|burning as process: oil
#41B12(STRAW)|burning as process: straw
#41B121|flame
#41B122|spark ~ fire
#41B123|gases liberated by combustion
#41B13|stirring up a fire
#41B131|blowing (stirring up a fire)
#41B1311|bellows
#41B132|fanning (stirring up a fire)
#41B1321|fan
#41B133|poking (stirring up a fire)
#41B1331|poker (~ open fire)
#41B14|extinguishing a fire
#41B15|deposits of combustion
#41B151|soot
41B152|tuhka
#41B153|cinders, slag
41B16|nuotio, leirituli
#41B161|bonfire
41B162|savu
41B2|liesi, hella, uuni yms.
41B21|takka
41B211|itsensä lämmittely tulen (tai lieden, uunin jne.) ääressä
#41B212|implements ~ fire-place
#41B2121|fire-tongs
#41B2122|extinguisher for coal
#41B213|accessories ~ fire-place
#41B2131|fire-screen
#41B2132|fender
#41B2133|hearth-plate
#41B2134|dummy board figures
#41B2135|pot suspended by chain
#41B2136|andiron, fire-dog
41B214|savupiippu
#41B2141|chimney-piece, mantelpiece
#41B2142|chimney ornaments
#41B22|heating stove
#41B221|grate (of heating stove)
#41B222|stove-pipe
#41B223|coal-bucket
#41B224|coal-shovel
#41B23|foot-stove
#41B231|warming-pan (for bed)
#41B232|hot-water bottle
#41B24|central heating
#41B241|radiator (central heating)
#41B29|cooling, air conditioning
41B3|valaistus, lamput
41B31|kynttilä
#41B311|chandelier, candelabrum
#41B312|sconce, wall lamp
#41B313|candlestick
#41B314|snuffers
41B32|soihtu
#41B33|lantern
41B34|öljylamppu
#41B35|paraffin lamp
#41B36|gas-lamp
41B37|sähkölamppu
#41B371|light bulb (electric)
41B372|neonvalaisinten, neon putki
41B4|tulipalo (kaupunki, talo, metsä jne.)
41B5|tulipalon sammuttaminen
#41B51|fire-department, fire-brigade
41B511|palomies
#41B52|fire-extinguishing equipment
#41B521|pails (fire-extinguishing equipment)
#41B522|pump (fire-extinguishing equipment)
#41B523|fire-hose
#41B524|chemical fire-extinguishing apparatus
#41B525|fire-engine
#41B53|rescue from fire
#41B531|rescue from fire with jumping-sheet
41B6|ilmanvaihtojärjestelmät
41B61|ilmanvaihtohormi
41BB32|soihtu - BB - torch held upside down
41C|ravinto, ruoka
41C1|syöminen ja juominen
#41C10|gastronomy, the art of eating and drinking
41C11|syöminen
#41C111|giving food
41C119|nälkä
#41C1190|personification of hunger, 'Fames'; 'Fame' (Ripa)
#41C1191|starvation, famine
#41C1192|hunger-strike
41C12|juominen
#41C121|giving drink
#41C122|pouring
#41C129|thirst
#41C13|blowing, to cool food before eating
#41C14|stirring, to cool food before eating
#41C18|saturation, satiation ~ eating and drinking
#41C19|insatiable hunger or thirst
41C2|keittiö ja kellari
41C21|keittiö
41C211|keittiö-interiööri
#41C2111|kitchen-interior with foodstuffs in foreground (Dutch: 'keukenstuk')
#41C212|sink (kitchen)
#41C22|kitchen-personnel
#41C221|cook
#41C222|kitchen-maid, kitchen servant
#41C23|poor and rich kitchen
#41C231|rich kitchen
#41C232|poor kitchen
#41C24|conserving food
41C241|kellari
41C2411|viinikellari
#41C24111|wine-steward
#41C242|ice-cellar
41C2421|jääkaappi
41C25|ruoanlaitto, kokkaaminen
#41C251|roasting, grilling
#41C2511|spit ~ cooking
#41C2512|grill, gridiron ~ cooking food
#41C252|frying
#41C253|boiling
#41C254|kitchen-fire
41C2541|takka, uuni, leivinuuni (keittiössä)
#41C2542|cooker
#41C2543|oven ~ kitchen
#41C26|preparation of food
#41C261|cleaning (food)
#41C2611|cleaning vegetables
#41C2612|cleaning fruit, e.g. peeling
#41C26121|(half-)peeled fruit, e.g. lemon
#41C2613|cleaning fowl or small animals
#41C26131|plucked fowl
#41C262|dividing (food)
#41C2621|cutting meat
#41C2622|slicing bread
