0|Art abstrait, non-figuratif
1|Religion et Magie
10|représentations (symboliques) ~ création, cosmos, cosmogonie, univers, la vie (dans le sens le plus large)
11|Religion chrétienne
11A|Dieu (en général) ~ religion chrétienne
11A1|Dieu le Créateur
11A11|Dieu mesurant l'univers (avec un compas)
11A2|Nature divine
11A21|Divinité, 'Divinità' (Ripa)
11A22|symboles ~ Nature divine
11A221|cercle symbolisant la perfection divine
11A23|les perfections divines
11A3|la colère de Dieu
11A31|'Flagello di Dio' (Ripa)
11B|la Sainte Trinité, 'Trinitas coelestis'; le Père, le Fils et le Saint-Esprit ~ religion chrétienne
11B1|la Trinité représentée par des symboles triples
11B11|symboles de la Trinité ~ compositions circulaires et/ou triangulaires
11B111|trois cercles concentriques ~ Trinité
11B112|trois cercles entrelacés ~ Trinité
11B113|triangle (inscrit dans un cercle) avec oeil ou tétragramme ~ Trinité
11B114|trois animaux symétriquement inscrits dans un cercle ou dans un triangle ~ Trinité
11B115|'triskele', trois jambes disposées en rayons autour d'un centre commun ~ Trinité
11B12|la Trinité représentée par une personne à trois têtes
11B121|'Tricephalus', seulement trois têtes (ou visages) fusionné(e)s ~ Trinité
11B13|Trinité représentée par trois animaux n'ayant qu'une tête
11B14|autres symboles triples de la Trinité
11B2|Trinité dans laquelle chacune des trois Personnes (Dieu le Père, le Christ, le Saint-Esprit) est représentée soit par un objet, soit par un animal
11B21|représentations de la Trinité : main (le Père), agneau (le Fils), et colombe (le Saint-Esprit)
11B22|représentations de la Trinité : main, croix et colombe
11B23|représentations de la Trinité : main, calice et colombe
11B3|la Trinité dans laquelle une (deux ou les trois) Personne(s) a (ont) une forme humaine
11B31|Trinité sous la forme de trois personnes
11B311|Trinité sous la forme de trois personnes identiques
11B312|le Père et le Saint-Esprit tenant le Christ crucifié (~ Trinité)
11B32|Trinité dans laquelle le Père et le Fils sont représentés sous une forme humaine, le Saint-Esprit sous celle d'une colombe
11B321|Dieu le Père assis tenant sur ses genoux l'enfant Jésus (Émmanuel)
11B322|le Père et le Fils assis sur un trône
11B3221|le Père et le Fils sous des formes humaines identiques
11B3222|le Christ montrant ses plaies
11B323|Dieu le Père tenant le Christ mort ou crucifié
11B3231|Dieu le Père tenant le crucifix, 'Gnadenstuhl', Siège de Grâce
11B3232|Dieu le Père debout ou assis tenant le corps mort de Jésus-Christ, Pitié-de-Notre-Seigneur', 'Not Gottes'
11B33|représentations de la Trinité
11B331|représentations de la Trinité : personne (le Père), agneau (le Fils), et colombe (le Saint-Esprit)
11B332|représentations de la Trinité : personne (le Père), lion (le Fils), et colombe (le Saint-Esprit)
11B333|représentations de la Trinité : symbole (le Père), personne (le Fils)], colombe (le Saint-Esprit)
11B4|'Ratschluss der Erlösung, 'Prolog im Himmel'; Décret divin de la Rédemption
11B41|Décret divin de la Rédemption en compagnie de figures allégoriques, p.ex. la Justice, la Miséricorde, la Paix et la Vérité (les Vertus réconciliées)
11B42|la mission de Gabriel ~ 'Ratschluss der Erlösung'
11B43|le retour de Gabriel ~ 'Ratschluss der Erlösung'
11B44|la mission du Fils ~ 'Ratschluss der Erlösung'
11B45|le retour du Fils ~ 'Ratschluss der Erlösung'
11B5|représentations élargies de la Sainte Trinité
11B51|Quaternité Mariolatrique(Trinité avec la Vierge Marie)
11B52|Quinité
11C|Dieu le Père
11C1|symboles de Dieu le Père
11C11|l'oeil de Dieu, oeil inscrit dans un triangle ~ symbole de Dieu le Père
11C12|main, 'Dextera Dei' ~ symbole de Dieu le Père
11C13|tétragramme (en caractères romains ou hébreux) ~ symbole de Dieu le Père
11C14|(colonne de) feu ~ symbole de Dieu le Père
11C15|(rayons de) lumière ~ symbole de Dieu le Père
11C16|alpha et oméga ~ symbole de Dieu le Père
11C2|Dieu le Père représenté sous une forme humaine, généralement avec couronne ou tiare ou sceptre et/ou globe
11C21|Dieu le Père en jeune homme ou adulte (peut-être semblable au Christ)
11C211|Dieu le Père assis sur un trône, généralement tenant un sceptre et/ou un globe
11C22|Dieu le Père en jeune homme ou en adulte semblable à Jupiter
11C221|Dieu le Père (semblable à Jupiter) assis sur un trône, généralement tenant un sceptre et/ou un globe
11C23|Dieu le Père en vieillard barbu, généralement avec couronne ou tiare ou sceptre et/ou globe
11C231|Dieu le père (en vieillard barbu) assis sur un trône, généralement tenant un sceptre et/ou un globe
11C3|le Christ assis à la droite du Père
11C31|le Père couronnant le Christ
11C32|le Père couronnant simultanément le Christ et la Vierge
11C4|'Scala Salutis', le Christ et la Vierge intercédant auprès de Dieu le Père
11C41|le Christ intercédant auprès de Dieu le Père
11C5|autres représentations ~ Dieu le Père
11C51|Dieu le Père entre le soleil et la lune
11D|le Christ
11D1|symboles et préfigurations du Christ
11D11|lettres et monogrammes ~ symboles du Christ
11D111|alpha et oméga, parfois avec couronne, triangle, instruments de la Passion, etc. ~ symbole du Christ
11D112|chrisme et formes dérivées ~ symbole du Christ
11D113|IHS ('Iesus Hominum Salvator') ~ symbole du Christ
11D1131|labarum : l'étendard impérial portant le chrisme IHS
11D1132|l'adoration du nom de Jésus-Christ
11D114|'Ichthys' (poisson) ~ symbole du Christ
11D12|la croix ~ symboles du Christ
11D121|croix comme symbole du Christ
11D122|croix sur laquelle sont représentés des symboles du Christ, p.ex. l'agneau
11D1221|croix avec la tête ou le buste du Christ
11D123|formes particulières de croix
11D123(...)|formes particulières de croix (avec NOM)
11D123(ANDREW'S CROSS)|forme particulière de croix : croix de Saint-André
11D123(ANSATE CROSS)|forme particulière de croix : croix ansée
11D123(BENEDICTINE CROSS)|forme particulière de croix : croix bénédictine
11D123(CARAVACA CROSS)|forme particulière de croix : Croix de Caravaca
11D123(FORKED CROSS)|forme particulière de croix : croix fourchue
11D123(GREEK CROSS)|forme particulière de croix : croix grecque
11D123(LORRAINE CROSS)|forme particulière de croix : Croix de Lorraine
11D123(SWASTIKA)|forme particulière de croix : svastika
11D123(TAU-CROSS)|forme particulière de croix : Croix de Saint-Antoine
11D124|vénération de la croix
11D13|autres symboles du Christ
11D131|symboles du Christ ~ animaux
11D1311|l'agneau portant la croix ou l'étendard, l'Agneau Mystique, 'Agnus Dei' ~ symbole du Christ
11D1312|symboles du Christ ~ oiseaux
11D13121|colombe comme symbole du Christ
11D13122|aigle comme symbole du Christ
11D13123|paon comme symbole du Christ
11D13124|pélican comme symbole du Christ
11D1313|symboles du Christ ~ mammifères
11D13131|biche comme symbole du Christ
11D13132|dauphin comme symbole du Christ
11D13133|lièvre comme symbole du Christ
11D13134|lion comme symbole du Christ
11D1314|symboles du Christ ~ insectes
11D13141|cerf-volant comme symbole du Christ
11D1315|symboles du Christ ~ animaux fabuleux
11D13151|griffon comme symbole du Christ
11D13152|phénix comme symbole du Christ
11D13153|licorne comme symbole du Christ
11D132|symboles du Christ ~ plantes
11D133|symboles du Christ ~ objets
11D1331|'Etimasia', l'Étimasie : trône vide sur lequel repose le livre de la vie, préparé pour le Christ
11D134|pain et poisson ~ symboles du Christ
11D14|préfigurations du Christ, Jésus-Christ et ses préfigurations
11D15|l'Incarnation ~ Christ
11D2|le Christ comme enfant ou jeune homme (en général) ~ religion chrétienne
11D21|l'enfant Jésus (avec attributs)
11D22|l'enfant Jésus ~ types du Christ adulte
11D23|l'enfant Jésus ~ Passion, 'Schmerzenskind'
11D231|l'enfant Jésus méditant devant les instruments de la Passion
11D232|l'enfant Jésus entouré des instruments de la Passion
11D233|l'enfant Jésus portant les instruments de la Passion
11D234|l'enfant Jésus montrant les cinq plaies
11D235|l'enfant Jésus assemblant la couronne d'épines, ou tenant des tiges épineuses
11D236|l'enfant Jésus portant la croix
11D237|l'enfant Jésus agenouillé devant la croix
11D238|l'enfant Jésus dormant sur la croix
11D24|l'enfant Jésus en tant que symbole eucharistique
11D241|l'enfant Jésus dans ou sur un calice
11D2411|'Melismos' ~ l'enfant Jésus en tant que symbole eucharistique
11D242|l'enfant Jésus au moulin mystique
11D25|l'enfant Jésus en compagnie d'autres
11D26|le Christ comme jeune homme
11D261|Christ 'Émmanuel'
11D3|le Christ adulte
11D31|'portraits' du Christ
11D311|le 'Mandylion', portrait du Christ, qu'il fît lui même en imprimant son visage sur un linge, éventuellement pour le roi Abgar d'Édesse
11D3111|le Christ donne le Mandylion au messager du roi Abgar
11D3112|le Mandylion est apporté à Édesse
11D312|'Vera Icon', 'Sudarium', la 'Vraie Image', la 'Véronique'
11D3121|la 'Vraie Image' tenue par Véronique
11D3122|la 'Vraie Image' tenue par des anges
11D3123|la 'Vraie Image' tenue par Pierre et Paul
11D3124|la 'Vraie Image' tenue par les quatre symboles des évangélistes
11D313|'portrait' du Christ d'après la lettre de Lentulus
11D314|la Sainte Face, p.ex. le Saint-Voult de Lucques (que Nicodème aurait sculpté)
11D315|portrait du Christ attribué à saint Luc
