2|Nature
20|'Natura' (figure ou scène allégorique; ou bien Diane d'Éphèse aux multiples mamelles); 'Natura' (Ripa)
21|les quatre éléments, et éther, le cinquième élément
210|'Elementi', 'Elementi secondo Empedocle' (Ripa)
21A|l'air (un des quatre éléments)
21A0|'Aria', 'Carro dell'aria' (Ripa)
21A1|génie, esprit de l'air, sylphe
21B|la terre (un des quatre éléments)
21B0|'Terra', 'Carro della terra' (Ripa)
21B1|génie, esprit de la terre, gnome, troll
21C|le feu (un des quatre éléments)
21C0|'Fuoco', 'Carro del fuoco' (Ripa)
21D|l'eau (un des quatre éléments)
21D0|'Acqua', 'Carro dell'acqua' (Ripa)
21D1|génie des eaux, nixe, ondine
21D2|glace ~ état de l'eau
21D3|vapeur
21E|éther en tant que quintessence
22|phénomène naturel
22A|la matière
22A0|la Matière (représentation symbolique)
22A1|substances chimiques
22A1(...)|substances chimiques (avec NOM)
22A2|phénomènes chimiques
22A21|réaction chimique
22A3|phénomènes physiques
22A31|états des corps, d'agrégation
22A311|solide (état de la matière)
22A312|liquide (état de la matière)
22A3121|condensation
22A31211|trace de vapeur
22A313|gazeux (état de la matière)
22B|électricité et magnétisme
22B1|phénomènes électriques
22B11|étincelle ~ electricité
22B2|phénomènes magnétiques
22B21|aimant
22B22|force magnétique
22B221|force attractive, attraction ~ force magnétique
22B222|force répulsive, répulsion ~ force magnétique
22C|lumière
22C1|lumière naturelle
22C11|rayons de lumière naturelle
22C2|lumière artificielle
22C21|rayons de lumière artificielle
22C3|lumière surnaturelle
22C31|rayonnement émanant d'une personne ou d'un objet
22C311|nimbe, halo ~ rayonnement émanant d'une personne ou d'un objet
22C3111|nimbe crucifère
22C3112|nimbe carré ou rhombique
22C3113|nimbe en forme d'étoile
22C3114|nimbe formé de rayons
22C3115|nimbe formé d'un trait (d'or)
22C3116|autres types de nimbes, halo
22C312|mandorle
22C3121|mandorle ovale ou en forme d'amande
22C3122|mandorle circulaire
22C32|lumière tombant du ciel
22C4|couleurs, pigments
22C4(...)|couleurs, pigments (avec NOM)
22C4(BLACK)|couleurs, pigments : noir
22C4(BLUE)|couleurs, pigments : bleu
22C4(BROWN)|couleurs, pigments : brun
22C4(GOLD)|couleurs, pigments : or
22C4(GREEN)|couleurs, pigments : vert
22C4(PURPLE)|couleurs, pigments : pourpre
22C4(RED)|couleurs, pigments : rouge
22C4(WHITE)|couleurs, pigments : blanc
22C4(YELLOW)|couleurs, pigments : jaune
22C5|réflexion (lumière en général)
22C8|ombre
22C81|l'ombre d'un objet
22C9|obscurité
22C90|'Buio' (Ripa)
22C91|demi-jour
22D|son
22D1|son fort, bruit
22D11|son harmonieux, harmonie, consonance
22D110|'Armonia' (Ripa)
22D12|son discordant, dissonance
22D2|son doux
22D3|mur du son
22D4|écho
22D9|silence
22E|température
22E1|chaleur
22E11|incandescent, ardent (chaleur)
22E12|brûler
22E13|irradier (chaleur)
22E2|froideur
22E21|glacial, gelé
22E22|degré du zéro absolu
22E3|échelles de grandeurs
22E31|Fahrenheit (échelles de grandeurs)
22E32|Réaumur (échelles de grandeurs)
22E33|Celsius (échelles de grandeurs)
22E34|autres échelles de grandeurs
22E34(...)|autres échelles de grandeurs (avec NOM)
22E4|thermomètre
23|le temps
23A|allégorie du Temps et de l'Éternité
23A1|le Temps : vieillard avec des ailes et une faux
23A11|autres allégories du Temps, p.ex. 'Tempo' (Ripa)
23A2|Éternité. 'Aeternitas'; 'Eternità','Eternità ò Perpetuità' (Ripa)
23A21|l'Ouroboros, le serpent qui se mord la queue
23A3|le passé, le présent et le future
23A31|le passé
23A32|le présent
23A33|le future
23A4|représentations allégoriques de l'action du temps
23A41|le Temps révèle la Vérité; le Temps enlevant au ciel la Vérité
23A411|le Temps découvrant (dénudant) la Vérité
23A42|le Temps cachant le Passé
23A43|le Temps récompensant l'Activité (le Travail) et punissant la Paresse
23A44|le Temps qui s'enfuit
23A441|le Temps faisant tomber en ruine des bâtiments, etc.
23A45|le Temps emportant la Beauté
23B|période de plus d'une année
23B1|période de plus de mille ans
23B2|millénaire
23B3|100 ans, siècle
23B30|'Secolo' (Ripa)
23B4|50 ans
23B5|25 ans
23B6|12 1/2 ans
23B7|10 ans, décennie
23B8|5 ans, lustre
23B9|autres périodes
23B9(...)|autres périodes (avec NOMBRE d'années)
23C|année, année solaire
23C1|'Annus', personnification de l'année; 'Anno', 'Carro dell'anno' (Ripa)
23C2|année lunaire
23C3|année sidérale
23D|saisons de l'année (en particulier comme personnifications); 'Stagione', 'Le quattro stagione dell'anno' (Ripa)
23D1|pas utilisé
23D2|l'année divisée en deux saisons
23D21|semestre hivernal
23D22|semestre estival
23D23|combat de l'été et de l'hiver
23D3|l'année divisée en trois saisons
23D31|année divisée en trois saisons (première série)
23D311|janvier - avril (année divisée en trois saisons)
23D312|mai- août (année divisée en trois saisons)
23D313|septembre - décembre (année divisée en trois saisons)
23D32|année divisée en trois saisons (deuxième série)
23D321|décembre - mars (année divisée en trois saisons)
23D322|avril - juillet (année divisée en trois saisons)
23D323|août - novembre (année divisée en trois saisons)
23D4|année divisée en quatre saisons
23D41|hiver, 'Hyems'; 'Inverno' (Ripa)
23D42|printemps, 'Ver'; 'Primavera' (Ripa)
23D43|été, 'Aestas'; 'Estate' (Ripa)
23D44|automne, 'Autumnus'; 'Autunno' (Ripa)
23D5|année divisée en cinq saisons
23D6|année divisée en six saisons
23D61|année divisée en six saisons (première série)
23D611|janvier et février (année divisée en six saisons)
23D612|mars et avril (année divisée en six saisons)
23D613|mai et juin (année divisée en six saisons)
23D614|juillet et août (année divisée en six saisons)
23D615|septembre et octobre (année divisée en six saisons)
23D616|novembre et décembre (année divisée en six saisons)
23D62|année divisée en six saisons (deuxième série)
23D621|décembre et janvier (année divisée en six saisons)
23D622|février et mars (année divisée en six saisons)
23D623|avril et mai (année divisée en six saisons)
23D624|juin et juillet (année divisée en six saisons)
23D625|août et septembre (année divisée en six saisons)
23D626|octobre et novembre (année divisée en six saisons)
23E|saisons de l'année exprimées par des activités humaines, généralement situées dans un paysage
23E2|année divisée en deux saisons ~ activités humaines
23E21|semestre hivernal ~ activités humaines (année divisée en deux saisons)
23E22|semestre estival ~ activités humaines (année divisée en deux saisons)
23E23|combat de l'été et de l'hiver ~ activités humaines (année divisée en deux saisons)
23E3|année divisée en trois saisons ~ activités humaines
23E31|année divisée en trois saisons ~ activités humaines (première série)
23E311|janvier - avril ~ activités humaines (année divisée en trois saisons)
23E312|mai - août ~ activités humaines (année divisée en trois saisons)
23E313|septembre - décembre ~ activités humaines (année divisée en trois saisons)
23E32|année divisée en trois saisons ~ activités humaines (deuxième série)
23E321|décembre - mars ~ activités humaines (année divisée en trois saisons)
23E322|avril - juillet ~ activités humaines (année divisée en trois saisons)
23E323|août - novembre ~ activités humaines (année divisée en trois saisons)
23E4|les quatre saisons de l'année ~ activités humaines
23E41|hiver ~ activités humaines (les quatre saisons de l'année)
23E42|printemps ~ activités humaines (les quatre saisons de l'année)
23E43|été ~ activités humaines (les quatre saisons de l'année)
23E44|automne ~ activités humaines (les quatre saisons de l'année)
23E5|année divisée en cinq saisons ~ activités humaines
23E6|année divisée en six saisons ~ activités humaines
23E61|année divisée en six saisons ~ activités humaines (première série)
23E611|janvier et février ~ activités humaines (année divisée en six saisons)
23E612|mars - avril ~ activités humaines (année divisée en six saisons)
23E613|mai - juin ~ activités humaines (année divisée en six saisons)
23E614|juillet - août ~ activités humaines (année divisée en six saisons)
23E615|septembre - octobre ~ activités humaines (année divisée en six saisons)
23E616|novembre - décembre ~ activités humaines (année divisée en six saisons)
23E62|année divisée en six saisons ~ activités humaines (deuxième série)
23E621|décembre et janvier ~ activités humaines (année divisée en six saisons)
23E622|février et mars ~ activités humaines (année divisée en six saisons)
23E623|avril et mai ~ activités humaines (année divisée en six saisons)
23E624|juin et juillet ~ activités humaines (année divisée en six saisons)
23E625|août et septembre ~ activités humaines (année divisée en six saisons)
23E626|octobre et novembre ~ activités humaines (année divisée en six saisons)
23F|saisons de l'année exprimées par des paysages
23F2|année divisée en deux saisons ~ paysages
23F21|semestre hivernal ~ paysages (année divisée en deux saisons)
23F22|semestre estival ~ paysages (année divisée en deux saisons)
23F23|combat de l'été et de l'hiver ~ paysages (année divisée en deux saisons)
23F3|année divisée en trois saisons ~ paysages
23F31|année divisée en trois saisons ~ paysages (première série)
23F311|janvier - avril ~ paysages (année divisée en trois saisons)
23F312|mai - août ~ paysages (année divisée en trois saisons)
23F313|septembre - octobre ~ paysages (année divisée en trois saisons)
23F32|année divisée en trois saisons ~ paysages (deuxième série)
23F321|décembre - mars ~ paysages (année divisée en trois saisons)
23F322|avril - juillet ~ paysages (année divisée en trois saisons)
23F323|août - septembre ~ paysages (année divisée en trois saisons)
23F4|les quatre saisons de l'année ~ paysages
23F41|paysage hivernal; paysage symbolisant l'hiver (les quatre saisons de l'année)
23F42|paysage printanier; paysage symbolisant le printemps (les quatre saisons de l'année)
23F43|paysage estival; paysage symbolisant l'été (les quatre saisons de l'année)
23F44|paysage automnal; paysage symbolisant l'automne (les quatre saisons de l'année)
23F5|année divisée en cinq saisons ~ paysages
23F6|année divisée en six saisons ~ paysages
23F61|année divisée en six saisons ~ paysages (première série)
23F611|janvier et février ~ paysages (année divisée en six saisons)
23F612|mars et avril ~ paysages (année divisée en six saisons)
23F613|mai et juin ~ paysages (année divisée en six saisons)
23F614|juillet et août ~ paysages (année divisée en six saisons)
23F615|septembre et octobre ~ paysages (année divisée en six saisons)
23F616|novembre et décembre ~ paysage (année divisée en six saisons)
23F62|année divisée en six saisons ~ paysages (deuxième série)
23F621|décembre et janvier ~ paysages (année divisée en six saisons)
23F622|février et mars ~ paysages (année divisée en six saisons)
23F623|avril et mai ~ paysages (année divisée en six saisons)
23F624|juin et juillet ~ paysages (année divisée en six saisons)
23F625|août et septembre ~ paysages (année divisée en six saisons)
23F626|octobre et novembre ~ paysages (année divisée en six saisons)
23G|saisons de l'année exprimées par des natures mortes de fleurs et/ou de fruits
23G2|année divisée en deux saisons ~ natures mortes de fleurs et/ou de fruits
23G21|semestre hivernal ~ natures mortes de fleurs et/ou de fruits (année divisée en deux saisons)
23G22|semestre estival ~ natures mortes de fleurs et/ou de fruits (année divisée en deux saisons)
23G23|combat de l'été et de l'hiver ~ natures mortes de fleurs et/ou de fruits (année divisée en deux saisons)
23G3|année divisée en trois saisons ~ natures mortes de fleurs et/ou de fruits
23G31|année divisée en trois saisons ~ natures mortes de fleurs et/ou de fruits (première série)
23G311|janvier - avril ~ natures mortes de fleurs et/ou de fruits (année divisée en trois saisons)
23G312|mai - août ~ natures mortes de fleurs et/ou de fruits (année divisée en trois saisons)
