4|Société, Civilisation, Culture
41|aspects matériels de la vie journalière
41A|logement
41A1|architecture civique; édifices; résidences
41A10|'Edifitio overo un sito' (Ripa)
41A11|palais
41A111|hôtel : petit palais urbain
41A12|château
41A121|maison urbaine fortifiée
41A13|édifices, p.ex. : bâtiment public, grand magasin
41A14|maison urbaine
41A141|maison courante ou rangée de maisons
41A142|habitation combinée avec un magasin
41A143|maison urbaine séparée
41A144|immeuble, bâtiment divisé en appartements
41A15|gratte-ciel
41A16|maison rurale, p.ex. manoir, villa, cottage
41A161|grande maison de campagne, manoir, petit château
41A162|villa
41A163|petite maison de campagne, cottage, chaumière
41A17|ferme (bâtiment)
41A171|grange
41A18|hutte, cabane, abri
41A181|cabane en rondins
41A182|hutte des Indiens d'Amérique
41A1821|wigwam
41A19|autres types d'habitations
41A191|tente
41A1911|camp de tentes
41A1912|tipi
41A192|caravane (camping-car)
41A1921|camping pour caravanes, campement
41A1922|remorque
41A193|house-boat, péniche aménagée
41A194|habitation lacustre, maison sur pilotis
41A1941|autres habitations surélevées
41A195|igloo, iglou
41A196|caverne, habitation rupestre
41A2|intérieur de maison
41A21|vestibule, entrée, hall
41A211|corridor
41A2111|galerie (long couloir)
41A22|chambres communes
41A221|séjour, living, salon
41A222|salle de réception, grand salon
41A2221|boudoir
41A223|salle à manger
41A23|chambre à coucher
41A24|salle de bains
41A241|équipement de salle de bains
41A2411|baignoire
41A2412|douche
41A2413|bidet
41A2414|lavabo
41A2415|broc et cuvette; bassine
41A25|autres chambres
41A251|bureau, cabinet de travail, 'studiolo'; bibliothèque
41A252|chapelle (à l'intérieur d'une habitation)
41A253|galerie adossée à la façade, véranda, porche
41A2531|jardin d'hiver, serre (attenante à la maison)
41A254|placard à vêtements, garde-robe
41A2541|armoire à linge
41A255|grenier, mansarde
41A256|espace de rangement
41A3|parties (d'une maison ou d'un bâtiment)
41A31|façade, murs (d'une maison ou d'un bâtiment)
41A311|façade, face antérieure
41A3111|tablette de pierre dans la façade
41A312|mur arrière
41A313|façade de cour intérieure
41A32|porte
41A321|ouvrir la porte
41A3211|porte ouverte
41A3212|porte à deux battants superposés, le battant supérieur ouvert
41A3213|porte à tambour, coulissante
41A322|fermer la porte
41A3221|porte fermée
41A323|porte monumentale, portail, 'aediculum'
41A324|ferronneries de la porte
41A3241|heurtoir, sonnette (porte)
41A3242|poignée, bouton de la porte
41A325|seuil
41A3251|montant de porte, jambage
41A3252|accessoires de la porte, p.ex. décrottoir, brosse, paillasson
41A326|boîte aux lettres ~ porte
41A327|portier, gardien, concierge
41A328|serrure ~ porte
41A3281|clé, clef
41A32811|passe-partout, passe (clef)
41A3282|loquet
41A3283|verrou
41A3284|cadenas
41A33|fenêtre
41A331|ouvrir la fenêtre
41A3311|fenêtre ouverte
41A332|fermer la fenêtre
41A3321|fenêtre fermée
41A333|volets de fenêtre
41A3331|volets de fenêtre à l'extérieur
41A3332|volets de fenêtre à l'intérieur
41A334|store, persienne, marquise, jalousie
41A335|banquette (sous la fenêtre)
41A336|figure humaine à la fenêtre (ouverte)
41A3361|figure humaine à la fenêtre (ouverte), vue de l'extérieur
41A3362|figure humaine à la fenêtre (ouverte), vue de l'intérieur
41A337|vue, ce que l'on peut voir de la fenêtre
41A3371|vue de l'intérieur perçue depuis l'extérieur de la fenêtre
41A3372|vue de l'extérieur perçue depuis l'intérieur de la fenêtre
41A34|escalier
41A341|cage d'escalier
41A3411|escalier mécanique, escalator
41A342|ascenseur
41A343|échelle
41A344|sortie de secours
41A345|escalier de service
41A35|perron
41A351|terrasse
41A352|auvent (sur la porte)
41A36|toit (d'une maison ou d'un édifice)
41A361|tour (d'une maison ou d'un édifice)
41A3611|flèche, aiguille (d'une tour de maison ou d'un édifice)
41A362|couverture du toit
41A363|pignon décoré
41A37|sous-sol, cellier
41A38|balcon
41A381|loggia, véranda, porche
41A382|fenêtre en saillie, fenêtre en oriel
41A39|tuyauterie et installation électrique
41A391|alimentation en eau et système d'écoulement, conduites (d'une maison ou d'un édifice)
41A3911|puits
41A3912|pompe
41A3913|robinet
41A3914|toilettes, cabinets
41A3915|fontaine (à l'intérieur)
41A3916|évier, cuvette
41A392|conduites de gaz
41A393|installation, appareillage et accessoire électrique, p.ex. douille, prise de courant, interrupteur, câble, fil
41A4|décorations (intérieur de maison)
41A41|tenture murale
41A411|papier peint
41A412|lambris, boiserie
41A413|tapisserie
41A414|Cuir de Cordoue
41A42|tissus d'ameublement (d'une chambre)
41A421|rideaux
41A422|tentures et draperies
41A4221|voile (tentures et draperies)
41A423|draperie de cérémonie
41A4231|dais, baldaquin
41A43|revêtement de sol
41A43(...)|revêtement de sol (avec NOM)
41A431|tapis, carpette
41A44|plafond (décoré)
41A5|annexes et dépendances; clôture, grille d'entrée
41A51|cour
41A511|cour intérieure d'un palais ou d'un hôtel
41A512|arrière-cour
41A52|remise pour carrosse
41A521|garage
41A53|abri, resserre
41A54|barrière, palissade, mur
41A541|balustrade
41A542|porte, entrée
41A5421|barrière
41A5422|tourniquet, porte tambour
41A543|échalier
41A544|porte vers l'eau
41A6|jardin
41A61|plan de jardin
41A62|petites constructions de jardin
41A621|pergola
41A622|pavillon, tonnelle (Néerlandais : 'theekoepel')
41A623|ermitage
41A624|belvédère
