0|arte astratta
1|Religione e Magia
10|rappresentazioni (simboliche) ~ la creazione, cosmo, cosmogonia, universo e vita (in senso lato)
11|religione cristiana
11A|Divinità, Dio (in generale) ~ religione cristiana
11A1|Dio creatore
11A11|Dio misura l'Universo (con il compasso)
11A2|Natura Divina
11A21|il divino, 'Divinità' (Ripa)
11A22|simboli ~ Natura Divina
11A221|cerchio come simbolo della perfezione di Dio
11A23|perfezione di Dio
11A3|ira di Dio
11A31|'Flagello di Dio' (Ripa)
11B|la Trinità, 'Trinitas coelestis'; Padre, Figlio e Spirito Santo ~ religione cristiana
11B1|la Trinità rappresentata da simboli tripartiti
11B11|simboli della Trinità ~ forme o combinazioni circolari e/o triangolari
11B111|tre cerchi concentrici ~ la Trinità
11B112|tre cerchi allacciati ~ la Trinità
11B113|triangolo (dentro il cerchio), con l'occhio o il tetragramma ~ la Trinità
11B114|tre animali, combinati geometricamente dentro il cerchio o il triangolo ~ la Trinità
11B115|tre uomini che corrono, disposti in forma circolare ~ la Trinità
11B12|la Trinità rappresentata sotto forma di persona con tre teste
11B121|'Tricephalus', tre teste o tre volti fusi insieme ~ la Trinità
11B13|la Trinità rappresentata da tre animali con unica testa
11B14|altri simboli tripartiti della Trinità
11B2|rappresentazione della Trinità in cui ciascuna Persona (Padre, Figlio e Spirito Santo) è rappresentata da un oggetto o da un animale
11B21|rappresentazione della Trinità: mano (Padre), agnello (Figlio) e colomba (Spirito Santo)
11B22|rappresentazione della Trinità: mano (Padre), croce (Figlio) e colomba (Spirito Santo)
11B23|rappresentazione della Trinità: mano (Padre), calice (Figlio) e colomba (Spirito Santo)
11B3|rappresentazione della Trinità i cui una, due o tutte e tre le figure sono rappresentata in sembianze umane
11B31|la Trinità rappresentata come tre persone
11B311|la Trinità rappresentata come tre persone identiche
11B312|Dio Padre e lo Spirito Santo sostengono Cristo crocifisso ~ simbologia della Trinità
11B32|rappresentazione della Trinità nella quale Dio Padre e Cristo sono rappresentati come persone, lo Spirito Santo come colomba
11B321|rappresentazione della Trinità nella quale Dio Padre seduto tiene Cristo giovane (l'Emanuele) sulle ginocchia
11B322|rappresentazione della Trinità con Dio Padre e Cristo in trono
11B3221|rappresentazione della Trinità in cui Dio Padre e Cristo figurano come persone identiche
11B3222|rappresentazione della Trinità nella quale Cristo mostra le sue piaghe
11B323|rappresentazione della Trinità nella quale Dio Padre sostiene Cristo crocifisso o morto
11B3231|rappresentazione della Trinità nella quale Dio Padre sostiene il crocifisso, 'Gnadenstuhl', Trono di Grazia
11B3232|rappresentazione della Trinità nella quale Dio Padre, in piedi o seduto, sostiene il corpo di Cristo, 'Pitié-de-Notre-Seigneur', 'Not Gottes'
11B33|altre rappresentazioni della Trinità
11B331|rappresentazione della Trinità nella quale Dio Padre è raffigurato come persona, Cristo come agnello, e lo Spirito Santo come colomba
11B332|rappresentazione della Trinità nella quale Dio Padre è raffigurato come persona, Cristo come leone, e lo Spirito Santo come colomba
11B333|rappresentazione della Trinità nella quale Dio Padre è raffigurato come forma simbolica, Cristo come persona, e lo Spirito Santo come colomba
11B4|'Ratschluss der Erlosung', 'Prolog im Himmel; Divino decreto della redenzione
11B41|Divino decreto della redenzione, con figure allegoriche, p.es. Giustizia, Misericordia, Pace, Verità (la riconciliazione delle Virtù)
11B42|l'invio di Gabriele ~ 'Ratschluss der Erlosung'
11B43|il ritorno di Gabriele ~ 'Ratschluss der Erlosung'
11B44|l'invio di Cristo ~ 'Ratschluss der Erlosung'
11B45|il ritorno di Cristo ~ 'Ratschluss der Erlosung'
11B5|rappresentazione della Trinità estesa ad altre figure
11B51|Quaternità, la Trinità con Maria Vergine
11B52|'Quinity', Quinità, la Trinità con la Madonna col Bambino)
11C|Dio Padre
11C1|simboli di Dio Padre
11C11|occhio que vede tutto, occhio iscritto in un triangolo ~ simbolo di Dio Padre
11C12|mano di Dio, 'Dextera Dei' ~ simbolo di Dio Padre
11C13|tetragramma (in caratteri romani o ebraici) ~ simbolo di Dio Padre
11C14|(colonna di) fuoco ~ simbolo di Dio Padre
11C15|(raggi di) luce ~ simbolo di Dio Padre
11C16|alpha e omega ~ simbolo di Dio Padre
11C2|Dio padre rappresentato come essere umano, generalmente con la corona o la tiara o lo scettro e/o il globo
11C21|Dio Padre rappresentato come uomo adulto o giovane (talvolta simile a Cristo)
11C211|Dio Padre rappresentato in trono, generalmente con lo scettro e/o il globo
11C22|Dio Padre rappresentato come uomo adulto o giovane simile a Giove
11C221|Dio Padre rappresentato come uomo adulto o giovane simile a Giove, in trono, generalmente con lo scettro e/o il globo
11C23|Dio Padre rappresentato come vecchio barbato, generalmente con la corona o la tiara o lo scettro e/o il globo
11C231|Dio Padre (come vecchio barbato) raffigurato in trono, generalmente con la corona o la tiara e lo scettro e/o il globo
11C3|Cristo seduto alla destra di Dio
11C31|Dio incorona Cristo
11C32|Dio incorona simultaneamente Cristo e Maria Vergine
11C4|'Scala Salutis', Cristo e Maria Vergine intercedono presso Dio Padre
11C41|Cristo intercede presso Dio Padre
11C5|altre rappresentazioni ~ Dio Padre
11C51|Dio Padre fra il sole e la luna
11D|Cristo
11D1|simboli e prefigurazioni di Cristo
11D11|lettere e monogrammi ~ simboli di Cristo
11D111|alpha e omega, a volte con il serto, il triangolo, gli strumenti della Passione, ecc. ~ simbolo di Cristo
11D112|Chrismon e forme derivate ~ simbolo di Cristo
11D113|IHS ('Iesus Hominum Salvator') ~ simbolo di Cristo
11D1131|labaro, ovvero stendardo imperiale con il monogramma IHS
11D1132|adorazione del nome di Gesù
11D114|'Ichthys' ~ simbolo di Cristo
11D12|la croce ~ simboli di Cristo
11D121|la croce come simbolo di Cristo
11D122|la croce con sopra il simbolo di Cristo, p.es. l'agnello
11D1221|la croce con la testa o il busto di Cristo
11D123|specifiche forme di croce
11D123(...)|specifiche forme di croce (col NOME)
11D123(ANDREW'S CROSS)|specifiche forme di croce: croce di sant'Andrea
11D123(ANSATE CROSS)|specifiche forme di croce: croce ansata
11D123(BENEDICTINE CROSS)|specifiche forme di croce: croce benedettina
11D123(CARAVACA CROSS)|specifiche forme di croce: croce di Caravaca
11D123(FORKED CROSS)|specifiche forme di croce: croce a ipsilon
11D123(GREEK CROSS)|specifiche forme di croce: croce greca
11D123(LORRAINE CROSS)|specifiche forme di croce: croce di Lorena
11D123(SWASTIKA)|specifiche forme di croce: svastica
11D123(TAU-CROSS)|specifiche forme di croce: croce a tau
11D124|adorazione della croce
11D13|altri simboli di Cristo
11D131|simboli di Cristo ~ animali
11D1311|agnello (con la croce o il vessillo), 'Agnus Dei' ~ simbolo di Cristo
11D1312|simboli di Cristo ~ uccelli
11D13121|colomba come simbolo di Cristo
11D13122|aquila come simbolo di Cristo
11D13123|pavone come simbolo di Cristo
11D13124|pellicano come simbolo di Cristo
11D1313|simboli di Cristo ~ mammiferi
11D13131|daino come simbolo di Cristo
11D13132|delfino come simbolo di Cristo
11D13133|lepre come simbolo di Cristo
11D13134|leone come simbolo di Cristo
11D1314|simboli di Cristo ~ insetti
11D13141|scarabeo come simbolo di Cristo
11D1315|simboli di Cristo ~ animali fantastici
11D13151|grifone come simbolo di Cristo
11D13152|fenice come simbolo di Cristo
