2|natura
20|Natura (figura o scena allegorica; o come Diana efesia, con molti seni); 'Natura' (Ripa)
21|i quattro elementi, e l'etere, il 'quinto' elemento
210|'Elementi', 'Elementi secondo Empedocle' (Ripa)
21A|aria (uno dei quattro elementi)
21A0|'Aria', 'Carro dell'aria' (Ripa)
21A1|spirito dell'aria, silfo/silfide
21B|terra (uno dei quattro elementi)
21B0|'Terra', 'Carro della terra' (Ripa)
21B1|spirito della terra, gnomo, troll
21C|fuoco (uno dei quattro elementi)
21C0|'Fuoco', 'Carro del fuoco' (Ripa)
21D|acqua (uno dei quattro elementi)
21D0|'Acqua', 'Carro dell'acqua' (Ripa)
21D1|spirito dell'acqua, nix, ondina
21D2|ghiaccio ~ stato dell'acqua
21D3|vapore
21E|etere come 'quinta essentia'
22|fenomeni naturali
22A|materia
22A0|Materia (rappresentazione allegorica)
22A1|sostanze chimiche
22A1(...)|sostanze chimiche (col NOME)
22A2|fenomeni chimici
22A21|reazione chimica
22A3|fenomeni fisici
22A31|stati della materia
22A311|solido (stato della materia
22A312|liquido (stato della materia)
22A3121|condensazione
22A31211|scia di condensazione
22A313|gas (stato della materia)
22B|elettricità e magnetismo
22B1|fenomeni elettrici
22B11|scintilla ~ elettricità
22B2|fenomeni magnetici
22B21|magnete
22B22|forza magnetica
22B221|forza attrattiva, forza di attrazione ~ forza magnetica
22B222|forza repulsiva, forza di repulsione ~ forza magnetica
22C|luce
22C1|luce naturale
22C11|raggi di luce naturale
22C2|luce artificiale
22C21|raggi di luce artificiale
22C3|luce soprannaturale
22C31|luce, fulgore emanato da persone o cose
22C311|nimbo, aureola, alone ~ luce emanata da persone o cose
22C3111|nimbo crociato
22C3112|nimbo quadrato o rombico
22C3113|nimbo stellato, a forma di stella
22C3114|raggi come nimbo
22C3115|filo (d'oro) come nimbo
22C3116|altri tipi di nimbo, aureola
22C312|mandorla
22C3121|mandorla ovale o a forma di mandorla
22C3122|mandorla circolare
22C32|luce emanata dal Cielo
22C4|colori, pigmenti, vernici
22C4(...)|colori, pigmenti, vernici (col NOME)
22C4(BLACK)|colori, pigmenti, e vernici: nero
22C4(BLUE)|colori, pigmenti, e vernici: azzurro
22C4(BROWN)|colori, pigmenti, e vernici: marrone
22C4(GOLD)|colori, pigmenti, e vernici: oro
22C4(GREEN)|colori, pigmenti, e vernici: verde
22C4(PURPLE)|colori, pigmenti, e vernici: viola
22C4(RED)|colori, pigmenti, e vernici: rosso
22C4(WHITE)|colori, pigmenti, e vernici: bianco
22C4(YELLOW)|colori, pigmenti, e vernici: giallo
22C5|riflesso (luce in generale)
22C8|ombra
22C81|ombra di un oggetto
22C9|tenebre
22C90|'Buio' (Ripa)
22C91|penombra
22D|suono
22D1|suono forte, rumore
22D11|suono armonioso, armonia, consonanza
22D110|'Armonia' (Ripa)
22D12|suono non armonioso, dissonanza
22D2|suono tenue
22D3|barriera del suono
22D4|eco
22D9|silenzio
22E|temperatura
22E1|calore
22E11|ardere, essere incandescente
22E12|bruciare
22E13|irradiare (calore)
22E2|freddo
22E21|congelare
22E22|punto dello zero assoluto
22E3|misurazione della temperatura, scale
22E31|Fahrenheit (misurazione della temperatura)
22E32|Réaumur (misurazione della temperatura)
22E33|Celsius (misurazione della temperatura)
22E34|altre scale termometriche
22E34(...)|altre scale termometriche (col NOME)
22E4|termometro
23|tempo
23A|allegoria del Tempo e dell'Eternità
23A1|Padre Tempo, uomo con ali e falce
23A11|altre allegorie del Tempo, p.es.: 'Tempo' (Ripa)
23A2|Eternità, 'Aeternitas'; 'Eternità o Perpetuità' (Ripa)
23A21|serpente Ouroboros
23A3|passato, presente e futuro
23A31|passato
23A32|presente
23A33|futuro
23A4|rappresentazioni allegoriche degli effetti del tempo
23A41|il Tempo che svela la Verità; il Tempo porta via in volo la Verità
23A411|il Tempo denuda la Verità
23A42|il Tempo nasconde il Passato
23A43|il Tempo ricompensa la Laboriosità e punisce la Pigrizia
23A44|fugacità del Tempo
23A441|il Tempo causa la rovina di edifici, ecc.
23A45|il Tempo rapisce la Bellezza
23B|periodo di più di un anno
23B1|periodo di più di mille anni
23B2|millennio
23B3|cento anni, secolo
23B30|'Secolo' (Ripa)
23B4|cinquanta anni
23B5|venticinque anni
23B6|dodici anni e mezzo
23B7|dieci anni, decade
23B8|cinque anni, lustro
23B9|altri periodi
23B9(...)|altri periodi (col NUMERO di anni)
23C|anno, anno solare
23C1|'Annus', personificazione dell'anno; 'Anno', 'Carro dell'anno' (Ripa)
23C2|anno lunare
23C3|anno siderale
23D|stagioni dell'anno (personificazioni); 'Stagione', 'Le quattro stagioni dell'anno' (Ripa)
23D1|non usato
23D2|anno diviso in due stagioni
23D21|semestre invernale
23D22|semestre estivo
23D23|contesa tra estate e inverno
23D3|anno diviso in tre stagioni, in quadrimestri
23D31|anno diviso in tre stagioni (prima serie)
23D311|gennaio-aprile (anno diviso in tre stagioni)
23D312|maggio-Agosto (anno diviso in tre stagioni)
23D313|settembre-dicembre (anno diviso in tre stagioni)
23D32|anno diviso in tre stagioni (seconda serie)
23D321|dicembre-marzo (anno diviso in tre stagioni)
23D322|aprile-luglio (anno diviso in tre stagioni)
23D323|agosto-novembre (anno diviso in tre stagioni)
23D4|anno diviso in quattro stagioni
23D41|inverno, 'Hyems'; 'Inverno' (Ripa)
23D42|primavera, 'Ver'; 'Primavera' (Ripa)
23D43|estate, 'Aestas'; 'Estate' (Ripa)
23D44|autunno, 'Autumnus'; 'Autunno' (Ripa)
23D5|anno diviso in cinque stagioni
23D6|anno diviso in sei stagioni, in bimestri
23D61|anno diviso in sei stagioni (prima serie)
23D611|gennaio e febbraio (anno diviso in sei stagioni)
23D612|marzo e aprile (anno diviso in sei stagioni)
23D613|maggio e giugno (anno diviso in sei stagioni)
23D614|luglio e agosto (anno diviso in sei stagioni)
23D615|settembre e ottobre (anno diviso in sei stagioni)
23D616|novembre e dicembre (anno diviso in sei stagioni)
23D62|anno diviso in sei stagioni, in bimestri (seconda serie)
23D621|dicembre e gennaio (anno diviso in sei stagioni)
23D622|febbraio e marzo (anno diviso in sei stagioni)
23D623|aprile e maggio (anno diviso in sei stagioni)
23D624|giugno e luglio (anno diviso in sei stagioni)
23D625|agosto e settembre (anno diviso in sei stagioni)
23D626|ottobre e novembre (anno diviso in sei stagioni)
23E|stagioni dell'anno rappresentate da scene che illustrano le attività umane, di norma in un paesaggio
23E2|anno diviso in due stagioni ~ attività umane
23E21|semestre invernale ~ attività umane (anno diviso in due stagioni)
23E22|semestre estivo ~ attività umane (anno diviso in due stagioni)
23E23|contesa tra estate e inverno ~ attività umane (anno diviso in due stagioni)
23E3|anno diviso in tre stagioni, in quadrimestri ~ attività umane
23E31|anno diviso in tre stagioni ~ attività umane (prima serie)
23E311|gennaio-aprile ~ attività umane (anno diviso in tre stagioni)
23E312|maggio-agosto ~ attività umane (anno diviso in tre stagioni)
23E313|settembre-dicembre ~ attività umane (anno diviso in tre stagioni)
23E32|anno diviso in tre stagioni ~ attività umane (seconda serie)
23E321|dicembre-marzo ~ attività umane (anno diviso in tre stagioni)
23E322|aprile-luglio ~ attività umane (anno diviso in tre stagioni)
23E323|agosto-novembre ~ attività umane (anno diviso in tre stagioni)
23E4|le quattro stagioni ~ attività umane
23E41|inverno ~ attività umane (le quattro stagioni dell'anno)
23E42|primavera ~ attività umane (le quattro stagioni dell'anno)
23E43|estate ~ attività umane (le quattro stagioni dell'anno)
23E44|autunno ~ attività umane (le quattro stagioni dell'anno)
23E5|anno diviso in cinque stagioni ~ attività umane
23E6|anno diviso in sei stagioni, in bimestri ~ attività umane
23E61|anno diviso in sei stagioni ~ attività umane (prima serie)
23E611|gennaio e febbraio ~ attività umane (anno diviso in sei stagioni)
23E612|marzo e aprile ~ attività umane (anno diviso in sei stagioni)
23E613|maggio e giugno ~ attività umane (anno diviso in sei stagioni)
23E614|luglio e agosto ~ attività umane (anno diviso in sei stagioni)
23E615|settembre e ottobre ~ attività umane (anno diviso in sei stagioni)
23E616|novembre e dicembre ~ attività umane (anno diviso in sei stagioni)
23E62|anno diviso in sei stagioni ~ attività umane (seconda serie)
23E621|dicembre e gennaio ~ attività umane (anno diviso in sei stagioni)
23E622|febbraio e marzo ~ attività umane (anno diviso in sei stagioni)
23E623|aprile e maggio ~ attività umane (anno diviso in sei stagioni)
23E624|giugno e luglio ~ attività umane (anno diviso in sei stagioni)
23E625|agosto e settembre ~ attività umane (anno diviso in sei stagioni)
23E626|ottobre e novembre ~ attività umane (anno diviso in sei stagioni)
23F|stagioni rappresentate da un paesaggio
23F2|anno diviso in due stagioni ~ paesaggi
23F21|semestre invernale ~ paesaggi (anno diviso in due stagioni)
23F22|semestre estivo ~ paesaggi (anno diviso in due stagioni
23F23|contesa tra estate e inverno ~ paesaggi(anno diviso in due stagioni)
23F3|anno diviso in tre stagioni, in quadrimestri ~ paesaggi
23F31|anno diviso in tre stagioni ~ paesaggi (prima serie)
23F311|gennaio-aprile ~ paesaggi (anno diviso in tre stagioni)
23F312|maggio-agosto ~ paesaggi (anno diviso in tre stagioni)
23F313|settembre-dicembre ~ paesaggi (anno diviso in tre stagioni)
23F32|anno diviso in tre stagioni ~ paesaggi (seconda serie)
23F321|dicembre-marzo ~ paesaggi (anno diviso in tre stagioni)
23F322|aprile-luglio ~ paesaggi (anno diviso in tre stagioni)
