4|società, civilizzazione, cultura
41|aspetti materiali della vita quotidiana
41A|abitare
41A1|architettura civica; edifici, abitazioni
41A10|'Edifitio overo un sito' (Ripa)
41A11|palazzo
41A111|palazzo o palazzetto nell'ambito di una città
41A12|castello
41A121|casa fortificata nell'ambito di una città
41A13|edificio, p.es. edificio pubblico, grande magazzino
41A14|alloggio urbano
41A141|casa comune; fila di case
41A142|casa abbinata a negozio
41A143|casa isolata, indipendente, nell'ambito di una città
41A144|edificio ad appartamenti, appartamento
41A15|grattacielo
41A16|edificio rurale, p.es. casa di campagna, villa, villino
41A161|casa di campagna
41A162|villa
41A163|villino
41A17|fattoria
41A171|granaio
41A18|casupola, capanna, casetta
41A181|capanna di tronchi
41A182|abitazione dei nativi del Nord America
41A1821|wigwam
41A19|altre tipologie abitative
41A191|tenda
41A1911|campeggio
41A1912|tepee, tipi
41A192|caravan, roulotte
41A1921|roulotte da campeggio
41A1922|rimorchio
41A193|casa galleggiante
41A194|abitazione lacustre, palafitta
41A1941|altri tipi di abitazioni staccate dal terreno
41A195|casa di neve, igloo
41A196|abitazione rupestre
41A2|interno della casa
41A21|vestibolo, ingresso
41A211|corridoio
41A2111|galleria (grande corridoio)
41A22|stanze comuni (interno della casa)
41A221|soggiorno, salotto, stanza di soggiorno
41A222|salone, 'salon'
41A2221|boudoir
41A223|sala da pranzo
41A23|camera da letto
41A24|stanza da bagno
41A241|arredo e servizi della stanza da bagno
41A2411|tinozza
41A2412|doccia
41A2413|bidet
41A2414|bacile
41A2415|brocca e bacile
41A25|altre stanze
41A251|studio, 'studiolo'; biblioteca
41A252|cappella (interno della casa)
41A253|stanza a vetrate, veranda a vetri
41A2531|giardino d'inverno, conservatorio
41A254|guardaroba
41A2541|armadio della biancheria
41A255|sottotetto, soffitta
41A256|magazzino
41A3|parti di casa o edificio
41A31|prospetto di casa o edificio
41A311|facciata, fronte, prospetto principale di casa o edificio
41A3111|lapide di facciata
41A312|retro, prospetto posteriore di casa o edificio
41A313|prospetto del cortile interno
41A32|porta
41A321|aprire la porta
41A3211|porta aperta
41A3212|porta con ante divise a metà, con la parte superiore aperta
41A3213|porta girevole
41A322|chiudere, serrare la porta
41A3221|porta chiusa
41A323|porta monumentale, portico, 'aediculum'
41A324|parte lavorata in metallo di una porta
41A3241|battente, campanello della porta
41A3242|maniglia, pomo della porta
41A325|soglia
41A3251|stipite, montante della porta
41A3252|accessori relativi alla porta, p.es. spazzola o raschiatoio per gli stivali, zerbino
41A326|cassetta della posta ~ porta
41A327|catenella, apertura di sicurezza
41A328|serratura ~ porta
41A3281|chiave
41A32811|chiave maestra, 'passe-partout', chiave universale
41A3282|saliscendi
41A3283|catenaccio
41A3284|lucchetto
41A33|finestra
41A331|aprire la finestra
41A3311|finestra aperta
41A332|chiudere, serrare la finestra
41A3321|finestra chiusa
41A333|imposte ~ finestra
41A3331|imposte all'esterno
41A3332|imposte all'interno
41A334|veneziana, parasole, tenda
41A335|sedile da finestra
41A336|figura umana alla finestra (aperta)
41A3361|figura umana alla finestra (aperta) vista da fuori
41A3362|figura umana alla finestra (aperta) vista dall'interno
41A337|vista attraverso una finestra
41A3371|vista attraverso una finestra dall'esterno
41A3372|vista attraverso una finestra dall'interno
41A34|scala
41A341|tromba della scala
41A3411|scala mobile
41A342|ascensore
41A343|scala a pioli
41A344|scala di sicurezza, antincendio
41A345|scala di servizio
41A35|scalinata principale, di facciata
41A351|terrazza
41A352|copertura a baldacchino sopra l'ingresso
41A36|tetto (di casa o edificio)
41A361|torre (di casa o edificio)
41A3611|guglia (di casa o edificio)
41A362|copertura del tetto
41A363|frontone decorato
41A37|seminterrato, cantina
41A38|balcone
41A381|loggia, veranda
41A382|bovindo, balcone chiuso da vetri
41A39|impianto idrico ed elettrico
41A391|dotazione d'acqua e acque di scarico; tubazioni (in casa o edificio)
41A3911|pozzo
41A3912|pompa
41A3913|rubinetto
41A3914|gabinetto
41A3915|fontana (in un interno)
41A3916|lavandino, lavabo
41A392|condutture del gas
41A393|impianto elettrico, accessori, p.es. portalampada, spina, interruttore, cavo
41A4|decorazioni (interno della casa)
41A41|rivestimento delle pareti
41A411|carta da parati
41A412|pannellatura
41A413|paramento, arazzo
41A414|cordovano dorato, cuir de Cordoue
41A42|rivestimento, tappezzeria (di una stanza)
41A421|tende
41A422|tendaggi e tessuti
41A4221|velum (tendaggi e tessuti)
41A423|tessuti cerimoniali
41A4231|baldacchino, pensilina
41A43|rivestimento di pavimento
41A43(...)|rivestimento di pavimento (col NOME)
41A431|tappeto, tappetino
41A44|soffitto (decorato)
41A5|edifici secondari e dipendenze; recinto; cancello
41A51|cortile
41A511|cortile interno di un palazzo
41A512|cortile posteriore
41A52|rimessa
41A521|autorimessa
41A53|capannone
41A54|recinto, muro, palizzata
41A541|balaustrata
41A542|cancello, entrata
41A5421|barriera
41A5422|cancelletto con chiusura a combaciare
41A543|scaletta (per scavalcare un muro)
41A544|chiusa, saracinesca
41A6|giardino
41A61|pianta, mappa del giardino
41A62|costruzioni e architettura da giardino
41A621|pergola
41A622|chiosco, padiglione (per il tè), (olandese: 'theekoepel')
41A623|eremo
41A624|belvedere
41A625|graticcio
41A626|edifici o costruzioni false
41A63|tracciato, schema di un giardino
41A631|prato, tappeto erboso
41A632|aiola
41A633|giardino roccioso (giardino elaborato con ambientazione naturalistica di rocce)
41A634|labirinto, dedalo ~ giardino
41A635|giardino recintato con muro o steccato; 'Hortus Conclusus'
41A6351|giardino pensile
41A636|giardino alla francese o giardino architettonico; giardino all'italiana
41A637|giardino all'inglese o giardino paesaggistico
41A638|viale ~ giardino
41A64|ornamenti da giardino
41A641|statue, sculture da giardino
41A6411|nani, 'grylloi' (ornamenti da giardino)
41A642|obelischi (ornamenti da giardino)
41A643|piramidi (ornamenti da giardino)
41A644|erme (ornamenti da giardino)
41A645|rovine (ornamenti da giardino)
41A646|vaso da giardino
41A65|opere idriche in giardino
41A651|fontana da giardino
41A652|stagno da giardino
41A653|cascata da giardino
41A66|grotta artificiale in giardino
41A67|piante ornamentali
41A671|natura morta di piante, fiori, e frutta
41A6711|fiori in vaso
41A6712|sistemare fiori
41A672|arte topiaria (potare e coltivare arbusti e alberi in forma ornamentale); bonsai, piante a spalliera, ecc.
41A673|piante in vaso
41A68|coltivazione di un giardino (ornamentale)
41A681|giardinaggio
41A6811|irrigazione, dare acqua
41A682|attrezzi da giardinaggio
41A682(...)|attrezzi da giardinaggio (col NOME)
41A7|mobili, arredi e oggetti domestici
41A71|mobilio sui quali porre oggetti
41A711|tavolo
41A7111|tripode
41A7112|tavolo su cavalletti
41A712|mensole, scaffali, rastrelliera, credenza
41A7121|what-not, scaffaletto
41A7122|scaffale
41A71221|libreria, con porte
41A713|tovaglia, ecc.
41A72|mobili per sedersi
41A721|sedia
41A7211|sgabello
41A72111|sgabellino, posapiedi
41A7212|poltrona, seggio
