5|idee e concetti astratti
51|concetti generali
51A|esistenza e modi di esistere
51A1|esistenza
51A11|universo
51A2|materialità
51A3|concretezza
51A4|presenza
51A5|natura intrinseca, essenza, idea (secondo Platone)
51A51|interno, interiore, interiorità
51A6|elementarità, irriducibilità
51A7|perfezione, completezza; 'Perfettione', 'Operatione perfetta' (Ripa)
51A8|il noto, il conosciuto
51AA|esistenza e modi di esistere (concetti opposti)
51AA1|inesistenza
51AA2|immaterialità
51AA3|astrattezza, incorporeità
51AA4|assenza, non-essere
51AA5|circostanza, occasione, incidente
51AA51|esterno, esteriore, esteriorità
51AA6|composizione
51AA61|sintesi
51AA7|imperfezione, incompletezza; 'Imperfettione' (Ripa)
51AA8|l'ignoto
51B|tipi di relazione
51B1|relazione
51B2|somiglianza, similarità
51B3|parità, uguaglianza
51B4|uniformità
51B5|identità
51B6|imitazione; 'Imitatione' (Ripa)
51B61|ripetizione
51B7|normalità
51BB|tipi di relazione (concetti opposti)
51BB1|assolutezza, non-relazione
51BB2|diversità, dissimilitudine
51BB3|disparità, disuguaglianza, differenza
51BB4|varietà, multiformità
51BB5|contrarietà, incoerenza; 'Contrarietà' (Ripa)
51BB51|ambivalenza
51BB6|originalità
51BB61|singolarità, unicità
51BB7|anormalità
51C|causalità
51C1|causa
51C2|necessità, inevitabilità; 'Necessità' (Ripa)
51CC|causalità (concetti opposti)
51CC1|effetto, conseguenza
51CC11|risutato positivo, buon risultato
51CC12|risultato negativo, cattivo risultato
51CC13|effetto collaterale, effetto secondario
51CC19|nessun risultato, mancanza di risultato, inefficacia, vanità, inutilità
51CC2|caso, sorte
51D|ordine e disordine
51D1|ordine, organizzazione, ordinamento
51D2|armonia, regolarità
51D21|euritmia
51D3|simmetria; 'Simmetria' (Ripa)
51D4|bellezza; 'Bellezza' (Ripa)
51D41|grazia, fascino; 'Gratia', 'Venustà' (Ripa)
51D42|splendore
51D43|il sublime
51D5|Bilancio, Equilibrio
51DD|ordine e disordine (concetti opposti)
51DD1|disordine, confusione, disorganizzazione, scompiglio
51DD11|contaminazione
51DD2|disarmonia, irregolarità
51DD3|asimmetria
51DD4|bruttezza
51DD5|Squilibrio
51E|ordine gerarchico
51E1|indipendenza, autonomia
51E11|libertà; 'Libertà' (Ripa)
51E12|liberazione
51E2|superiorità
51E3|conformità; 'Temperamento delle cose terrene con le celesti' (Ripa)
51E4|coerenza
51EE|ordine gerarchico (concetti opposti)
51EE1|dipendenza, subordinazione
51EE11|limitazione, restrizione
51EE12|limitazione d'autorità
51EE2|inferiorità
51EE3|difformità
51EE4|incoerenza
51F|relazioni temporali
51F1|precedenza
51F2|continuità
51F3|priorità, preminenza
51F4|simultaneità
51F5|principio; 'Principio' (Ripa)
