9|ギリシャ・ローマ神話と古代史
91|創造にまつわる神話: 宇宙創造論, 神々の起源, 人類の起源
91A|宇宙の起源 ~ ギリシャ・ローマ神話
91A1|古代神, 基本的な神々 ~ ギリシャ・ローマ神話
91A11|ウラヌス (カイルス), 天国
91A12|ガイア (ゲー), 地球
91A13|ポントゥス, 海
91A14|他の原始的な神々
91A14(...)|他の原始的な神々 (名前付き)
91A14(AION)|他の原始的な神々: アイオーン
91A14(CHAOS)|他の原始的な神々: カオス
91A14(DEMOGORGON)|他の原始的な神々: デモゴルゴン
91A14(EREBUS)|他の原始的な神々: エレボス
91A14(NOX)|他の原始的な神々: ニュクス
91A2|創造の力による要素の分離 ~ ギリシャ・ローマ神話
91A21|地球の創造 ~ ギリシャ・ローマ神話
91A22|水の創造 ~ ギリシャ・ローマ神話
91A23|空と風, 星の創造 ~ ギリシャ・ローマ神話
91B|ウラヌスとガイアの子供たち (タイタン, サイクロプス, ヘカトンケイル)
91B1|タイタン
91B11|雄のタイタン
91B111|サターン(クロノス) (の物語)
91B1111|サターン(クロノス) (の物語) - 幼少期, 若い盛り
91B11111|サターン(クロノス) (の物語) - 誕生
91B11112|サターン(クロノス) (の物語) - 幼年期, 育成
91B1112|サターンの情事
91B11121|時折馬の形で表現されるサターンに愛されるピリュラー
91B11122|レアーとサターン
91B1113|サターン(クロヌス) (の物語) - 最も重要な行い
91B1114|サターンの攻撃的かつ非友好的な活動と関係
91B11141|自分の子を喰らうサターン
91B111411|生まれたてのジュピターの代わりにレアーから与えられた石をむさぼるサターン
91B111412|自分の子を吐き出すサターン
91B11142|ウラヌスを鎌で去勢するサターン; おそらくフューリズ, 巨人たち, メリアスの誕生も組み合わさる (地球の上に流れ落ちる血から)
91B1115|サターン (クロノス) (の物語) - 非攻撃的な, 友好的または中立の活動と関係
91B1116|サターンの苦悩と不運
91B11161|ジュピターに去勢されるサターン
91B11168|サターンの苦悩と不運 - 死
91B11169|サターンの苦悩と不運 -  神格化
91B1117|サターンの特定の局面; 守護者としてのサターン
91B11171|Cronus triformis: 3つの動物の頭を持つサターン
91B11178|サターンの凱旋
91B11179|サターンの特定の局面; 守護者としてのサターン - 尊敬, 崇拝
91B1118|サターン (クロノス) (の物語) - 象徴
91B1118(...)|サターンの象徴 (名前付き)
91B1118(SCYTHE)|サターンの象徴: 大鎌
91B1119|サターン (クロノス) (の物語) - 子孫, 仲間(たち), お供 etc.
91B112|オーケアノス (の物語)
91B1121|オーケアノス (の物語) - 幼少期, 若い盛り
91B11211|オーケアノス (の物語) - 誕生
91B11212|オーケアノス (の物語) - 幼年期, 育成
91B1122|オーケアノス (の物語) - 情事
91B1123|オーケアノス (の物語) - 最も重要な行い
91B1124|オーケアノス (の物語) - 攻撃的かつ非友好的な活動と関係
91B1125|オーケアノス (の物語) - 非攻撃的な, 友好的または中立の活動と関係
91B1126|オーケアノス (の物語) - 苦悩, 不運
91B11268|オーケアノス (の物語) - 死
91B11269|オーケアノス (の物語) - 神格化
91B1127|オーケアノスの特定の局面, 寓意的な局面; 守護者としてのオーケアノス
91B11278|オーケアノスの凱旋
91B11279|オーケアノスの特定の局面, 寓意的な局面; 守護者としてのオーケアノス - 尊敬, 崇拝
91B1128|オーケアノス (の物語) - 象徴
91B1129|オーケアノス (の物語) - 子孫, 仲間(たち), お供 etc.
91B113|コイオス
91B114|クリオス
91B115|ハイペリオン, 太陽のタイタン
91B116|イーアペトゥス
91B12|女性のタイタン
91B121|レアー
91B122|テーテュース
91B123|フェーべ
91B124|テイアー
91B125|テミス
91B126|ムネーモシュネー
91B13|タイタンの子供
91B131|アストライオス (の物語)
91B1311|アストライオス (の物語) - 幼少期, 若い盛り
91B13111|アストライオス (の物語) - 誕生
91B13112|アストライオス (の物語) - 幼年期, 育成
91B1312|アストライオスの情事
91B13121|アウロラとアストライオス, アウロラはアストライオスに風と星を運ぶ
