0|抽象，非具象芸術
1|宗教と魔術
10|(象徴的な) 表現 ~ (広義での) 創造, 宇宙, 宇宙論, 全世界, 生命
11|キリスト教
11A|神性, (一般的な) 神~ キリスト教
11A1|創造者としての神
11A11|(コンパスを用いて) 宇宙を測る神
11A2|神性
11A21|神性，'Divinità' （リーパ） 
11A22|神性 ~ 象徴
11A221|神の完全さを象徴する
11A23|神の完全性
11A3|天罰
11A31|Flagello di Dio' (リーパ)
11B|三位一体, 'Trinitas coelestis'; 父, 子, 聖霊 〜 キリスト教
11B1|三つの象徴記号によって表現される三位一体
11B11|三位一体の象徴記号 〜 円形 と/あるいは 三角形の、形態または構成
11B111|三つの同心円 〜 三位一体
11B112|組み合わされた三つの円 〜 三位一体
11B113|眼または神聖四文字を伴う、(円の中に組み込まれた)三角形 〜 三位一体
11B114|円または三角形の中に幾何学的に配置された動物三匹 ~ 三位一体
11B115|円状に配置された走る人体3体 ~ 三位一体
11B12|三つの頭をもった人間として表される三位一体
11B121|三頭体, 三個の頭または顔が融合した姿のみ (~ 三位一体)
11B13|三つの頭をもった動物として表される三位一体
11B14|その他三部構成により表される三位一体
11B2|神、キリスト、聖霊が物や動物として表現された三位一体
11B21|三位一体の表現: 手 (父なる神), 子羊 (息子であるキリスト) ,鳩(聖霊)
11B22|三位一体の表現: 手, 十字架, 鳩
11B23|三位一体の表現: 手, 聖杯, 鳩
11B3|3つの内いずれかまたはすべてが人間の姿で表された三位一体
11B31|3人の人物として表された三位一体
11B311|複数の同一人物として表された三位一体
11B312|磔にされたキリストを抱える父なる神と聖霊 (~ 三位一体)
11B32|父なる神とキリストが人として、聖霊が鳩として表された三位一体
11B321|幼いキリスト（インマヌエル）を膝に抱えて座す父なる神
11B322|父なる神と玉座のキリスト
11B3221|父なる神とキリストが同一人物として表された三位一体
11B3222|傷を見せるキリスト
11B323|磔刑のまたは死せるキリストを抱える父なる神
11B3231|十字架を抱える父なる神 'Gnadenstuhl', 慈悲の席, 恩寵の玉座
11B3232|キリストの身体を抱えた、立っている、あるいは座っている父なる神
11B33|三位一体の表象
11B331|三位一体の表象: 人間 (父), 子羊 (子), 鳩 (聖霊)
11B332|三位一体の表象: 人間 (父), 獅子 (子), 鳩 (聖霊)
11B333|三位一体の表象: 象徴記号 (父), 人間 (子), 鳩 (聖霊)
11B4|Ratschluss der Erlösung, Prolog im Himmel; 贖罪の神慮
11B41|救済の天命, 寓話的存在の現れ, e.g. 正義, 慈悲, 平和と真実 (「和解の美徳」)
11B42|ガブリエルの派遣 ~ '救済の助言'
11B43|ガブリエルの帰還 ~ '救済の助言'
11B44|キリストの派遣 ~ '救済の助言'
11B45|キリストの帰還~ '救済の助言'
11B5|三位一体の外延
11B51|四位一体 (i.e. 聖母マリアと伴う三位一体)
11B52|五位一体
11C|父なる神
11C1|父なる神の象徴記号
11C11|神の眼, 三角形の中に描かれた眼 〜 父なる神の象徴記号
11C12|手, 'Dextera Dei' 〜 父なる神の象徴記号
11C13|(ローマン体、またはヘブライ文字で記された) 神聖四文字  〜 父なる神の象徴記号
11C14|火(の柱) 〜 父なる神の象徴記号
11C15|光(線) 〜 父なる神の象徴記号
11C16|アルファとオメガ 〜 父なる神の象徴記号
11C2|一般的に、冠か三重冠、あるいは笏、および/または地球儀を伴う、人間として描かれる父なる神
11C21|(おそらくキリストに似ている)若い、あるいは大人の男性として描かれる父なる神
11C211|一般的に、笏および/または地球儀を伴う、玉座に坐した父なる神
11C22|ユーピテルの姿の父あるいは成人の神
11C221|王座に座る(ユーピテルの姿の)父なる神(通常、王笏や球体を手にもつ)
11C23|老いて髭を生やした父なる神、通常、王冠や頭飾り、王笏や球体とともに
11C231|王座に座る(老いて髭を生やした)父なる神、通常、王冠や頭飾り、王笏や球体とともに
11C3|神の右手に座するキリスト
11C31|キリストを冠する神
11C32|キリストとマリアを同時に冠する神
11C4|父なる神と仲裁するキリストとマリア
11C41|父なる神と仲裁するキリスト
11C5|父なる神 ~ その他の表現
11C51|太陽と月の間の父なる神
11D|キリスト
11D1|キリストの象徴、予型
11D11|キリストの象徴 ~ 文字、合わせ文字
11D111|キリストの象徴 ~ アルファとオメガ、時として冠、三角形、受難の道具等
11D112|キリストの象徴 ~ クリズモンとその類型
11D113|キリストの象徴 ~ IHS ('Iesus Hominum Salvator')
11D1131|ラバルム、IHSの文字を掲げたローマ帝国の紋章
11D1132|イエスの御名の礼拝
11D114|キリストの象徴 ~ イクトゥス
11D12|キリストの象徴 ~ 十字架
11D121|キリストの象徴としての十字架
11D122|キリストの象徴が記された十字架(子羊など)
11D1221|十字架とキリストの頭または上半身
11D123|特定の形の十字架
11D123(...)|特定の形の十字架 (名前付)
11D123(ANDREW'S CROSS)|特定の形の十字架: 聖アンドレ十字
11D123(ANSATE CROSS)|特定の形の十字架: エジプト十字
11D123(BENEDICTINE CROSS)|特定の形の十字架: ベネディクト十字
11D123(CARAVACA CROSS)|特定の形の十字架: カラバカ十字
11D123(FORKED CROSS)|特定の形の十字架: フォーク十字
11D123(GREEK CROSS)|特定の形の十字架: ギリシャ十字
11D123(LORRAINE CROSS)|特定の形の十字架: ロレーヌ十字
11D123(SWASTIKA)|特定の形の十字架: 鉤十字
11D123(TAU-CROSS)|特定の形の十字架: タウ十字
11D124|十字架への崇拝
11D13|キリストの象徴 (その他)
11D131|キリストの象徴 ~ 動物
11D1311|キリストの象徴 ~ 'Agnus Dei' 十字架またはバナーを持った羊
11D132|キリストの象徴 ~ 植物
11D133|キリストの象徴 ~ 物体
11D1331|ヘトイマシア、キリストのために空けられた王座といのちの書
11D134|キリストの象徴 ~ パンと魚
11D14|キリストの予型、キリストとその予型
11D15|キリストの受肉
11D2|キリスト教 ~ 幼年、少年としてのキリスト
11D21|幼年の(特徴をもつ)キリスト
11D22|幼年のキリスト ~ あらゆる成人のキリスト
11D23|幼年のキリスト ~ 受難、 'Schmerzenskind'
11D231|受難の道具の前で瞑想する幼年のキリスト
11D232|受難の道具に囲まれた幼年のキリスト
11D233|受難の道具を持つ幼年のキリスト
11D234|五つの傷を示す幼年のキリスト
11D235|茨または棘のある枝の冠を身に着けた幼年のキリスト
11D236|十字架を運ぶ幼年のキリスト
11D237|十字架の前で跪く幼年のキリスト
11D238|十字架で眠る幼年のキリスト
11D24|聖体の象徴としての幼年のキリスト
11D241|聖杯の中あるいは上の幼年のキリスト
11D2411|メリスモス ~ 聖体の象徴としての幼年のキリスト
11D242|幼年のキリストと神秘の粉挽き
11D25|幼年のキリストとその他人物
11D26|幼年としてのキリスト
11D261|キリスト、インマヌエル
11D3|成年としてのキリスト
11D31|キリストの肖像
11D311|エデッサのアブガル王のためにキリスト自身が顔を押し付けて作ったともされる肖像 マンディリオン(聖顔布)
11D3111|アブガル王の使者にマンディリオン(聖顔布)を手渡すキリスト
11D3112|マンディリオン(聖顔布)がエデッサにもたらされる
11D312|ウェラ・イコン、聖顔布、ヴェロニカの肖像
11D3121|ヴェロニカにより持ち上げられるウェラ・イコン
11D3122|天使が持つ「ウェラ・イコン」
11D3123|ペテロとパウロが持つ「ウェラ・イコン」
11D3124|福音書記者の四つの表象が持つ「ウェラ・イコン」
11D313|レントゥルス書簡に基づくキリストの「肖像」
11D314|「ヴォルト・サント」, e.g. (おそらくニコデモによって彫られた) ルッカのヴォルト・サント
11D315|聖ルカによって描かれたキリストの肖像画
11D316|長血が治癒した女の奉納物
11D317|屍衣の上のキリストの(全身)像, 「聖骸布」
11D318|(その他の) キリストの「肖像画」, e.g. 横顔肖像画
11D32|大人のキリスト(同伴者なし)の、特定の類型
11D321|「マイエスタス・ドミニ」: 虹あるいは球体の上に坐し、テトラモルフを伴う、マンドルラを帯びたキリスト
11D322|玉座に坐したキリスト
11D3221|「パントクラトール」, 演説する、あるいは祝福の身振りをする、書物を手にしたキリスト(の胸像)
11D3222|「王であるキリスト」
11D3223|（天上の）審判者のキリスト
11D323|「ロゴス」・キリスト, 受肉した御言葉
