2|自然
20|自然' (寓意的な人物像または場面; または多数の乳房を持つエフェソスのディアナとして); '自然' (リーパ)
21|4大元素, そしてエーテル, 5大元素
210|諸元素', 'エンペドクレスによる諸元素' (リーパ)
21A|空気 (4大元素のひとつ)
21A0|Aria', 'Carro dell'aria' (リーパ)
21A1|空気の精霊, シルフ
21B|土 (4大元素のひとつ)
21B0|Terra', 'Carro della terra' (リーパ)
21B1|土の精霊, ノーム, トロール
21C|火 (4大元素のひとつ)
21C0|Fuoco', 'Carro del fuoco' (リーパ)
21D|水 (4大元素のひとつ)
21D0|Acqua', 'Carro dell'acqua' (リーパ)
21D1|水の精霊, ニックス, ウンディーネ
21D2|氷 ~ 水の状態
21D3|蒸気
21E| '第5の元素' としてのエーテル
22|自然現象
22A|物質
22A0|物質 (寓意的表現)
22A1|化学物質
22A1(...)|化学物質 (名称 を伴う)
22A2|化学現象
22A21|化学反応
22A3|物理現象
22A31|物質の状態
22A311|固体 (物質の状態)
22A312|液体 (物質の状態)
22A3121|凝縮
22A31211|飛行機雲
22A313|ガス (物質の状態)
22B|電気と磁気
22B1|電気現象
22B11|閃光 ~ 電気
22B2|磁気現象
22B21|磁石
22B22|磁力
22B221|引力 ~ 磁力
22B222|斥力 ~ 磁力
22C|光
22C1|自然光
22C11|自然光線
22C2|人工光
22C21|人工光線
22C3|超自然光
22C31|人や物から発せられる輝き
22C311|後光, 光輪 ~ 人や物から発せられる輝き
22C3111|十字の後光
22C3112|広場または菱形の後光
22C3113|星型の後光
22C3114|後光としての光線
22C3115|後光としての (金の) 糸
22C3116|後光, 光輪のその他の型
22C312|マンドルラ
22C3121|楕円形 または アーモンド形のマンドルラ
22C3122|円形マンドルラ
22C32|天から輝く光
22C4|色, 顔料と塗料
22C4(...)|色, 顔料と塗料 (名称 を伴う)
22C4(BLACK)|色, 顔料と塗料: 黒色
22C4(BLUE)|色, 顔料と塗料: 青色
22C4(BROWN)|色, 顔料と塗料: 茶色
22C4(GOLD)|色, 顔料と塗料: 金色
22C4(GREEN)|色, 顔料と塗料: 緑色
22C4(PURPLE)|色, 顔料と塗料: 紫色
22C4(RED)|色, 顔料と塗料: 赤色
22C4(WHITE)|色, 顔料と塗料: 白色
22C4(YELLOW)|色, 顔料と塗料: 黄色
22C5|反射 (概して光の)
22C8|影
22C81|物体の影
22C9|闇
22C90|暗闇 (Buio)' (リーパ)
22C91|薄明かり
22D|音
22D1|大きな音, 騒音
22D11|調和のとれた音, 調和, 協和音
22D110|調和 (Armonia)' (リーパ)
22D12|不調和な音, 不協和音
22D2|弱音
22D3|音の壁
22D4|反響
22D9|静寂
22E|温度
22E1|熱
22E11|輝く (熱)
22E12|燃える
22E13|放射する (熱)
22E2|寒さ
22E21|凍る
22E22|絶対零度
22E3|温度尺度
22E31|華氏 (温度尺度)
22E32|レ氏温度 (温度尺度)
22E33|セ氏温度 (温度尺度)
22E34|他の温度尺度
22E34(...)|他の温度尺度 (名称 を伴う)
22E4|温度計
23|時間
23A|時と永遠の寓意
23A1|時の翁, 翼と大鎌を伴う男
23A11|その他の時の寓意, 例. '時 (Tempo)' (リーパ)
23A2|永遠, 'Aeternitas'; 'Eternità','Eternità o Perpetuità' (リーパ)
23A21|ウロボロス
23A3|過去, 現在そして未来
23A31|過去
23A32|現在
23A33|未来
23A4|時間の影響の寓意的表現
