4|社会, 文明, 文化
41|日常生活の物質的側面
41A|住居
41A1|市民建築; 大建造物; 居住施設
41A10|Edifitio overo un sito' (リーパ)
41A11|宮殿
41A111|ホテル, すなわち 市内の小さい豪華な建物
41A12|城
41A121|市内の要塞化された家
41A13|大建造物 例: 公共の建物, デパート
41A14|都市住宅
41A141|通常の家または家並み
41A142|商店と結合した家
41A143|市内の戸建て
41A144|平屋, アパート
41A15|摩天楼
41A16|農村住居, 例: カントリー・ハウス, ヴィラ, コテージ
41A161|カントリー・ハウス
41A162|ヴィラ
41A163|コテージ
41A17|農場 (農舎)
41A171|納屋
41A18|小屋, キャビン, ロッジ
41A181|丸太小屋
41A182|インディアン・ロッジ
41A1821|ウィグワム
41A19|他の住居のタイプ
41A191|テント
41A1911|テントキャンプ
41A1912|ティピー
41A192|キャラバン (トレーラー)
41A1921|キャラバンキャンプ
41A1922|トレーラー
41A193|ホウスボート
41A194|湖上住居, 杭上住居
41A1941|地面から離れて立つその他の居住施設
41A195|かまくら, イグルー
41A196|穴居生活
41A2|屋内の
41A21|玄関, ホール
41A211|廊下
41A2111|回廊 (広々とした廊下)
41A22|共同部屋
41A221|リビングルーム, 客間, 居間
41A222|応接間, 'サロン (サロン)'
41A2221|婦人の私室
41A223|ダイニングルーム
41A23|寝室
41A24|浴室
41A241|浴室設備
41A2411|浴槽
41A2412|シャワー
41A2413|ビデ
41A2414|備え付け洗面器
41A2415|水差しと洗面器; 洗面器
41A25|他の部屋
41A251|書斎; 'studiolo'; 図書室
41A252|礼拝堂 (屋内の)
41A253|サンポーチ, サンルーム, ガラス窓のベランダ
41A2531|冬園, 温室
41A254|衣装ダンス
41A2541|リネン室
41A255|屋根裏部屋, ロフト
41A256|収納場所
41A3|(家や建物の) 部分
41A31|(家や建物の) ファサード 
41A311|ファサード
41A3111|ファサードの石板
41A312|背面ファサード
41A313|中庭のファサード
41A32|扉
41A321|ドアを開ける
41A3211|開いたドア
41A3212|分割された扉, 上部の開いた扉
41A3213|回転ドア
41A322|ドアを閉める、閉じる
41A3221|閉じたドア
41A323|記念碑的なドア, 玄関, 'aediculum'
41A324|ドアの金属細工品
41A3241|ドアノッカー, 玄関の呼び鈴
41A3242|ドア・ハンドル, ドアノブ
41A325|敷居
41A3251|かまち, 柱, わき柱
41A3252|ドアの付属品 例: 靴の泥落とし, ブラシ, ドアマット
41A326|郵便箱 ~ 扉
41A327|門番, 守衛 (無人の)
41A328|錠 ~ 扉
41A3281|鍵
41A32811|マスターキー, 'passe-partout', 合鍵
41A3282|掛け金
41A3283|かんぬき
41A3284|南京錠
41A33|窓
41A331|窓を開ける
41A3311|開いた窓
41A332|窓を閉める
41A3321|閉じた窓
41A333|雨戸
41A3331|外部の雨戸
41A3332|内部の雨戸
41A334|日よけ, サンシェード, 雨覆い
41A335|窓側の席
41A336|(開いた) 窓辺の人物像
41A3361|(開いた) 窓辺の人物像, 外部から見られた場面
41A3362|(開いた) 窓辺の人物像, 内部から見られた場面
41A337|窓を通した光景
41A3371|窓を通した光景 , 外部から見られた場面
41A3372|窓を通した光景 , 内部から見られた場面
41A34|階段
41A341|階段の吹き抜け
41A3411|エスカレーター
41A342|エレベーター, リフト
41A343|梯子
41A344|火災避難装置
41A345|裏口の階段
41A35|正面の階段
41A351|テラス
41A352|天蓋 (入り口の上の)
41A36|屋根 (家や建物の)
41A361|塔 (家や建物の)
41A3611|尖塔 (家や建物の塔の)
41A362|屋根葺
41A363|装飾された破風
41A37|地下室, 地下貯蔵室
41A38|バルコニー
41A381|回廊, ベランダ, ポーチ
41A382|張り出し窓
41A39|配管と配線
41A391|給排水, 配管 (家や建物の)
41A3911|井戸
41A3912|ポンプ
41A3913|蛇口, 飲み口
41A3914|洗面所, 水洗便所
41A3915|噴水 (屋内)
41A3916|シンク, 洗面器
41A3917|排水システム
41A39171|雨樋
41A39172|ガーゴイル
41A392|ガス導管
41A393|電気設備, 電気器具 例: ソケット, プラグ, 照明スイッチ, ケーブル, ワイヤー
41A4|装飾 (屋内の)
41A41|壁装材
41A411|壁紙
41A412|パネル用材
41A413|タペストリー
41A414|コードバン, コードバン革,  オランダ語: goudleer
