5|抽象的な考えと概念
51|一般論
51A|存在とそのあり方
51A1|存在
51A11|宇宙
51A2|物質性
51A3|具体性
51A4|存在
51A5|本質的な性質, 本質, 考え (プラトンによる)
51A51|内面, 内面性
51A6|基礎性, 最も単純である性質
51A7|完璧, 完全であること
51A8|知られていること, 既知の事柄
51AA|存在とそのあり方 (対立する概念)
51AA1|非存在
51AA2|非物質性
51AA3|抽象性, 非実在性
51AA4|非存在, 欠如
51AA5|状況, 偶然
51AA51|外面, 外面性
51AA6|構成
51AA61|総合
51AA7|不完全, 不完全性
51AA8|未知のこと, 未知の事柄
51B|ある種の関係
51B1|関係
51B2|類似点, 類似
51B21|同化
51B3|同等であること, 平等
51B4|統一性
51B5|自己同一性
51B6|模倣
51B61|反復
51B7|正常さ
51BB|ある種の関係 (対立する概念)
51BB1|完全性, 非関連性
51BB2|不同性, 似ていないこと
51BB3|不等, 不平等, 相違
51BB4|多型性, 多様性
51BB5|不一致
51BB51|相反する感情
51BB6|独自性
51BB61|単一性, 独特さ
51BB7|非凡さ
51C|因果関係
51C1|原因
51C2|必要性, 必然性
51CC|因果関係 (対立する概念)
51CC1|影響, 結果
51CC11|楽観的な結果, よい結果
51CC12|悲観的な結果, 悪い結果
51CC13|副作用, 副次的な結果
51CC19|結果なし, 結果の欠如, 無効化, 無益
51CC2|偶然, でたらめ
51D|秩序と無秩序
51D1|秩序, 配列, 構造
51D2|調和, 規則性
51D21|律動的均整
51D3|対称性
51D4|美
51D41|優美, 魅力
51D42|壮麗さ
51D43|崇高
51D5|均衡, 釣り合い
51DD|秩序と無秩序 (対立する概念)
51DD1|無秩序, 混乱, 錯乱, 崩壊, 混沌
51DD11|汚染
51DD2|不調和, 不規則
51DD3|非対称
51DD4|醜さ
51DD5|不均衡, 不安定
51E|階層制の秩序
51E1|独立, 自治
51E11|自由, 独立
51E12|解放
51E2|優越
51E3|服従
51E4|一貫性
51EE|階層制の秩序 (対立する概念)
51EE1|依存
51EE11|規制, 制限
51EE12|抑制
51EE2|劣等
51EE3|不一致
51EE4|支離滅裂
51F|一時的な関係
51F1|優先されること
51F2|連続性
51F3|優先事項, 優位
51F4|同時性
51F5|始まり
51F51|新しさ
51F511|未熟
51F52|早さ
51F521|早熟
51F522|予期
51F6|頻度
51F7|繰り返しの規則性
51F71|周期性
51F711|循環
51F8|中央
51FF|一時的な関係 (対立する概念)
51FF1|続いて起こること
51FF2|非連続性
51FF3|時間的に後にあること
51FF4|非同時性
51FF5|終わり
51FF51|古さ
51FF511|成熟
51FF52|遅さ
51FF521|遅延
51FF6|稀なこと
51FF7|繰り返しの不規則性
51G|問題のいくつかの特徴
51G1|大きさ, 規模
51G2|重さ
51G3|丈夫さ
51G4|かたさ
51G5|可視度
51G6|滑らかさ
51GG|問題のいくつかの特徴 (対立する概念)
51GG1|少ないこと, 小さいこと
51GG2|軽さ
51GG3|脆さ
51GG4|柔らかさ
51GG5|不可視度
51GG6|粗さ
51H|量と程度
51H1|全体性, 全て
51H11|非分割性
51H2|普遍性
51H3|大勢
51H4|十分
51H41|十分な状態
51H42|大量
51H421|余分
51H43|余剰性
51H5|発展, 増加
51HH|量と程度 (対立する概念)
51HH1|部分, 区分, 側面
51HH11|分割できること
51HH2|特殊性, 個性
51HH3|不足, 少なさ
51HH4|欠乏, 不足
51HH41|不足
51HH5|減少
51I|空間
51I1|限定的な, 区切られた空間
51I2|満ちていること
51I3|場所, 位置
51I4|近いこと
51I5|真ん中
51I6|高い, 頂上
51II|空間 (対立する概念)
51II1|非限定的な空間
51II11|拡大
51II2|空虚さ, 虚空
51II3|混乱, 強制移動
51II4|遠さ
51II5|孤立
51II6|低い, 一番下
51K|変化の側面
51K1|変化
51K11|改善
51K2|変わりやすさ
51K3|交替
51K31|変更
51K4|進化
51K41|革命
51K5|反応
51KK|変化の側面 (対立する概念)
51KK1|永続性
51KK11|保存
51KK2|不変
51KK3|交換, やりとり
51L|動きの型
51L1|動き
51L2|規則的な動き
51L3|方向, 方針
51L4|進歩, 前進
51L41|接近
51L42|どこかへの動き, 引力
51L5|上昇
51L51|復活
51LL|動きの型 (対立する概念)
51LL1|静止, 不動性, 停滞
51LL2|不規則な動き
51LL3|脱線, 逸脱
51LL4|退化, 後退
51LL41|後退
51LL42|どこかからの動き, 斥力, 反発, 押すこと
51LL5|下降
51M|動きの性質
51M1|速い動き
51M11|すばやさ, 速さ
51M12|迅速
51MM|動きの性質 (対立する概念)
51MM1|遅い動き
51MM11|遅さ
51MM12|長引く
52|考えの理由づけと構造
52A|知性と知的能力
52A1|知性, 知能
52A11|注意力, 集中力
52A12|好奇心, 好奇心の強さ, 知識欲
52A13|才能
52A14|人工知能
52A2|用心, 熟考
52A21|方法
52A22|機転
52A23|油断のなさ, 警戒
52A24|用心
52A3|記憶
52A4|想像力
52A41|考え, 概念
52A42|発明, 独創力があること
52A43|創意
52A44|幻想, 奇想
52A5|知識
52A51|知恵
52A511|愚者の知恵
52A52|判断力, 識別力
52A53|自己理解
52A54|従順さ
52A55|鋭い感受性, 判断力, 明快さ, 機知
52A6|真実
52A7|全知
52AA|知性と知的能力 (対立する概念)
52AA1|愚行, 知性の欠乏
52AA11|才能の不足
52AA2|忘れっぽさ
52AA21|思慮不足, 軽率, 向こうみずさ
52AA22|機転のきかなさ
52AA23|不注意
52AA24|迂闊さ
52AA3|忘れっぽさ
52AA31|忘却
52AA4|想像力の欠如
52AA5|無知
52AA51|愚かさ
52AA511|バカバカしさ
52AA52|誤った判断
52AA521|幻想, まぼろし
52AA522|思い違い, 間違った考え
52AA53|自己理解の欠如
52AA54|扱いにくさ
52AA55|不躾な態度, 愚鈍さ, 退屈さ
52AA551|心の狭さ
52AA552|知的無分別
52AA553|先入観, 偏見
52AA6|欺瞞
52B|論理的思考
52B1|思考, 考え, 考察
52B11|熟考
