0|Abstracte, non-representatieve kunst
1|Religie en Magie
10|(symbolische) representaties ~ creatie, kosmos, kosmogonie, universum, en leven (in de breedste zin)
11|Christelijke religie
11A|godheid, God (in het algemeen) ~ christelijke religie
11A1|God de Schepper
11A11|God die het Universum meet (met passer)
11A2|goddelijke natuur
11A21|divinity, 'Divinità' (Ripa)
11A22|symbolen ~ Goddelijke Natuur
11A221|cirkel die Gods perfectie symboliseert
11A23|Gods volmaaktheden
11A3|Toorn van God
11A31|'Flagello di Dio' (Ripa)
11A4|Gods wil
11B|de Heilige Drie-eenheid, 'Trinitas coelestis'; Vader, Zoon en Heilige Geest ~ Christelijke religie
11B1|Drie-eenheid vertegenwoordigd door drievoudige symbolen
11B11|Symbolen van de Drie-eenheid ~ cirkelvormige en/of driehoekige vormen of opstellingen
11B111|drie concentrische cirkels ~ Trinity
11B112|drie in elkaar grijpende cirkels ~ Trinity
11B113|driehoek (binnen cirkel), met oog of tetragram ~ Drie-eenheid
11B114|drie dieren, geometrisch gerangschikt binnen een cirkel of driehoek ~ Drie-eenheid
11B115|drie rennende mannen, gerangschikt in cirkelvorm ~ Trinity
11B12|Drie-eenheid voorgesteld als een persoon met drie hoofden
11B121|Tricephalus, drie samengevoegde hoofden of gezichten alleen (~ Drie-eenheid)
11B13|Drie dieren delen één hoofd en vertegenwoordigen de Drie-eenheid.
11B14|andere drievoudige symbolen van de Drie-eenheid
11B2|Drie-eenheid waarin elk van de Personen (God, Christus, Heilige Geest) wordt vertegenwoordigd door een object of door een dier
11B21|representatie van de Drie-eenheid: hand (Vader), lam (Zoon) en duif (Heilige Geest)
11B22|representatie van de Drie-eenheid: hand, kruis en duif
11B23|representatie van de Drie-eenheid: hand, kelk en duif
11B3|Heilige Drie-eenheid waarin één, twee of alle figuren in menselijke vorm worden voorgesteld
11B31|Drie personen als Drie-eenheid
11B311|Drie-eenheid als drie identieke personen
11B312|Vader en Heilige Geest die de gekruisigde Christus vasthouden (~ Drie-eenheid)
11B32|Drie-eenheid waarin God de Vader en Christus worden voorgesteld als personen, de Heilige Geest als duif
11B321|God de Vader zit, terwijl hij de jeugdige Christus (Emmanuel) op zijn schoot houdt.
11B322|God de Vader en Christus op de troon
11B3221|God de Vader en Christus als identieke personen
11B3222|Christus die zijn wonden toont
11B323|God de Vader die de gekruisigde of dode Christus vasthoudt
11B3231|God de Vader die het kruisbeeld vasthoudt, 'Gnadenstuhl', Genadestoel, Troon van Genade
11B3232|God de Vader staand of zittend, het lichaam van Christus vasthoudend, 'Pitié-de-Notre-Seigneur', 'Not Gottes'
11B33|representaties van de Drie-eenheid
11B331|representatie van de Drie-eenheid: persoon (Vader), lam (Zoon) en duif (Heilige Geest)
11B332|representatie van de Drie-eenheid: persoon (Vader), leeuw (Zoon) en duif (Heilige Geest)
11B333|weergave van de Drie-eenheid: symbool (Vader), persoon (Zoon), duif (Heilige Geest)
11B4|Ratschluss der Erlösung, Prolog im Himmel; Goddelijk besluit van Verlossing
11B41|Goddelijke besluit van Verlossing, allegorische figuren aanwezig, bijvoorbeeld Gerechtigheid, Genade, Vrede en Waarheid (de Deugden verzoend)
11B42|verzending van Gabriel ~ 'Ratschluss der Erlösung'
11B43|terugkeer van Gabriel ~ 'Ratschluss der Erlösung'
11B44|verzending van de Zoon ~ 'Ratschluss der Erlösung'
11B45|terugkeer van de Zoon ~ 'Ratschluss der Erlösung'
11B5|uitbreidingen van de Heilige Drie-eenheid
11B51|Vierheid (d.w.z. Drie-eenheid met Maria)
11B52|Quinity
11C|God de Vader
11C1|symbolen van God de Vader
11C11|De alziende oog, driehoek met oog ~ symbool van God de Vader
11C12|hand, 'Dextera Dei' ~ symbool van God de Vader
11C13|tetragram (in Romeins of Hebreeuws schrift) ~ symbool van God de Vader
11C14|(pijler van) vuur ~ symbool van God de Vader
11C15|(stralen van) licht ~ symbool van God de Vader
11C16|Alpha en omega ~ symbool van God de Vader
11C2|God de Vader wordt afgebeeld als mens, meestal met kroon of tiara of scepter en/of globe.
11C21|God de Vader als jonge of volwassen man (misschien lijkend op Christus)
11C211|God de Vader op de troon, meestal met scepter en/of globe
11C22|God de Vader als jonge of volwassen man die lijkt op Jupiter
11C221|God de Vader (gelijkend op Jupiter) gezeten op de troon, meestal met scepter en/of globe
11C23|God de Vader als bebaarde oude man, meestal met kroon of tiara of scepter en/of globe
11C231|God de Vader (als bebaarde oude man) gezeten op een troon, meestal met kroon of tiara, en met scepter en/of globe
11C3|Christus zittend aan de rechterhand van God
11C31|God kroont Christus
11C32|God tegelijkertijd kroont Christus en Maria
11C4|'Scala Salutis', Christus en Maria bemiddelen bij God de Vader
11C41|Christus die bemiddelt bij God de Vader
11C5|andere voorstellingen ~ God de Vader
11C51|God de Vader tussen de zon en de maan
11D|Christus
11D1|Symbolen en prefiguraties van Christus
11D11|letters en monogrammen ~ symbolen van Christus
11D111|alfa en omega, soms met krans, driehoek, instrumenten van het lijden, enz. ~ symbool van Christus
11D112|Chrismon en afgeleide vormen ~ symbool van Christus
11D113|IHS ('Iesus Hominum Salvator') ~ symbool van Christus
11D1131|Labarum, d.w.z. keizerlijke standaard met het christogram IHS
11D1132|Verering van de naam van Jezus
11D114|'Ichthys' ~ symbool van Christus
11D12|de kruis ~ symbolen van Christus
11D121|kruis als symbool van Christus
11D122|kruis met symbool van Christus erop, bijv. lam
11D1221|kruis met het hoofd of de buste van Christus
11D123|Specifieke vormen van het kruis
11D123(...)|Specifieke vormen van het kruis (met NAAM)
11D123(ANDREW'S CROSS)|Specifieke vormen van het kruis: Andreaskruis
11D123(ANSATE CROSS)|Specifieke vormen van het kruis: ansate kruis
11D123(BENEDICTINE CROSS)|Specifieke vormen van het kruis: Benedictijns kruis
11D123(CARAVACA CROSS)|Specifieke vormen van het kruis: Caravaca kruis
11D123(FORKED CROSS)|Specifieke vormen van het kruis: gevorkt kruis
11D123(GREEK CROSS)|specifieke vormen van het kruis: Grieks kruis
11D123(LORRAINE CROSS)|specifieke vormen van het kruis: Lorraine kruis
11D123(SWASTIKA)|Specifieke vormen van het kruis: swastika
11D123(TAU-CROSS)|Specifieke vormen van het kruis: Tau-kruis
11D124|vereren van het kruis
11D13|(andere) symbolen van Christus
11D131|Symbolen van Christus ~ dieren
11D1311|lam dragend kruis of banier, 'Agnus Dei' ~ symbool van Christus
11D1312|symbolen van Christus ~ vogels
11D13121|duif als symbool van Christus
11D13122|Arend als symbool van Christus
11D13123|pauw als symbool van Christus
11D13124|pelikaan als symbool van Christus
11D1313|Symbolen van Christus ~ zoogdieren
11D13131|hert als symbool van Christus
11D13132|dolfijn als symbool van Christus
11D13133|Haas als symbool van Christus
11D13134|Leeuw als symbool van Christus
11D1314|symbolen van Christus ~ insecten
11D13141|Scarabaeus als symbool van Christus
11D1315|Symbolen van Christus ~ fantastische dieren
11D13151|Griffin als symbool van Christus
11D13152|feniks als symbool van Christus
11D13153|Eenhoorn als symbool van Christus
11D132|Symbolen van Christus ~ planten
11D133|symbolen van Christus ~ objecten
11D1331|'Etimasia', lege troon met het boek des levens, klaargemaakt voor Christus
11D134|Brood en vis ~ symbolen van Christus
11D14|voorspellingen van Christus, Christus en zijn voorspellingen
11D15|de incarnatie ~ Christus
11D2|Christus als kind of jongere (in het algemeen) ~ Christelijke religie
11D21|Christuskind (met attributen)
11D22|Christuskind ~ soorten volwassen Christus
