0|Abstracte, non-figuratieve Kunst
1|Religie en magie
10|(symbolische) weergaven: schepping , kosmos, kosmogonie, universum en leven (in de breedste zin)
11|Christelijke religie
11A|Godheid, God (algemeen) ~ Christelijke religie
11A1|God de Schepper
11A11|God die het heelal meet (met kompassen)
11A2|Goddelijke natuur
11A21|Goddelijkheid, 'Divinità' (Ripa)
11A22|symbolen ~ Goddelijke natuur
11A221|cirkel die Gods volmaaktheid symboliseert
11A23|Gods volmaaktheden
11A3|Gods toorn
11A31|'Flagello di Dio' (Ripa)
11A4|Gods wil
11B|de Heilige Drie-eenheid, 'Trinitas coelestis'; Vader, Zoon en Heilige Geest ~ christelijke godsdienst
11B1|Drie-eenheid voorgesteld door driedelige symbolen
11B11|symbolen van de Drie-eenheid ~ cirkelvormige en/of driehoekige vormen of indelingen
11B111|drie concentrische cirkels ~ Drie-eenheid
11B112|drie samenhangende cirkels ~ Drie-eenheid
11B113|driehoek (binnen cirkel), met oog of tetragram ~ Drie-eenheid
11B114|drie dieren, geometrisch ingedeeld binnen een cirkel of driehoek ~ Drie-eenheid
11B115|drie lopende mannen, in cirkelvorm ~ Drie-eenheid
11B12|Drie-eenheid voorgesteld als een persoon met drie hoofden
11B121|'Tricephalus', drie samengesmolten hoofden of enkel gezichten (~ Drie-eenheid)
11B13|Drie-eenheid voorgesteld door drie dieren die één hoofd delen
11B14|andere driedelige symbolen van de Drie-eenheid
11B2|Drie-eenheid waarin elk van de Personen (God, Christus, Heilige Geest) wordt voorgesteld door een voorwerp of door een dier
11B21|weergave van de Drie-eenheid: hand (Vader), lam (Zoon) en duif (Heilige Geest)
11B22|weergave van de Drie-eenheid: hand, kruis en duif
11B23|weergave van de Drie-eenheid: hand, kelk en duif
11B3|Heilige Drie-eenheid waarin één, twee of alle figuren in menselijke gedaante zijn afgebeeld
11B31|Drie-eenheid als drie personen
11B311|Drie-eenheid als drie identieke personen
11B312|Vader en Heilige Geest die de gekruisigde Christus vasthouden (~ Drie-eenheid)
11B32|Drie-eenheid waarin God de Vader en Christus als personen worden voorgesteld, de Heilige Geest als duif
11B321|God de Vader zittend met de jeugdige Christus (Emmanuel) op zijn schoot
11B322|God de Vader en Christus op een troon
11B3221|God de Vader en Christus als identieke personen
11B3222|Christus toont zijn wonden
11B323|God de Vader die de gekruisigde of dode Christus vasthoudt
11B3231|God de Vader met het kruisbeeld, 'Gnadenstuhl', barmhartigheidsstoel, troon van genade
11B3232|God de Vader, staand of zittend, die het lichaam van Christus vasthoudt, 'Pitié-de-Notre-Seigneur', 'Not Gottes'.
11B33|weergaven van de Drie-eenheid
11B331|weergave van de Drie-eenheid: persoon (Vader), lam (Zoon) en duif (Heilige Geest)
11B332|weergave van de Drie-eenheid: persoon (Vader), leeuw (Zoon) en duif (Heilige Geest)
11B333|weergave van de Drie-eenheid: symbool (Vader), persoon (Zoon), duif (Heilige Geest)
11B4|'Ratschluss der Erlösung', 'Prolog im Himmel'; Goddelijk verlossingsdecreet
11B41|Goddelijk verlossingsdecreet, allegorische figuren aanwezig, bijv. Rechtvaardigheid, Genade, Vrede en Waarheid (’The Virtues Reconciled')
11B42|Zending van Gabriël ~ 'Ratschluss der Erlösung'.
11B43|terugkeer van Gabriël ~ 'Ratschluss der Erlösung'
11B44|zending van de Zoon ~ 'Ratschluss der Erlösung'
11B45|terugkeer van de Zoon ~ 'Ratschluss der Erlösung'
11B5|uitbreidingen van de Heilige Drie-eenheid
11B51|Kwaterniteit (i.e. Drie-eenheid met Maria)
11B52|Vijf-eenheid
11C|God de Vader
11C1|symbolen van God de Vader
11C11|het alziend oog, driehoek met oog ~ symbool van God de Vader
11C12|hand, 'Dextera Dei' ~ symbool van God de Vader
11C13|tetragram (in Romeins of Hebreeuws schrift) ~ symbool van God de Vader
11C14|(pilaar van) vuur ~ symbool van God de Vader
11C15|(stralen van) licht ~ symbool van God de Vader
11C16|alpha en omega ~ symbool van God de Vader
11C2|God de Vader voorgesteld als mens, meestal met kroon of tiara of scepter en/of wereldbol
11C21|God de Vader als jonge of volwassen man (lijkt misschien op Christus)
11C211|God de Vader op een troon, gewoonlijk met scepter en/of wereldbol
11C22|God de Vader als jonge of volwassen man die op Jupiter lijkt
11C221|God de Vader (gelijkend op Jupiter) op een troon, gewoonlijk met scepter en/of wereldbol
11C23|God de Vader als bebaarde oude man, gewoonlijk met kroon of tiara of scepter en/of wereldbol
11C231|God de Vader (als bebaarde oude man) op een troon, gewoonlijk met kroon of tiara, en met scepter en/of wereldbol
11C3|Christus zittend aan Gods rechterhand
11C31|God die Christus kroont
11C32|God die Christus en Maria tegelijk kroont
11C4|'Scala Salutis', Christus en Maria die voorbede doen bij God de Vader
11C41|hristus bemiddelend bij God de Vader
11C5|andere voorstellingen ~ God de Vader
11C51|God de Vader tussen de zon en de maan
11D|Christus
11D1|Symbolen en prefiguraties van Christus    # symbol
11D1|symbolen en prefiguraties van Christus
11D11|letters en monogrammen ~ symbolen van Christus
11D111|alpha en omega, soms met krans, driehoek, lijdenswerktuigen, etc. ~ symbool van Christus
11D112|Chrismon en afgeleide vormen ~ symbool van Christus
11D113|IHS ('Iesus Hominum Salvator') ~ symbool van Christus
11D1131|labarum, d.w.z. keizerlijke standaard met het christogram IHS
11D1132|aanbidding van de naam van Jezus
11D114|'Ichthys' ~ symbool van Christus
11D12|het kruis ~ symbolen van Christus
11D121|kruis als symbool van Christus
11D122|kruis met symbool van Christus erop, bijv. lam
11D1221|kruis met hoofd of buste van Christus
11D123|specifieke vormen van het kruis
11D123(...)|specifieke vormen van het kruis (met NAAM)
11D123(ANDREASKRUIS)|specifieke vormen van het kruis: andreaskruis
11D123(ANSATAKRUIS)|specifieke vormen van het kruis: ansatakruis and prefigurations of Christ
11D123(BENEDICTINE CROSS)|Specifieke vormen van het kruis: Benedictijns kruis    # specific forms of the cross: Benedictine cross
11D123(CARAVACA CROSS)|Specifieke vormen van het kruis: Caravaca kruis    # specific forms of the cross: Caravaca cross
11D123(FORKED CROSS)|Specifieke vormen van het kruis: gevorkt kruis    # specific forms of the cross: forked cross
11D123(GREEK CROSS)|specifieke vormen van het kruis: Grieks kruis    # specific forms of the cross: Greek cross
11D123(LORRAINE CROSS)|specifieke vormen van het kruis: Lorraine kruis    # specific forms of the cross: Lorraine cross
11D123(SWASTIKA)|Specifieke vormen van het kruis: swastika    # specific forms of the cross: swastika
11D123(TAU-CROSS)|Specifieke vormen van het kruis: Tau-kruis    # specific forms of the cross: Tau-cross
11D11|letters en monogrammen ~ symbolen van Christus    # letters and monograms ~ symbols of Christ
11D111|alfa en omega, soms met krans, driehoek, instrumenten van het lijden, enz. ~ symbool van Christus    # alpha and omega, sometimes with wreath, triangle, instruments of the Passion, etc. ~ symbol of Christ
11D112|Chrismon en afgeleide vormen ~ symbool van Christus    # Chrismon and derived forms ~ symbol of Christ
11D113|IHS ('Iesus Hominum Salvator') ~ symbool van Christus    # IHS ('Iesus Hominum Salvator') ~ symbol of Christ
11D1131|Labarum, d.w.z. keizerlijke standaard met het christogram IHS    # labarum, i.e. imperial standard bearing the christogram IHS
11D1132|Verering van de naam van Jezus    # adoration of the name of Jesus
11D114|'Ichthys' ~ symbool van Christus    # 'Ichthys' ~ symbol of Christ
11D12|de kruis ~ symbolen van Christus    # the cross ~ symbols of Christ
11D121|kruis als symbool van Christus    # cross as symbol of Christ
11D122|kruis met symbool van Christus erop, bijv. lam    # cross with symbol of Christ on it, e.g. lamb
11D1221|kruis met het hoofd of de buste van Christus    # cross with head or bust of Christ
11D123|Specifieke vormen van het kruis    # specific forms of the cross
11D123(...)|Specifieke vormen van het kruis (met NAAM)    # specific forms of the cross (with NAME)
11D123(ANDREW'S CROSS)|Specifieke vormen van het kruis: Andreaskruis    # specific forms of the cross: Andrew's cross
11D123(ANSATE CROSS)|Specifieke vormen van het kruis: ansate kruis    # specific forms of the cross: ansate cross
11D124|vereren van het kruis    # venerating the cross
11D13|(andere) symbolen van Christus    # (other) symbols of Christ
11D131|Symbolen van Christus ~ dieren    # symbols of Christ ~ animals
11D1311|lam dragend kruis of banier, 'Agnus Dei' ~ symbool van Christus    # lamb bearing cross or banner, 'Agnus Dei' ~ symbol of Christ
11D132|Symbolen van Christus ~ planten    # symbols of Christ ~ plants
11D133|symbolen van Christus ~ objecten    # symbols of Christ ~ objects
11D1331|'Etimasia', lege troon met het boek des levens, klaargemaakt voor Christus    # 'Etimasia', empty throne with the book of life, prepared for Christ
11D134|Brood en vis ~ symbolen van Christus    # bread and fish ~ symbols of Christ
11D14|voorspellingen van Christus, Christus en zijn voorspellingen    # prefigurations of Christ, Christ and his prefigurations
11D15|de incarnatie ~ Christus    # the Incarnation ~ Christ
11D2|Christus als kind of jongere (in het algemeen) ~ Christelijke religie    # Christ as child or youth (in general) ~ Christian religion
11D21|Christuskind (met attributen)    # Christ-child (with attributes)
11D22|Christuskind ~ soorten volwassen Christus    # Christ-child ~ types of adult Christ
11D23|Christuskind ~ Passie, 'Schmerzenskind'    # Christ-child ~ Passion, 'Schmerzenskind'
11D231|Kindje Jezus mediteert voor de instrumenten van het Lijden    # Christ-child meditating before the instruments of the Passion
11D232|Christuskind omringd door de instrumenten van het Lijden    # Christ-child surrounded by the instruments of the Passion
11D233|Christuskind draagt de instrumenten van het Lijden    # Christ-child carrying the instruments of the Passion
11D234|Christuskind dat de vijf wonden toont    # Christ-child displaying the five wounds
11D235|Kindje Jezus windt een kroon van doornen, of met doornige takken    # Christ-child winding a crown of thorns, or with thorny twigs
11D236|Kindje Jezus draagt het kruis    # Christ-child carrying the cross
11D237|Kindje Jezus knielend voor het kruis    # Christ-child kneeling before the cross
11D238|Christuskind slapend op het kruis    # Christ-child sleeping on the cross
11D24|Christuskind als eucharistisch symbool    # Christ-child as eucharistic symbol
11D241|Christuskind in of op een kelk    # Christ-child in or on a chalice
11D2411|'Melismos' ~ Christus-kind als eucharistisch symbool    # 'Melismos' ~ Christ-child as eucharistic symbol
11D242|Kindje Jezus in de mystieke molen    # Christ-child in the mystic mill
11D25|Christuskind samen met anderen    # Christ-child together with others
11D26|Christus als jongere    # Christ as youth
11D261|Christus 'Emmanuel'    # Christ 'Emmanuel'
11D3|Christus als volwassene    # Christ as adult
11D31|'portretten' van Christus    # 'portraits' of Christ
11D311|'Mandylion', d.w.z. portret, wellicht gemaakt voor Koning Abgar van Edessa door Christus zelf, door zijn gezicht tegen een doek te drukken    # 'Mandylion', i.e. portrait, perhaps made for King Abgar of Edessa by Christ himself, by pressing his face against a cloth
11D3111|Christus geeft de Mandylion aan de boodschapper van koning Abgar.    # Christ gives the Mandylion to the messenger of King Abgar
