2|Natuur
20|'Natura' (allegorische figuur of scène; of als Diana van Efeze, met vele borsten); 'Natura' (Ripa)
21|de vier elementen, en ether, het vijfde element
210|'Elementi', 'Elementi secondo Empedocle' (Ripa)
21A|lucht (één van de vier elementen)
21A0|'Aria', 'Carro dell'aria' (Ripa)
21A1|geest van de lucht, sylph
21B|aarde (één van de vier elementen)
21B0|'Terra', 'Carro della terra' (Ripa)
21B1|geest van de aarde, kabouter, trol
21C|vuur (één van de vier elementen)
21C0|'Fuoco', 'Carro del fuoco' (Ripa)
21D|water (één van de vier elementen)
21D0|'Acqua', 'Carro dell'acqua' (Ripa)
21D1|geest van water, nix, undine
21D2|ijs ~ toestand van water
21D3|stoom
21E|ether als 'quinta essentia'
22|natuurlijke fenomenen
22A|materie
22A0|Materie (allegorische voorstelling)
22A1|chemische stoffen
22A1(...)|chemische stoffen (met NAAM)
22A2|chemische verschijnselen
22A21|chemische reactie
22A3|fysische verschijnselen
22A31|toestanden van materie
22A311|vast (toestand van materie)
22A312|vloeistof (toestand van materie)
22A3121|condensatie
22A31211|condensatiespoor
22A313|gas (toestand van materie)
22B|elektriciteit en magnetisme
22B1|elektrische verschijnselen
22B11|vonk ~ elektriciteit
22B2|magnetische verschijnselen
22B21|magneet
22B22|magnetische kracht
22B221|aantrekkingskracht, aantrekking ~ magnetische kracht
22B222|afstotende kracht, afstoting ~ magnetische kracht
22C|licht
22C1|natuurlijk licht
22C11|stralen van natuurlijk licht
22C2|kunstmatig licht
22C21|stralen van kunstmatig licht
22C3|bovennatuurlijk licht
22C31|stralendheid die uitgaat van personen of dingen
22C311|nimbus, halo ~ straling die uitgaat van personen of dingen
22C3111|kruis-nimbus
22C3112|vierkante of ruitvormige nimbus
22C3113|sterachtige nimbus
22C3114|stralen als nimbus
22C3115|(gouden) draad als nimbus
22C3116|andere soorten nimbus, halo
22C312|mandorla
22C3121|ovaal of amandelvormige mandorla
22C3122|cirkelvormige mandorla
22C32|licht schijnend uit de hemel
22C4|kleuren, pigmenten en verf
22C4(...)|kleuren, pigmenten en verf (met NAAM)
22C4(BLACK)|kleuren, pigmenten en verf: zwart
22C4(BLUE)|kleuren, pigmenten en verf: blauw
22C4(BROWN)|kleuren, pigmenten en verf: bruin
22C4(GOLD)|kleuren, pigmenten en verf: goud
22C4(GREEN)|kleuren, pigmenten en verf: groen
22C4(PURPLE)|kleuren, pigmenten en verf: paars
22C4(RED)|kleuren, pigmenten en verf: rood
22C4(WHITE)|kleuren, pigmenten en verf: wit
22C4(YELLOW)|kleuren, pigmenten en verf: geel
22C5|reflectie (licht in het algemeen)
22C8|schaduw
22C81|schaduw van een object
22C9|duisternis
22C90|'Buio' (Ripa)
22C91|half-licht
22D|geluid
22D1|hard geluid, lawaai
22D11|harmonieus geluid, harmonie, consonantie
22D110|'Armonia' (Ripa)
22D12|disharmonieus geluid, dissonantie
22D2|zacht geluid
22D3|geluidsbarrière
22D4|echo
22D9|stilte
22E|temperatuur
22E1|hitte
22E11|stralend (warmte)
22E12|brandend
22E13|stralend (warmte)
22E2|koude
22E21|bevriezing
22E22|absolute nulpunt
22E3|temperatuurschalen
22E31|Fahrenheit (temperatuurschaal)
22E32|Réaumur (temperatuurschaal)
