4|Maatschappij, Beschaving, Cultuur
41|materiële aspecten van het dagelijks leven
41A|huisvesting
41A1|burgerlijke architectuur; gebouwen; woningen
41A10|'Edifitio overo un sito' (Ripa)
41A11|paleis
41A111|hotel, d.w.z. klein paleis in stad
41A12|kasteel
41A121|versterkt huis in stad
41A13|gebouw, bijv.: openbaar gebouw, warenhuis
41A14|stedelijke huisvesting
41A141|het gebruikelijke huis of rij huizen
41A142|huis gecombineerd met winkel
41A143|vrijstaand huis in stad
41A144|flatgebouw, appartementencomplex
41A15|wolkenkrabber
41A16|landelijke woningen, bijvoorbeeld landhuis, villa, huisje
41A161|landhuis
41A162|villa
41A163|huisje
41A17|boerderij (gebouw)
41A171|schuur
41A18|hut, hut, blokhut
41A181|blokhut
41A182|inheemse Amerikaanse hut
41A1821|wigwam
41A19|andere woningtypes
41A191|tent
41A1911|tent-kamp
41A1912|tepee, tipi, teepee
41A192|caravan (trailer)
41A1921|caravan-camp
41A1922|aanhangwagen
41A193|woonboot
41A194|meerwoning, paalwoning
41A1941|andere woningen die van de grond af staan
41A195|sneeuwhut, iglo
41A196|grotbewonend
41A2|interieur van het huis
41A21|vestibule, hal
41A211|gang
41A2111|galerij (ruime gang)
41A22|gemeenschappelijke ruimtes
41A221|woonkamer, salon, zitkamer
41A222|tekenkamer, 'salon'
41A2221|boudoir
41A223|eetkamer
41A23|slaapkamer
41A24|badkamer
41A241|badkameruitrusting
41A2411|badkuip
41A2412|douche
41A2413|bidet
41A2414|passende wastafel
41A2415|kan en wastafel; wasbak
41A25|andere kamers
41A251|studie; 'studiolo'; bibliotheek
41A252|kapel (interieur van het huis)
41A253|zonneterras, zonneserre, glazen veranda
41A2531|winter-tuin, serre
41A254|garderobe
41A2541|linnenkast
41A255|zolder, vliering
41A256|opslagruimte
41A3|onderdelen (van huis of gebouw)
41A31|gevel (van huis of gebouw)
41A311|voorste gevel
41A3111|stenen tablet in gevel
41A312|achtergevel
41A313|Gevel van binnenplaats
41A32|door
41A321|de deur openen
41A3211|open deur
41A3212|verdeeld door, bovenste deel geopend
41A3213|draaideur
41A322|het sluiten van de deur
41A3221|gesloten deur
41A323|monumentale deur, veranda, 'aediculum'
41A324|metaalwerk van een deur
41A3241|deurklopper, deurbel
41A3242|deurklink, deurknop
41A325|drempel
41A3251|stijl, post, deurpost
41A3252|deurbeslag, bijvoorbeeld laarzenkrabber, borstel, deurmat
41A326|brievenbus ~ deur
41A327|deurwachter, huisbewaker (onbezield)
41A328|slot ~ deur
41A3281|sleutel
41A32811|meestersleutel, 'passe-partout', skeletsleutel
41A3282|vergrendeling
41A3283|bout
41A3284|hangslot
41A33|venster
41A331|het raam openen
41A3311|open venster
41A332|het sluiten van het venster
41A3321|gesloten raam
41A333|raamluiken
41A3331|raamluiken aan de buitenkant
41A3332|binnenzonwering
41A334|zonnescherm, zonnescherm, zonnescherm
41A335|raamplaats
41A336|menselijke figuur bij (open) raam
41A3361|menselijke figuur bij (open) raam, gezien van buiten
41A3362|Menselijke figuur bij (open) raam, gezien van binnenuit
41A337|zicht door een raam
41A3371|Bekijk door een raam van buitenaf
41A3372|Bekijk door een raam van binnenuit
41A34|trap
41A341|trappenhuis
41A3411|roltrap
41A342|lift
41A343|ladder
41A344|nooduitgang
41A345|terug stappen
41A35|voordeurtrap
41A351|terras
41A352|luifel (boven ingang)
41A36|dak
41A361|toren (van huis of gebouw)
41A3611|torenspits (van toren op huis of gebouw)
41A362|dakbedekking
41A363|versierde gevel
41A37|kelder, kelder
41A38|balkon
41A381|loggia, verandah, porch
41A382|baai-venster, erker
41A39|leidingen en bedrading
41A391|watervoorziening en afvoer, leidingwerk (in of op huis of gebouw)
41A3911|goed
41A3912|pomp
41A3913|kraan
41A3914|toilet, wc
