5|Abstracte Ideeën en Concepten
51|Algemeenheden
51A|Bestaan en Modi van Bestaan
51A1|Bestaan
51A11|het Universum
51A2|Materieelheid
51A3|Concreetheid
51A4|Aanwezigheid
51A5|Intrinsieke aard, Essentie, Idee (volgens Plato)
51A51|interieur, interieurheid
51A6|elementariteit, onherleidbaarheid
51A7|Volmaaktheid, Volledigheid; 'Perfettione', 'Operatione perfetta' (Ripa)
51A8|Dingen Bekend, de Bekende
51AA|Bestaan en Modi van Bestaan (tegenovergestelde concepten)
51AA1|non-bestaan
51AA2|Immaterialiteit
51AA3|Abstractheid, Onwezenlijkheid
51AA4|nietsheid, afwezigheid
51AA5|Omstandigheid, Ongeval
51AA51|Exterieur, Exterioriteit
51AA6|samenstelling
51AA61|Synthese
51AA7|onvolmaaktheid, onvolledigheid; 'Imperfettione' (Ripa)
51AA8|Dingen Onbekend, het Onbekende
51B|Soorten Relatie
51B1|Relatie
51B2|gelijkenis, overeenkomst
51B21|assimilatie
51B3|Pariteit, Gelijkheid
51B4|Uniformiteit
51B5|Identiteit
51B6|Imitatie; 'Imitatie' (Ripa)
51B61|Herhaling
51B7|normaliteit
51BB|Soorten Relatie (tegenovergestelde concepten)
51BB1|Absoluutheid, Niet-gerelateerdheid
51BB2|Verschil, Ongelijkheid
51BB3|Onparigheid, Ongelijkheid, Verschil
51BB4|Veelvormigheid, Verscheidenheid
51BB5|tegenspraak; 'Contrarietà' (Ripa)
51BB51|ambivalentie
51BB6|Originaliteit
51BB61|Eenmaligheid, Uniekheid
51BB7|Abnormaliteit
51C|Oorzakelijkheid
51C1|Oorzaak
51C2|noodzakelijkheid, onvermijdelijkheid; 'Necessità' (Ripa)
51CC|Oorzakelijkheid (tegenovergestelde concepten)
51CC1|Effect, Result
51CC11|Positief Resultaat, Goed Resultaat
51CC12|Negatief resultaat, Slecht resultaat
51CC13|Neveneffect, Secundair Effect
51CC19|Geen resultaat, gebrek aan resultaat, ineffectiviteit, nutteloosheid
51CC2|Kans, Willekeurig
51D|Orde en Wanorde
51D1|volgorde, rangschikking, organisatie
51D2|harmonie, regelmaat
51D21|Euritmie
51D3|Symmetrie; 'Simmetria' (Ripa)
51D4|Schoonheid; 'Bellezza' (Ripa)
51D41|grace, charme; 'Gratia', 'Venustà' (Ripa)
51D42|pracht
51D43|de Sublieme
51D5|balans, evenwicht
51DD|Orde en Wanorde (tegenovergestelde concepten)
51DD1|Stoornis, Verwarring, Ontregeling, Wanorde, Chaos
51DD11|Besmetting
51DD2|Onenigheid, Onregelmatigheid
51DD3|Asymmetrie
51DD4|Lelijkheid
51DD5|Onevenwicht
51E|Hiërarchische Volgorde
51E1|Onafhankelijkheid, Autonomie
51E11|Vrijheid; 'Libertà' (Ripa)
51E12|Bevrijding
51E2|Superioriteit
51E3|Conformiteit; 'Temperamento delle cose terrene con le celesti' (Ripa)
51E4|Samenhang
51EE|Hiërarchische Orde (tegenovergestelde concepten)
51EE1|Afhankelijkheid
51EE11|Beperking
51EE12|Inkorting
51EE2|Inferioriteit
51EE3|Nonconformiteit
51EE4|Incoherentie
51F|Tijdelijke Relatie
51F1|Voorrang
51F2|Continuïteit
51F3|Prioriteit, Voorrang
51F4|Gelijkheid
51F5|Begin; 'Principio' (Ripa)
51F51|Nieuwheid
51F511|Onvolwassenheid
51F52|vroegheid
51F521|Vroegrijpheid
51F522|Vooruitzien
51F6|frequentie
51F7|Regelmaat van Herhaling
51F71|Periodiciteit
51F711|Cyclus
51F8|midden
51FF|Tijdelijke Relatie (tegenovergestelde concepten)
51FF1|Subsequentie
51FF2|Discontinuïteit
51FF3|Nawerking
51FF4|Niet-gelijkheid
51FF5|Einde; 'Fine' (Ripa)
51FF51|Ouderdom
51FF511|Volwassenheid
51FF52|Laatkomen
51FF521|Vertraging
51FF6|Zeldzaamheid
51FF7|Onregelmatigheid van Terugkeer
51G|Enkele kenmerken van materie
51G1|Grootte, Omvang
51G2|zwaarte
51G3|Stevigheid
