2|Natureza
20|"Natura" (figura ou cena alegórica; ou como Diana de Éfeso, com muitos seios); "Natura" (Ripa)
21|os quatro elementos, e éter, o quinto elemento
210|"Elementi", "Elementi secondo Empedocle" (Ripa)
21A|ar (um dos quatro elementos)
21A0|"Aria"; "Carro dell'aria" (Ripa)
21A1|espírito do ar, sílfide
21B| terra (um dos quatro elementos)
21B0|"Terra", "Carro della terra" (Ripa)
21B1|espírito da terra, gnomo, troll
21C|fogo (um dos quatro elementos)
21C0|"Fuoco", Carro del fuoco" (Ripa)
21D|água (um dos quatro elementos)
21D0|"Acqua", "Carro dell'acqua" (Ripa)
21D1|espírito da água, génio das águas, ondina
21D2|gelo ~ estado da água
21D3|vapor de água
21E|éter como "quinta essência"
22|fenómenos naturais
22A|matéria
22A0|Matéria (representação alegórica)
22A1|substâncias químicas
22A1(...)|substâncias químicas (com NOME)
22A2|fenómenos químicos
22A3|fenómenos físicos
22A31|estados da matéria
22A311|sólido (estado da matéria)
22A312|líquido (estado da matéria)
22A3121|condensação
22A31211|rasto de vapor
22A313|gás (estado da matéria)
22B|electricidade e magnetismo
22B1|fenómenos eléctricos
22B11|faísca ~ electricidade
22B2|fenómenos magnéticos
22B21|íman
22B22|força magnética
22B221|força atractiva, atracção ~ força magnética
22B222|força repulsiva, repulsão ~ força magnética
22C|luz
22C1|luz natural
22C11|raios de luz natural
22C2|luz artificial
22C21|raios de luz artificial
22C3|luz sobrenatural
22C31|brilho emanando de pessoas ou coisas
22C311|nimbo, auréola ~ brilho emanando de pessoas ou coisas
22C3111|nimbo cruciforme
22C3112|nimbo quadrado ou rômbico
22C3113|nimbo em forma de estrela
22C3114|raios como nimbo
22C3115|fio (de ouro) como nimbo
22C3116|outros tipos de nimbo, auréola
22C312|mandorla
22C3121|mandorla oval ou em forma de amêndoa
22C3122|mandorla circular
22C32|luz brilhando do céu
22C4|cores, pigmentos e tintas
22C4(...)|cores, pigmentos e tintas (com NOME)
22C4(BLACK)|cores, pigmentos e tintas: preto
22C4(BLUE)|cores, pigmentos e tintas: azul
22C4(BROWN)|cores, pigmentos e tintas: castanho
22C4(GOLD)|cores, pigmentos e tintas: ouro
22C4(GREEN)|cores, pigmentos e tintas: verde
22C4(PURPLE)|cores, pigmentos e tintas: roxo
22C4(RED)|cores, pigmentos e tintas: vermelho
22C4(WHITE)|cores, pigmentos e tintas: branco
22C4(YELLOW)|cores, pigmentos e tintas: amarelo
22C5|reflexo (luz em geral)
22C8|sombra
22C81|sombra de um objecto
22C9|trevas
22C90|"Buio" (Ripa)
22C91|penumbra
22D|som
22D1|som alto, ruído
22D11|som harmonioso, harmonia, consonância
22D110|"Armonia" (Ripa)
22D12|som desarmonioso, dissonância
22D2|som suave
22D3|barreira do som
22D4|eco
22D9|silêncio
22E|temperatura
22E1|calor
22E11|incandescente (calor)
22E12|queimar
22E13|irradiando (calor)
22E2|frio
22E21|congelando
22E22|ponto zero absoluto
22E3|escalas de temperatura
22E31|Fahrenheit (escala de temperatura)
22E32|Réaumur (escala de temperatura)
22E33|Celsius (escala de temperatura)
22E34|outras escalas de temperatura
22E34(...)|outras escalas de temperatura (com NOME)
22E4|termómetro
23|tempo
23A|alegoria do Tempo e Eternidade
23A1|Pai do Tempo, homem com asas e gadanha
23A11|alegorias outras do Tempo, e.g. "Tempo" (Ripa)
23A2|Eternidade, "Aeternitas"; "Eternità", "Eternità o Perpetuità" (Ripa)
23A21|serpente Ouroboros
23A3|passado, presente e futuro
23A31|passado
23A32|presente
23A33|futuro
23A4|representações alegóricas dos efeitos do tempo
23A41|Tempo revelando a Verdade; Tempo levando a Verdade
23A411|Tempo desnudando a Verdade
23A42|Tempo escondendo o Passado
23A43|Tempo recompensando a Indústria e castigando a Preguiça
23A44|fugacidade do Tempo
23A441|Tempo causando a ruína de edifícios, etc.
23A45|Tempo raptando a Beleza
23B|período de mais de um ano
23B1|período de mais de mil anos
23B2|milénio
23B3|cem anos, século
23B30|"Secolo" (Ripa)
23B4|cinquenta anos
23B5|vinte cinco anos
23B6|doze anos e meio
23B7|dez anos, década
23B8|cinco anos, lustro
23B9|outros períodos
23B9(...)|outros períodos (com o NÚMERO de anos)
23C|ano, ano solar
