4|Sociedade, Civilização, Cultura
41|aspectos materiais da vida quotidiana
41A|habitação
41A1|arquitectura civil; edifícios; habitações
41A10|"Edifitio overo un sito" (Ripa)
41A11|palácio
41A111|hotel, i.e. pequeno palácio (ou palacete) na cidade
41A12|castelo
41A121|casa fortificada na cidade
41A13|edíficio, e.g. edífício público, armazém ou loja
41A14|habitação urbana
41A141|casa comum; casas dispostas em fila, em banda
41A142|casa combinada com loja
41A143|casa isolada numa cidade
41A144|prédio de apartamentos; apartamento
41A15|arranha-céu
41A16|habitação rural, e.g. casa de campo, villa, chalé, cabana
41A161|casa de campo
41A162|villa
41A163|chalé
41A17|fazenda (edifício)
41A171|celeiro
41A18|choupana, cabana, casa de campo
41A181|cabana de madeira
41A182|cabana de Índio
41A1821|wigwam 
41A19|outros tipos de habitação
41A191|tenda
41A1911|tenda de campismo
41A1912|tepee, tipi, teepee
41A192|caravana, roulotte
41A1921|parque de caravanas
41A1922|reboque
41A193|casa flutuante
41A194|habitação lacustre, palafita 
41A1941|outros tipos de habitação não assentes no solo
41A195|abrigo da neve, iglu
41A196|habitação rupestre
41A2|interior da casa
41A21|vestíbulo, hall
41A211|corredor
41A2111|galeria (corredor extenso e largo)
41A22|quartos comuns
41A221|sala de estar
41A222|sala de estar, "salon"
41A2221|boudoir
41A223|sala de jantar
41A23|quarto
41A24|casa de banho
41A241|equipamento de casa de banho
41A2411|banheira
41A2412|chuveiro
41A2413|bidé
41A2414|lavatório
41A2415|jarro e bacia; lavatório
41A25|outros quartos
41A251|estúdio, escritório; "studiolo"; biblioteca
41A252|capela (no interior da casa)
41A253|alpendre envidraçado, varanda envidraçada
41A2531|jardim de inverno, estufa
41A254|guarda-roupa, roupeiro
41A2541|roupeiro (para guardar toalhas, lençóis, etc.)
41A255|sotão, loft
41A256|dispensa, armazém
41A3|partes (de uma casa ou edifício)
41A31|fachada (de uma casa ou edifício)
41A311|fachada principal
41A3111|placa de pedra integrada na fachada
41A312|fachada posterior
41A313|fachada de um pátio interior
41A32|porta
41A321|abrir a porta
41A3211|porta aberta
41A3212|porta dividida em duas, com a parte superior aberta
41A3213|porta giratória
41A322|fechar, trancar a porta
