5|Ideias e conceitos abstractos
51|conceitos gerais
51A|existência e modos de existência
51A1|existência
51A11|universo
51A2|materialidade
51A3|concreto
51A4|presença
51A5|natureza intrínseca, essência, ideia (segundo Platão)
51A51|interior, interioridade
51A6|elementaridade, irredutibilidade
51A7|perfeição, plenitude; "Perfettione", "Operatione perfetta" (Ripa)
51A8|coisas conhecidas, o conhecido
51AA|existência e modos de existência (conceitos opostos)
51AA1|inexistência
51AA2|imaterialidade
51AA3|abstracção, insubstancialidade
51AA4|nada, ausência
51AA5|circunstância, acidentes
51AA51|exterior, exterioridade
51AA6|composição
51AA61|síntese
51AA7|imperfeição, incompletude; "Imperfettione" (Ripa)
51AA8|coisas desconhecidas, o desconhecido
51B|tipos de relação
51B1|relação
51B2|similaridade, semelhança
51B21|assimilação
51B3|paridade, igualdade
51B4|uniformidade
51B5|identidade
51B6|imitação; "Imitatione" (Ripa)
51B61|repetição
51B7|normalidade
51BB|tipos de relação (conceitos opostos)
51BB1|absoluto, não-relação
51BB2|dissimilaridade, diversidade
51BB3|disparidade, desigualdade 
51BB4|multiplicidade, variedade
51BB5|contrariedade; "Contrarietà" (Ripa)
51BB51|ambivalência
51BB6|originalidade
51BB61|singularidade 
51BB7|anormalidade
51C|causalidade
51C1|causa
51C2|necessidade, inevitabilidade; "Necessitá" (Ripa)
51CC|causalidade (conceitos opostos)
51CC1|efeito, resultado
51CC11|resultado positivo, bom resultado
51CC12|resultado negativo, mau resultado
51CC13|efeito colateral, efeito secundário
51CC19|nenhum resultado, falta de resultado, ineficácia, futilidade
51CC2|destino, acaso
51D|ordem e desordem
51D1|ordem, acordo, organização
51D2|harmonia, regularidade
51D21|euritmia
51D3|simetria; "Simmetria" (Ripa)
51D4|beleza; "Bellezza" (Ripa)
51D41|graça, charme; "Gratia", "Venustà" (Ripa)
51D42|esplendor
51D43|o sublime
51DD|ordem e desordem (conceitos opostos)
51DD1|desordem, confusão, desarranjo, desorganização, caos
51DD11|contaminação
51DD2|desarmonia, irregularidade
51DD3|assimetria
51DD4|fealdade
51E|ordem hierárquica
51E1|independência, autonomia
51E11|liberdade; "'Libertà" (Ripa)
51E12|libertação
51E2|superioridade
51E3|conformidade; "Temperamento delle cose terrene con le celesti" (Ripa)
51E4|coerência
51EE|ordem hierárquica (conceitos opostos)
51EE1|dependência
51EE11|restrição, limitação
51EE12|limitação de autoridade
51EE2|inferioridade
51EE3|inconformismo
51EE4|incoerência
51F|relações temporais
51F1|precedência
51F2|continuidade
51F3|preeminência
51F4|simultaneidade
51F5|princípio; "Principio" (Ripa)
51F51|novidade
51F511|imaturidade
51F52|precocidade (sazonal, planta, fruta, etc.)
51F521|precocidade (em pessoa)
51F522|antecipação
51F6|frequência
51F7|regularidade de recorrência
51F71|periodicidade
51F711|ciclo
51F8|meio
51FF|relação temporal (conceitos opostos)
51FF1|subsequência
51FF2|descontinuidade
51FF3|posterioridade
51FF4|diacronia
51FF5|fim; "Fine" (Ripa)
51FF51|velhice
51FF511|maturidade
51FF52|tardio
51FF521|atraso
51FF6|infrequência
51FF7|irregularidade de recorrência
51G|algumas características da matéria
51G1|grandeza, magnitude
51G2|peso
51G3|resistência
51G4|dureza 
51G5|visibilidade
51G6|suavidade
51GG|algumas características da matéria (conceitos opostos)
51GG1|pequenez, exiguidade
51GG2|ligeireza; "Leggierezza" (Ripa)
51GG3|fragilidade; "Fragilità" (Ripa)
51GG4|suavidade (matéria)
51GG5|invisibilidade
51GG6|rugosidade
51H|quantidade e grau
51H1|totalidade, o inteiro
51H11|indivisibilidade
51H2|universalidade
51H3|multitude
51H4|plenitude
51H41|suficiência
51H42|abundância; "Abondanza", "Abondanza maritima" (Ripa)
51H43|redundância
51H5|crescimento
51HH|quantidade e grau (conceitos opostos)
51HH1|parte, secção, aspecto particular
51HH11|divisibilidade
51HH2|particularidade, individualidade
51HH3|escassez 
51HH4|falta, deficiência 
51HH41|insuficiência
51HH5|decréscimo
51I|espaço
51I1|limitado, espaço definido
51I2|plenitude
51I3|localização, posição
51I4|proximidade
51I5|meio, centro; "Mezo" (Ripa)
51I6|alto, topo
51II|espaço (conceitos opostos)
51II1|espaço ilimitado
51II11|expansão
51II2|vazio
51II3|deslocação, deslocamento
51II4|distância
51II5|isolamento
51II6|baixo, fundo
51K|aspectos de mudança
51K1|mudança
51K11|reforma; "Riforma" (Ripa)
51K2|mutabilidade; "Immutatione" (Ripa)
51K3|substituição
51K31|alternância
51K4|evolução
51K41|revolução
51K5|reacção
51KK|aspectos de mudança (conceitos opostos)
51KK1|permanência
51KK11|conservação; "Conservatione" (Ripa)
51KK2|imutabilidade
51KK3|troca, intercâmbio
51L|tipos de movimento
51L1|movimento
51L2|movimento regular
51L3|direcção, orientação
51L4|progressão, movimento de avanço
51L41|aproximação
51L42|movimento de avanço, força de atracção, atracção, puxar
51L5|ascensão, subida
51L51|ressurreição; "Resurrettione" (Ripa)
51LL|tipos de movimento (conceitos opostos)
51LL1|repouso, imobilidade, quietude, estase
51LL2|movimento irregular
51LL3|desvio, divergência
51LL4|regressão, movimento de recuo
51LL41|recessão
51LL42|movimento de, força repulsiva, repulsão, empurrar
51LL5|descida
51M|qualidade do movimento
51M1|movimento rápido
